Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																													
Дата голосования: 18.09.2016																																																													
																																																													
Наименование Избирательной комиссии:    Рузаевская																																																													
																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																													
																																																													
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	51260	1637	1631	1572	1611	1550	989	1918	1755	843	965	1786	1638	1378	498	776	377	1491	1892	1726	1803	954	895	1877	1883	1918	1653	313	525	339	578	828	570	518	595	930	485	195	155	1385	448	871	355	371	1183	1404	615	273	408	388	512									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50696	1605	1600	1600	1593	1523	1000	1893	1707	821	944	1765	1611	1294	500	767	371	1480	1872	1723	1811	929	891	1853	1740	1910	1658	309	526	360	565	811	587	517	598	927	489	191	155	1366	443	875	352	365	1174	1393	632	272	418	384	526									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29947	764	806	729	698	721	496	1008	976	584	448	1232	828	620	256	335	325	733	961	835	1273	437	406	735	886	984	829	198	425	269	295	606	406	449	458	652	442	186	133	1153	333	612	280	280	903	1159	556	240	315	337	355									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2455	59	31	49	61	102	23	82	100	45	10	23	71	33	5	29	14	39	40	49	88	50	48	81	196	41	51	44	59	24	54	63	51	19	64	69	19	0	12	83	41	46	22	49	86	77	23	15	33	16	66									
6	Число погашенных избирательных бюллетеней	18294	782	763	822	834	700	481	803	631	192	486	510	712	641	239	403	32	708	871	839	450	442	437	1037	658	885	778	67	42	67	216	142	130	49	76	206	28	5	10	130	69	217	50	36	185	157	53	17	70	31	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2455	59	31	49	61	102	23	82	100	45	10	23	71	33	5	29	14	39	40	49	88	50	48	81	196	41	51	44	59	24	54	63	51	19	64	69	19	0	12	83	41	46	22	49	86	77	23	15	33	16	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29906	764	800	729	698	721	496	1008	976	584	445	1232	828	617	256	335	325	728	961	835	1271	436	406	735	877	979	829	198	425	269	295	606	406	449	458	652	442	186	133	1153	333	612	280	279	902	1154	556	240	315	337	355									
9	Число недействительных избирательных бюллетеней	657	25	17	31	30	14	1	11	9	3	20	83	56	18	12	8	10	20	42	43	7	13	14	28	2	11	2	0	19	0	18	10	10	7	3	17	0	0	0	0	2	0	21	4	8	5	0	0	2	1	0									
10	Число действительных избирательных бюллетеней	31704	798	814	747	729	809	518	1079	1067	626	435	1172	843	632	249	356	329	747	959	841	1352	473	440	788	1071	1009	878	242	465	293	331	659	447	461	519	704	461	186	145	1236	372	658	281	324	980	1226	579	255	346	352	421									
