Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Мичуринская городская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69146	1512	1469	1392	1497	1446	1209	1324	1129	1723	1646	1339	916	1846	1064	873	950	1181	1196	1147	1725	1486	1202	1465	2231	2188	2329	1780	1670	1804	1206	808	1474	770	1343	897	1936	1251	2220	825	1369	1137	1398	1469	1156	2131	1301	1348	2368									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	65395	1434	1403	1311	1407	1356	1144	1220	1076	1586	1536	1266	867	1762	1014	833	897	1132	1094	1086	1636	1403	1147	1332	2120	2072	2200	1671	1571	1721	1153	766	1408	729	1270	843	1822	1190	2129	776	1304	1063	1308	1393	1110	2041	1231	1306	2256									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26553	516	466	476	651	565	305	460	338	596	422	480	358	659	359	355	430	450	465	442	597	587	544	474	942	988	1071	584	595	1034	466	281	713	490	452	222	722	525	1284	329	340	455	478	453	594	803	474	469	794									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2704	91	79	139	73	25	23	61	67	60	50	128	73	38	13	55	29	16	90	26	23	20	93	129	87	26	32	63	71	16	12	13	61	28	49	60	63	24	28	21	64	24	26	120	49	84	68	84	130									
6	Число погашенных избирательных бюллетеней	36138	827	858	696	683	766	816	699	671	930	1064	658	436	1065	642	423	438	666	539	618	1016	796	510	729	1091	1058	1097	1024	905	671	675	472	634	211	769	561	1037	641	817	426	900	584	804	820	467	1154	689	753	1332									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2704	91	79	139	73	25	23	61	67	60	50	128	73	38	13	55	29	16	90	26	23	20	93	129	87	26	32	63	71	16	12	13	61	28	49	60	63	24	28	21	64	24	26	120	49	84	68	84	130									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26527	516	464	476	651	546	305	460	338	596	422	480	358	659	359	355	430	450	465	442	597	587	544	474	942	988	1071	584	595	1034	466	281	710	490	451	222	722	525	1284	329	340	454	478	453	594	803	474	469	794									
9	Число недействительных избирательных бюллетеней	341	8	7	1	10	6	0	9	8	10	10	8	2	11	1	0	0	17	0	9	6	0	4	0	3	11	8	23	5	16	3	9	14	5	9	0	7	3	13	3	7	13	10	2	20	5	17	7	1									
10	Число действительных избирательных бюллетеней	28890	599	536	614	714	565	328	512	397	646	462	600	429	686	371	410	459	449	555	459	614	607	633	603	1026	1003	1095	624	661	1034	475	285	757	513	491	282	778	546	1299	347	397	465	494	571	623	882	525	546	923									
