Выборы Президента Российской Федерации																							
																							
Наименование Избирательной комиссии:    Лухская																							
																							
Итоги голосования 																							
																							
		Сумма	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613					
1	"Число избирателей, внесенных в список"	7102	2523	258	253	302	320	111	240	164	279	691	96	90	235	342	187	1011					
2	Число полученных избирательных бюллетеней	7061	2500	255	250	305	320	113	238	166	287	674	89	92	240	340	192	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3709	1359	132	143	144	133	70	135	60	141	356	68	67	114	168	86	533					
5	"Число избирательных бюллетеней, выданных вне помещения"	1036	114	76	61	101	74	0	48	64	77	117	12	6	78	72	49	87					
6	Число погашенных избирательных бюллетеней	2316	1027	47	46	60	113	43	55	42	69	201	9	19	48	100	57	380					
7	Число избирательных бюллетеней в переносных ящиках	1036	114	76	61	101	74	0	48	64	77	117	12	6	78	72	49	87					
8	Число бюллетеней в стационарных ящиках для голосования	3708	1358	132	143	144	133	70	135	60	141	356	68	67	114	168	86	533					
9	Число недействительных избирательных бюллетеней	35	17	1	1	0	3	0	2	0	0	3	1	1	0	2	0	4					
10	Число действительных избирательных бюллетеней	4709	1455	207	203	245	204	70	181	124	218	470	79	72	192	238	135	616					
11	Число полученных открепительных  удостоверений	118	30	5	8	5	5	5	5	5	5	10	5	5	5	5	5	10					
12	Число выданных открепительных удостоверений	49	14	0	8	5	1	0	0	1	5	3	0	0	5	5	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	11	1	0	1	0	0	1	1	0	3	1	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	69	16	5	0	0	4	5	5	4	0	7	5	5	0	0	5	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																							
18	. Глазьев Сергей Юрьевич	171	77	6	4	7	4	2	3	2	9	16	0	2	5	9	5	20					
		3.60%	5.23%	2.88%	1.96%	2.86%	1.93%	2.86%	1.64%	1.61%	4.13%	3.38%	0.00%	2.74%	2.60%	3.75%	3.70%	3.23%					
19	. Малышкин Олег Александрович	150	36	6	14	18	3	4	7	3	5	11	5	2	7	9	8	12					
		3.16%	2.45%	2.88%	6.86%	7.35%	1.45%	5.71%	3.83%	2.42%	2.29%	2.33%	6.25%	2.74%	3.65%	3.75%	5.93%	1.94%					
20	. Миронов Сергей Михайлович	39	16	1	0	1	2	1	0	2	1	5	0	1	3	1	1	4					
		0.82%	1.09%	0.48%	0.00%	0.41%	0.97%	1.43%	0.00%	1.61%	0.46%	1.06%	0.00%	1.37%	1.56%	0.42%	0.74%	0.65%					
21	. Путин Владимир Владимирович	3197	893	163	125	171	138	46	147	93	167	284	35	52	140	163	89	491					
		67.39%	60.67%	78.37%	61.27%	69.80%	66.67%	65.71%	80.33%	75.00%	76.61%	60.04%	43.75%	71.23%	72.92%	67.92%	65.93%	79.19%					
22	. Хакамада Ирина Муцуовна	65	31	1	1	2	4	3	0	0	1	8	0	1	1	5	1	6					
		1.37%	2.11%	0.48%	0.49%	0.82%	1.93%	4.29%	0.00%	0.00%	0.46%	1.69%	0.00%	1.37%	0.52%	2.08%	0.74%	0.97%					
23	. Харитонов Николай Михайлович	956	343	27	52	39	35	13	21	22	33	136	38	12	35	44	31	75					
		20.15%	23.30%	12.98%	25.49%	15.92%	16.91%	18.57%	11.48%	17.74%	15.14%	28.75%	47.50%	16.44%	18.23%	18.33%	22.96%	12.10%					
																							
24	Против всех	131	59	3	7	7	18	1	3	2	2	10	1	2	1	7	0	8					
		2.76%	4.01%	1.44%	3.43%	2.86%	8.70%	1.43%	1.64%	1.61%	0.92%	2.11%	1.25%	2.74%	0.52%	2.92%	0.00%	1.29%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
