Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																								
Дата голосования: 07.12.2003 0:00:00																																																								
																																																								
Наименование Избирательной комиссии:    Лысьвенская городская																																																								
																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																								
																																																								
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049					
1	"Число избирателей, внесенных в списки"	67753	1326	1353	1618	1078	1212	897	2044	1175	1441	2285	2073	2814	2521	2812	1659	2375	1516	2902	1970	1666	1975	2109	1365	1202	2384	1652	1964	2808	2733	2654	411	510	823	206	392	307	591	566	216	1484	714	234	264	370	245	1114	534	571	618					
2	"Число бюллетеней, полученных участковыми комиссиями"	69560	1300	1360	1670	1100	1200	900	2050	1180	1450	2300	2080	2860	2570	2830	1620	2380	2400	2870	1990	1660	2000	2120	1370	1200	2430	1640	1980	2820	2580	2700	470	560	890	205	450	370	670	560	265	1530	800	300	290	380	290	1140	560	570	650					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	37504	716	710	793	472	542	378	1052	621	714	1152	1105	1653	1470	1617	856	1287	1479	1752	1196	997	1220	1252	764	690	1147	945	1148	1464	1393	1497	200	311	353	104	288	208	344	260	166	787	406	218	156	165	158	484	292	235	287					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3361	87	55	31	73	23	60	44	20	47	59	40	83	50	70	111	73	37	60	35	71	49	94	29	61	113	33	53	91	202	39	78	160	178	73	43	44	67	50	32	59	25	16	70	87	24	165	51	109	137					
6	Число погашенных бюллетеней	28695	497	595	846	555	635	462	954	539	689	1089	935	1124	1050	1143	653	1020	884	1058	759	592	731	774	577	449	1170	662	779	1265	985	1164	192	89	359	28	119	118	259	250	67	684	369	66	64	128	108	491	217	226	226					
7	Число бюллетеней в переносных ящиках для голосования	3350	87	55	31	71	23	56	44	20	47	59	40	83	50	70	111	73	37	60	35	71	49	94	29	61	113	33	53	91	197	39	78	160	178	73	43	44	67	50	32	59	25	16	70	87	24	165	51	109	137					
8	Число бюллетеней в стационарных ящиках для голосования	37483	716	710	793	474	542	378	1052	621	718	1152	1104	1653	1468	1617	853	1287	1477	1752	1195	989	1220	1250	764	690	1147	943	1146	1464	1393	1495	200	311	352	104	288	208	344	260	166	787	405	218	156	165	158	484	292	235	287					
9	Число недействительных бюллетеней	767	19	17	14	10	15	9	25	17	5	20	19	26	16	10	11	31	20	18	14	26	28	12	7	13	34	18	23	54	27	37	19	5	12	1	26	1	12	14	13	15	10	4	3	2	8	10	6	2	9					
10	Число действительных бюллетеней	40066	784	748	810	535	550	425	1071	624	760	1191	1125	1710	1502	1677	953	1329	1494	1794	1216	1034	1241	1332	786	738	1226	958	1176	1501	1563	1497	259	466	518	176	305	251	399	296	185	831	420	230	223	250	174	639	337	342	415					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	637	15	15	15	10	15	10	10	10	15	20	20	25	20	25	15	20	20	25	20	15	20	20	15	15	20	15	15	25	20	27	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	10	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	583	8	12	8	9	8	3	10	10	10	20	20	25	20	25	15	20	18	25	20	15	20	19	15	14	20	15	15	25	15	27	5	5	5	5	5	5	5	5	5	7	5	5	5	5	5	10	5	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	465	8	4	4	1	2	3	7	7	4	6	7	7	8	28	30	20	14	7	2	15	9	4	9	7	3	6	7	7	142	8	3	3	4	18	2	9	5	0	5	8	5	2	4	4	0	1	2	4	0					
14	Число погашенных открепительных удостоверений	54	7	3	7	1	7	7	0	0	5	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	5					
15	Число открепительных удостоверений выданных ТИК	63	1	0	0	2	1	0	5	0	2	0	0	3	3	1	1	1	3	3	0	2	2	1	0	1	6	1	3	3	0	4	0	0	0	1	1	0	1	4	1	1	1	0	0	0	0	0	0	4	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																								
18	"1. ""ЕДИНЕНИЕ"""	735	12	3	21	10	6	13	29	12	25	14	17	22	41	14	8	23	18	16	8	12	33	18	17	13	25	12	23	34	48	18	17	8	12	5	4	10	18	12	5	18	12	12	2	3	7	10	5	2	8					
		1.80%	1.49%	0.39%	2.54%	1.83%	1.06%	2.99%	2.64%	1.87%	3.26%	1.15%	1.48%	1.26%	2.70%	0.82%	0.82%	1.69%	1.18%	0.88%	0.65%	1.13%	2.60%	1.33%	2.14%	1.73%	1.98%	1.22%	1.91%	2.18%	3.01%	1.17%	6.11%	1.69%	2.26%	2.82%	1.20%	3.96%	4.37%	3.87%	2.52%	2.12%	2.79%	5.12%	0.88%	1.19%	3.84%	1.54%	1.45%	0.58%	1.88%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1963	24	31	36	14	15	6	67	18	26	88	47	66	85	133	47	80	94	116	61	63	92	93	61	39	58	62	76	90	66	80	2	12	9	1	6	4	3	5	3	24	11	8	7	8	3	9	2	10	2					
		4.80%	2.98%	4.05%	4.36%	2.56%	2.65%	1.38%	6.11%	2.80%	3.39%	7.26%	4.10%	3.80%	5.59%	7.88%	4.87%	5.88%	6.20%	6.40%	4.95%	5.94%	7.24%	6.91%	7.69%	5.19%	4.60%	6.35%	6.33%	5.78%	4.15%	5.21%	0.71%	2.54%	1.69%	0.56%	1.81%	1.58%	0.72%	1.61%	1.51%	2.83%	2.55%	3.41%	3.09%	3.17%	1.64%	1.38%	0.58%	2.90%	0.47%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1319	13	18	30	22	13	17	33	21	19	30	44	56	65	31	28	46	41	65	54	51	38	33	28	20	58	37	37	55	55	39	9	12	11	6	9	10	0	11	9	39	12	11	8	5	10	16	9	12	23					
		3.23%	1.61%	2.35%	3.64%	4.03%	2.30%	3.91%	3.01%	3.27%	2.48%	2.47%	3.84%	3.22%	4.28%	1.83%	2.90%	3.38%	2.70%	3.58%	4.39%	4.81%	2.99%	2.45%	3.53%	2.66%	4.60%	3.79%	3.08%	3.53%	3.45%	2.54%	3.23%	2.54%	2.07%	3.38%	2.71%	3.96%	0.0%	3.54%	4.54%	4.60%	2.79%	4.70%	3.53%	1.98%	5.49%	2.46%	2.62%	3.48%	5.42%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1567	27	12	16	15	9	9	27	26	21	54	54	74	47	94	38	51	69	87	53	64	77	97	50	52	57	42	58	53	62	64	4	5	14	2	4	5	15	3	4	20	10	4	2	2	0	3	8	2	1					
		3.83%	3.36%	1.56%	1.94%	2.75%	1.59%	2.07%	2.46%	4.05%	2.74%	4.45%	4.72%	4.26%	3.09%	5.57%	3.94%	3.75%	4.55%	4.80%	4.30%	6.03%	6.06%	7.21%	6.30%	6.92%	4.52%	4.30%	4.83%	3.40%	3.89%	4.17%	1.43%	1.06%	2.64%	1.12%	1.20%	1.98%	3.64%	0.96%	2.02%	2.36%	2.32%	1.70%	0.88%	0.79%	0.0%	0.46%	2.33%	0.58%	0.23%					
22	"5. ""За Русь Святую"""	217	5	3	6	5	4	4	6	0	3	4	1	5	10	4	4	3	7	12	5	5	6	6	4	8	15	7	5	11	7	7	5	1	3	0	0	6	0	2	0	6	3	3	3	1	0	3	1	7	1					
		0.53%	0.62%	0.39%	0.72%	0.91%	0.70%	0.92%	0.54%	0.0%	0.39%	0.33%	0.08%	0.28%	0.65%	0.23%	0.41%	0.22%	0.46%	0.66%	0.40%	0.47%	0.47%	0.44%	0.50%	1.06%	1.19%	0.71%	0.41%	0.70%	0.44%	0.45%	1.79%	0.21%	0.56%	0.0%	0.0%	2.38%	0.0%	0.64%	0.0%	0.70%	0.69%	1.28%	1.32%	0.39%	0.0%	0.46%	0.29%	2.03%	0.23%					
23	"6. ""Объединенная Российская партия ""Русь"""	202	5	6	7	4	1	0	4	2	1	3	11	7	12	7	4	6	6	2	5	5	11	8	0	4	6	3	3	7	6	5	0	2	3	5	2	2	1	1	4	8	1	5	0	2	5	7	0	0	3					
		0.49%	0.62%	0.78%	0.84%	0.73%	0.17%	0.0%	0.36%	0.31%	0.13%	0.24%	0.96%	0.40%	0.79%	0.41%	0.41%	0.44%	0.39%	0.11%	0.40%	0.47%	0.86%	0.59%	0.0%	0.53%	0.47%	0.30%	0.25%	0.45%	0.37%	0.32%	0.0%	0.42%	0.56%	2.82%	0.60%	0.79%	0.24%	0.32%	2.02%	0.94%	0.23%	2.13%	0.0%	0.79%	2.74%	1.07%	0.0%	0.0%	0.70%					
24	"7. ""Новый курс - Автомобильная Россия"""	834	15	18	26	9	7	9	33	13	19	36	17	36	39	36	14	25	44	44	30	26	26	25	28	24	14	25	24	28	28	20	4	4	7	3	7	1	3	5	2	24	1	3	2	6	3	6	5	6	4					
