Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Семикаракорская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №2096	УИК №2097	УИК №2098	УИК №2099	УИК №2100	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	42930	1246	1514	2763	1612	2489	2874	1239	2415	1641	1478	1183	1298	111	141	1529	1139	1580	2000	516	637	533	1676	655	1150	740	646	1047	200	412	378	650	754	706	773	338	1608	347	225	687									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39077	775	1300	2500	1300	2400	2400	1100	1877	1300	1125	1100	1200	100	125	1550	1100	1550	2000	475	600	525	1575	625	1100	750	650	950	350	400	350	650	800	700	675	275	1550	350	225	700									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15214	340	439	909	450	764	1006	416	849	486	446	380	461	55	75	479	405	674	824	244	265	186	569	255	440	273	234	373	190	149	131	331	370	368	309	174	439	127	73	256									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1650	53	51	49	15	25	69	21	87	127	31	45	83	10	11	93	54	65	35	9	16	15	67	21	33	40	33	42	10	24	2	40	55	24	46	17	113	31	16	72									
6	Число погашенных избирательных бюллетеней	22213	382	810	1542	835	1611	1325	663	941	687	648	675	656	35	39	978	641	811	1141	222	319	324	939	349	627	437	383	535	150	227	217	279	375	308	320	84	998	192	136	372									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1650	53	51	49	15	25	69	21	87	127	31	45	83	10	11	93	54	65	35	9	16	15	67	21	33	40	33	42	10	24	2	40	55	24	46	17	113	31	16	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15212	340	439	909	450	764	1006	416	849	486	446	380	461	55	75	479	405	674	824	244	265	186	569	255	440	273	234	373	190	149	131	331	370	368	309	174	437	127	73	256									
9	Число недействительных избирательных бюллетеней	465	3	10	31	14	19	25	8	19	0	8	6	10	5	1	27	10	39	19	9	5	14	10	7	37	16	10	10	1	7	5	6	15	6	5	11	12	7	8	10									
10	Число действительных избирательных бюллетеней	16397	390	480	927	451	770	1050	429	917	613	469	419	534	60	85	545	449	700	840	244	276	187	626	269	436	297	257	405	199	166	128	365	410	386	350	180	538	151	81	318									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	500	20	20	20	20	20	20	20	20	20	20	20	10	5	5	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	162	0	8	5	8	13	17	12	10	5	9	7	4	0	0	10	3	2	1	2	2	1	3	0	7	0	1	2	0	1	0	1	20	6	0	0	1	0	0	1									
