Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:     Иссинская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395					
1	"Число избирателей, внесенных в списки"	10130	813	85	169	417	139	267	86	420	142	128	223	1384	1461	1628	265	401	125	293	109	125	388	147	399	241	275					
2	"Число бюллетеней, полученных участковыми комиссиями"	10094	803	86	171	425	152	272	91	421	144	131	220	1378	1434	1596	265	394	130	296	111	122	386	148	406	238	274					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	6505	529	64	90	267	126	166	74	294	117	99	137	779	780	903	198	338	92	236	88	86	297	114	292	155	184					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	608	30	6	37	32	13	57	0	22	0	10	39	58	97	25	21	22	9	17	10	8	7	21	31	36	0					
6	Число погашенных бюллетеней	2981	244	16	44	126	13	49	17	105	27	22	44	541	557	668	46	34	29	43	13	28	82	13	83	47	90					
7	Число бюллетеней в переносных ящиках для голосования	608	30	6	37	32	13	57	0	22	0	10	39	58	97	25	21	22	9	17	10	8	7	21	31	36	0					
8	Число бюллетеней в стационарных ящиках для голосования	6489	529	64	90	267	126	166	74	294	117	99	137	779	778	889	198	338	92	236	88	86	297	114	292	155	184					
9	Число недействительных бюллетеней	103	18	1	0	5	0	1	0	7	4	1	2	11	11	11	2	3	0	0	0	0	9	0	17	0	0					
10	Число действительных бюллетеней	6994	541	69	127	294	139	222	74	309	113	108	174	826	864	903	217	357	101	253	98	94	295	135	306	191	184					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	150	13	1	2	6	2	4	1	7	1	2	3	21	22	24	4	7	2	4	2	1	6	2	6	3	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	45	5	0	0	1	0	0	0	2	0	0	0	7	8	12	1	0	0	0	0	1	5	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	1	0	1	3	0	0	1	2	0	1	1	3	3	3	1	5	1	1	2	4	1	1	2	0	2					
14	Число погашенных открепительных удостоверений	105	8	1	2	5	2	4	1	5	1	2	3	14	14	12	3	7	2	4	2	0	1	2	4	2	4					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																
18	"1. ""ЕДИНЕНИЕ"""	95	13	7	1	6	0	1	1	4	0	0	5	12	12	3	4	3	2	0	1	3	8	0	3	4	2					
		1.33%	2.32%	9.99%	0.78%	2.00%	0.0%	0.44%	1.35%	1.26%	0.0%	0.0%	2.84%	1.43%	1.37%	0.32%	1.82%	0.83%	1.98%	0.0%	1.02%	3.19%	2.63%	0.0%	0.92%	2.09%	1.08%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	33	4	0	0	0	0	0	0	0	0	1	0	6	4	10	2	4	0	2	0	0	0	0	0	0	0					
		0.46%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.91%	0.0%	0.71%	0.45%	1.09%	0.91%	1.11%	0.0%	0.79%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	121	8	0	0	0	2	1	1	9	0	3	4	18	24	22	2	5	0	0	1	1	4	3	0	6	7					
		1.70%	1.43%	0.0%	0.0%	0.0%	1.43%	0.44%	1.35%	2.84%	0.0%	2.75%	2.27%	2.15%	2.74%	2.40%	0.91%	1.38%	0.0%	0.0%	1.02%	1.06%	1.31%	2.22%	0.0%	3.14%	3.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	59	10	0	1	0	0	0	0	6	7	1	0	6	5	7	1	5	0	2	0	0	4	3	0	0	1					
		0.83%	1.78%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	1.89%	5.98%	0.91%	0.0%	0.71%	0.57%	0.76%	0.45%	1.38%	0.0%	0.79%	0.0%	0.0%	1.31%	2.22%	0.0%	0.0%	0.54%					
22	"5. ""За Русь Святую"""	37	4	0	1	1	0	0	0	9	0	1	0	3	5	7	0	2	0	0	0	0	2	1	1	0	0					
		0.52%	0.71%	0.0%	0.78%	0.33%	0.0%	0.0%	0.0%	2.84%	0.0%	0.91%	0.0%	0.35%	0.57%	0.76%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.65%	0.74%	0.30%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	19	0	0	0	0	1	0	2	0	0	0	0	6	2	3	1	0	2	1	0	0	0	0	0	0	1					
		0.26%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	2.70%	0.0%	0.0%	0.0%	0.0%	0.71%	0.22%	0.32%	0.45%	0.0%	1.98%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%					
24	"7. ""Новый курс - Автомобильная Россия"""	26	0	0	0	0	1	1	0	1	0	0	0	4	4	4	0	3	0	0	0	1	3	1	0	2	1					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.71%	0.44%	0.0%	0.31%	0.0%	0.0%	0.0%	0.47%	0.45%	0.43%	0.0%	0.83%	0.0%	0.0%	0.0%	1.06%	0.98%	0.74%	0.0%	1.04%	0.54%					
25	"8. ""Народно-республиканская партия России"""	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	1	0	0	0	1					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	7	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	1	0					
		0.09%	0.0%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.21%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%					
27	"10. ""Аграрная партия России"""	291	22	14	9	13	4	19	2	23	5	19	7	39	19	20	2	18	2	5	1	0	13	8	8	6	13					
		4.10%	3.93%	19.99%	7.08%	4.34%	2.87%	8.52%	2.70%	7.27%	4.27%	17.43%	3.97%	4.65%	2.17%	2.18%	0.91%	5.0%	1.98%	1.97%	1.02%	0.0%	4.27%	5.92%	2.47%	3.14%	7.06%					
