Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Ставропольская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421					
1	"Число избирателей, внесенных в список избирателей"	44416	1701	795	863	2239	271	875	1254	335	2089	1970	1760	1386	430	1182	631	1560	699	516	1337	244	339	2369	2345	1038	3107	1278	571	1217	479	1120	226	317	420	1765	2335	1637	1716					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	43310	1690	770	850	2210	260	850	1240	330	2060	1940	1760	1370	420	1160	620	1550	680	500	1320	240	330	2300	2280	1000	2960	1250	560	1200	450	1100	220	310	400	1730	2200	1600	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	20021	710	425	406	1025	144	468	568	154	878	997	821	584	174	494	239	638	354	249	617	103	213	1084	1048	564	1344	533	234	428	99	497	104	144	172	859	979	824	847					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1464	88	63	75	31	5	40	38	13	98	38	39	28	23	50	17	93	34	33	49	25	33	25	11	17	61	42	26	64	31	25	6	32	36	55	59	24	37					
6	Число погашенных избирательных бюллетеней	21825	892	282	369	1154	111	342	634	163	1084	905	900	758	223	616	364	819	292	218	654	112	84	1191	1221	419	1555	675	300	708	320	578	110	134	192	816	1162	752	716					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1464	88	63	75	31	5	40	38	13	98	38	39	28	23	50	17	93	34	33	49	25	33	25	11	17	61	42	26	64	31	25	6	32	36	55	59	24	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	20020	710	425	406	1025	144	468	568	154	878	997	820	584	174	494	239	638	354	249	617	103	213	1084	1048	564	1344	533	234	428	99	497	104	144	172	859	979	824	847					
9	Число недействительных избирательных бюллетеней	404	18	18	17	23	4	8	6	5	23	23	13	8	5	11	5	18	4	3	8	4	0	18	17	12	19	8	10	6	3	9	4	2	4	14	20	16	18					
10	Число действительных избирательных бюллетеней	21080	780	470	464	1033	145	500	600	162	953	1012	846	604	192	533	251	713	384	279	658	124	246	1091	1042	569	1386	567	250	486	127	513	106	174	204	900	1018	832	866					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	805	15	10	10	19	5	11	8	8	9	8	55	18	2	4	5	10	2	5	5	3	4	10	14	5	30	9	5	10	10	11	3	2	5	5	450	12	8					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	758	15	10	10	19	2	9	8	8	9	8	53	18	2	4	5	10	1	5	5	0	4	10	14	5	28	9	3	8	3	11	3	1	4	5	429	12	8					
