Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																						
Дата голосования: 18.09.2016																																																						
																																																						
Наименование Избирательной комиссии:    Климовская																																																						
																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																						
																																																						
		Сумма	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24563	2125	2046	2467	1979	495	2098	1450	320	541	334	341	235	489	63	105	482	280	350	343	302	209	160	809	149	232	912	132	214	218	187	325	139	45	506	223	95	345	296	546	566	521	418	471									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24320	2100	2050	2450	2050	450	2100	1450	300	550	300	350	220	500	60	100	450	250	350	340	300	200	150	800	150	200	900	130	200	200	190	300	140	50	500	200	100	350	300	550	600	500	400	490									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11909	778	645	801	667	158	750	468	142	210	244	270	177	333	27	65	158	133	147	280	228	155	109	578	97	116	657	95	146	145	137	200	100	21	287	145	47	188	182	381	426	420	251	345									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1772	10	36	27	61	3	32	48	43	71	31	30	32	28	27	10	104	78	25	20	37	8	29	86	17	84	99	13	13	19	12	65	24	17	74	22	13	39	32	93	46	30	105	79									
6	Число погашенных избирательных бюллетеней	10639	1312	1369	1622	1322	289	1318	934	115	269	25	50	11	139	6	25	188	39	178	40	35	37	12	136	36	0	144	22	41	36	41	35	16	12	139	33	40	123	86	76	128	50	44	66									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1772	10	36	27	61	3	32	48	43	71	31	30	32	28	27	10	104	78	25	20	37	8	29	86	17	84	99	13	13	19	12	65	24	17	74	22	13	39	32	93	46	30	105	79									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11909	778	645	801	667	158	750	468	142	210	244	270	177	333	27	65	158	133	147	280	228	155	109	578	97	116	657	95	146	145	137	200	100	21	287	145	47	188	182	381	426	420	251	345									
9	Число недействительных избирательных бюллетеней	210	24	15	19	41	5	14	11	2	4	1	1	0	0	0	0	3	0	2	3	1	0	1	3	1	2	10	1	4	4	3	4	0	0	6	1	0	1	2	0	0	10	6	5									
10	Число действительных избирательных бюллетеней	13471	764	666	809	687	156	768	505	183	277	274	299	209	361	54	75	259	211	170	297	264	163	137	661	113	198	746	107	155	160	146	261	124	38	355	166	60	226	212	474	472	440	350	419									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	181	10	10	10	10	5	10	8	2	5	3	3	2	5	1	1	4	2	3	3	5	3	2	5	2	3	5	2	3	3	3	4	3	1	5	3	1	3	3	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	93	6	5	7	7	1	10	2	2	1	0	3	2	1	0	0	1	0	0	0	1	0	0	5	0	0	5	0	0	3	3	0	3	1	3	0	1	1	2	1	5	5	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	41	7	2	3	4	1	2	0	0	0	2	1	0	0	0	2	1	0	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	1	0	0	3	0	1	1	2	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	88	4	5	3	3	4	0	6	0	4	3	0	0	4	1	1	3	2	3	3	4	3	2	0	2	3	0	2	3	0	0	4	0	0	2	3	0	2	1	4	0	0	2	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	62	8	2	5	19	1	2	1	1	3	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	1	0	0	3	0	0	1	3	1	0	1	3	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	131	10	11	17	13	2	8	8	1	0	5	0	0	4	0	0	2	3	0	0	3	2	0	3	1	5	2	0	3	0	2	1	1	0	5	0	0	1	1	1	10	4	2	0									
		0.96%	1.27%	1.62%	2.05%	1.79%	1.24%	1.02%	1.55%	0.54%	0.00%	1.82%	0.00%	0.00%	1.11%	0.00%	0.00%	0.76%	1.42%	0.00%	0.00%	1.13%	1.23%	0.00%	0.45%	0.88%	2.50%	0.26%	0.00%	1.89%	0.00%	1.34%	0.38%	0.81%	0.00%	1.39%	0.00%	0.00%	0.44%	0.47%	0.21%	2.12%	0.89%	0.56%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	287	17	18	20	20	6	19	13	4	7	6	2	6	7	0	1	5	5	4	5	1	1	4	15	1	3	11	0	6	5	0	2	1	0	13	3	5	3	10	14	8	7	6	3									
		2.10%	2.16%	2.64%	2.42%	2.75%	3.73%	2.43%	2.52%	2.16%	2.49%	2.18%	0.67%	2.87%	1.94%	0.00%	1.33%	1.91%	2.37%	2.33%	1.67%	0.38%	0.61%	2.90%	2.26%	0.88%	1.50%	1.46%	0.00%	3.77%	3.05%	0.00%	0.75%	0.81%	0.00%	3.60%	1.80%	8.33%	1.32%	4.67%	2.95%	1.69%	1.56%	1.69%	0.71%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	198	18	13	20	9	4	16	2	4	3	2	2	0	6	1	1	3	1	5	2	1	0	2	6	1	0	9	3	3	1	2	1	0	1	7	6	1	2	6	6	12	6	2	8									
		1.45%	2.28%	1.91%	2.42%	1.24%	2.48%	2.05%	0.39%	2.16%	1.07%	0.73%	0.67%	0.00%	1.66%	1.85%	1.33%	1.15%	0.47%	2.91%	0.67%	0.38%	0.00%	1.45%	0.90%	0.88%	0.00%	1.19%	2.78%	1.89%	0.61%	1.34%	0.38%	0.00%	2.63%	1.94%	3.59%	1.67%	0.88%	2.80%	1.27%	2.54%	1.33%	0.56%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8463	336	317	377	369	67	373	273	114	177	213	222	160	257	36	60	175	137	96	221	232	133	82	466	87	134	546	80	78	113	106	199	109	24	206	80	43	140	154	316	277	282	291	305									
		61.86%	42.64%	46.55%	45.53%	50.69%	41.61%	47.70%	52.91%	61.62%	62.99%	77.45%	74.00%	76.56%	71.19%	66.67%	80.00%	66.79%	64.93%	55.81%	73.67%	87.55%	81.60%	59.42%	70.18%	76.32%	67.00%	72.22%	74.07%	49.06%	68.90%	71.14%	75.09%	87.90%	63.16%	57.06%	47.90%	71.67%	61.67%	71.96%	66.67%	58.69%	62.67%	81.74%	71.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	1	5	3	4	1	1	3	0	3	1	2	1	0	0	0	0	0	1	0	1	0	0	1	0	1	1	0	1	0	0	1	0	0	4	0	0	0	0	0	1	1	2	0									
		0.29%	0.13%	0.73%	0.36%	0.55%	0.62%	0.13%	0.58%	0.00%	1.07%	0.36%	0.67%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%	0.00%	0.38%	0.00%	0.00%	0.15%	0.00%	0.50%	0.13%	0.00%	0.63%	0.00%	0.00%	0.38%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.22%	0.56%	0.00%									
