Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																											
Дата голосования: 04.12.2011																																																																											
																																																																											
"Наименование Избирательной комиссии:    Барнаул, Индустриальная"																																																																											
																																																																											
Сводная таблица результатов выборов																																																																											
																																																																											
		Сумма	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №1880	УИК №1881	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1900	УИК №1901	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914					
1	"Число избирателей, внесенных в список избирателей"	145025	2536	2572	2329	2318	2879	1553	689	2286	1994	2793	2285	251	2420	2571	2574	409	913	1294	2564	2588	2071	2444	2514	2280	2131	2019	2598	2664	2136	2160	2595	2193	2211	2370	2129	2125	1556	2007	1860	2721	2596	2225	2046	2247	2366	2088	2111	2075	2322	2566	2374	2117	2093	1983	2302	761	2410	2387	2830	2221	1481	2578	1987	1590	1986	2785	2830	1066					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	127470	2200	2000	2100	2100	2200	1350	600	2000	1750	2500	2100	260	1950	2200	2250	370	790	1150	2300	2300	1850	2200	2250	2000	1850	1800	2300	2400	1900	1900	2350	1950	2000	2150	1900	1800	1400	1800	1650	2450	2350	2000	1850	1850	2100	1850	1800	1850	2100	2350	2150	1900	1850	1800	2050	650	2150	2150	2450	1850	1250	2150	1800	1400	1800	2200	2450	950					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	72875	1264	1323	1204	1275	1513	756	332	1021	923	1299	1057	248	1224	1164	1221	236	466	732	1332	1303	1088	1268	1318	1181	1039	1015	1398	1347	1148	1127	1240	1191	1062	1251	890	1081	837	1114	921	1437	1174	1123	1063	1117	1228	1071	1111	1047	1280	1331	1176	1128	1157	1061	1205	341	1280	1267	1148	1230	738	1059	1084	666	925	1107	1334	578					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1753	19	19	20	28	24	34	19	34	36	44	53	0	44	33	40	26	25	26	33	16	35	33	37	33	26	15	33	22	17	22	18	14	35	47	39	13	21	19	22	59	57	40	23	16	26	28	29	21	22	25	16	18	15	23	18	8	18	13	30	12	14	38	15	27	22	23	16	7					
6	Число погашенных избирательных бюллетеней	52842	917	658	876	797	663	560	249	945	791	1157	990	12	682	1003	989	108	299	392	935	981	727	899	895	786	785	770	869	1031	735	751	1092	745	903	852	971	706	542	667	707	954	1119	837	764	717	846	751	660	782	798	994	958	754	678	716	827	301	852	870	1272	608	498	1053	701	707	853	1070	1100	365					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1752	19	19	20	28	24	34	19	34	36	44	53	0	44	33	40	26	25	26	33	16	35	33	37	33	26	15	33	22	17	21	18	14	35	47	39	13	21	19	22	59	57	40	23	16	26	28	29	21	22	25	16	18	15	23	18	8	18	13	30	12	14	38	15	27	22	23	16	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	72767	1252	1319	1201	1274	1510	756	332	1021	923	1298	1055	248	1224	1164	1221	236	466	732	1332	1303	1086	1267	1318	1175	1038	1015	1387	1345	1148	1127	1240	1191	1060	1251	890	1068	831	1108	921	1435	1171	1122	1062	1117	1228	1071	1111	1046	1280	1330	1175	1127	1156	1061	1205	341	1279	1267	1146	1230	738	1059	1084	658	916	1107	1334	578					
9	Число недействительных избирательных бюллетеней	1287	31	25	18	27	29	10	2	32	27	39	34	29	12	22	16	4	6	7	14	14	17	18	37	17	15	25	18	22	15	16	19	21	22	12	21	19	17	27	18	37	21	18	22	19	21	26	19	22	19	26	19	17	27	14	21	5	15	17	15	15	5	6	14	16	15	12	20	10					
10	Число действительных избирательных бюллетеней	73232	1240	1313	1203	1275	1505	780	349	1023	932	1303	1074	219	1256	1175	1245	258	485	751	1351	1305	1104	1282	1318	1191	1049	1005	1402	1345	1150	1132	1239	1184	1073	1286	908	1062	835	1100	925	1457	1207	1144	1063	1114	1233	1073	1121	1045	1283	1329	1172	1128	1144	1070	1202	344	1282	1263	1161	1227	747	1091	1085	669	923	1118	1330	575					
