Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Рязанская - 156																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №426	УИК №429	УИК №430	УИК №434	УИК №435	УИК №436	УИК №437	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №464	УИК №465	УИК №466									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	28360	1811	906	221	1230	382	2374	867	1321	471	229	557	56	161	508	857	409	816	1796	876	581	327	1805	1787	1147	128	617	2542	2813	765									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28375	1820	920	215	1145	380	2320	890	1340	470	230	550	55	150	505	845	410	830	1830	890	580	325	1830	1780	1150	125	610	2570	2840	770									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8849	580	336	63	392	92	647	253	356	129	63	172	13	58	160	272	159	400	546	315	191	134	510	501	281	26	106	960	901	233									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1047	20	26	21	90	30	42	20	6	24	14	18	16	22	2	112	24	82	35	18	31	16	123	46	41	29	32	18	42	47									
6	Число погашенных избирательных бюллетеней	18479	1220	558	131	663	258	1631	617	978	317	153	360	26	70	343	461	227	348	1249	557	358	175	1197	1233	828	70	472	1592	1897	490									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1047	20	26	21	90	30	42	20	6	24	14	18	16	22	2	112	24	82	35	18	31	16	123	46	41	29	32	18	42	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8849	580	336	63	392	92	647	253	356	129	63	172	13	58	160	272	159	400	546	315	191	134	510	501	281	26	106	960	901	233									
9	Число недействительных избирательных бюллетеней	152	12	6	1	4	1	8	2	6	0	0	4	0	2	3	3	2	8	6	12	4	3	7	6	4	0	1	25	20	2									
10	Число действительных избирательных бюллетеней	9744	588	356	83	478	121	681	271	356	153	77	186	29	78	159	381	181	474	575	321	218	147	626	541	318	55	137	953	923	278									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	20	10	2	10	2	20	23	14	3	2	3	1	3	3	5	3	5	16	8	5	3	15	9	9	2	2	15	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	179	16	7	0	8	1	18	23	8	0	0	0	0	3	0	2	1	5	16	7	2	2	11	4	6	1	0	13	17	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	274	7	5	6	94	2	46	4	5	2	1	7	0	10	4	13	1	11	5	3	8	4	7	3	3	1	2	6	7	7									
14	Число погашенных неиспользованных открепительных удостоверений	64	4	3	2	2	1	2	0	6	3	2	3	1	0	3	3	2	0	0	1	3	1	4	5	3	1	2	2	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	1	2	0	3	0	1	1	0	1	0	0	0	1	0	0	2	1	5	0	1	0	4	1	0	1	1	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	157	29	3	1	6	5	10	4	1	0	0	4	0	4	1	3	2	2	11	3	3	2	6	17	8	0	1	13	15	3									
		1.59%	4.83%	0.83%	1.19%	1.24%	4.10%	1.45%	1.47%	0.28%	0.00%	0.00%	2.11%	0.00%	5.00%	0.62%	0.78%	1.09%	0.41%	1.89%	0.90%	1.35%	1.33%	0.95%	3.11%	2.48%	0.00%	0.72%	1.33%	1.59%	1.07%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	326	23	6	6	12	6	23	12	9	7	2	5	0	2	11	7	4	13	22	14	11	5	26	10	18	2	5	39	23	3									
		3.29%	3.83%	1.66%	7.14%	2.49%	4.92%	3.34%	4.40%	2.49%	4.58%	2.60%	2.63%	0.00%	2.50%	6.79%	1.82%	2.19%	2.70%	3.79%	4.20%	4.95%	3.33%	4.11%	1.83%	5.59%	3.64%	3.62%	3.99%	2.44%	1.07%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	229	11	11	2	8	3	14	6	11	3	3	4	1	3	1	6	3	11	16	15	9	3	22	4	5	0	8	18	24	4									
		2.31%	1.83%	3.04%	2.38%	1.66%	2.46%	2.03%	2.20%	3.04%	1.96%	3.90%	2.11%	3.45%	3.75%	0.62%	1.56%	1.64%	2.28%	2.75%	4.50%	4.05%	2.00%	3.48%	0.73%	1.55%	0.00%	5.80%	1.84%	2.55%	1.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5304	276	199	42	302	55	364	142	160	85	50	89	25	33	69	254	106	331	306	148	116	70	344	309	154	39	81	501	467	187									
		53.60%	46.00%	54.97%	50.00%	62.66%	45.08%	52.83%	52.01%	44.20%	55.56%	64.94%	46.84%	86.21%	41.25%	42.59%	66.15%	57.92%	68.67%	52.67%	44.44%	52.25%	46.67%	54.34%	56.49%	47.83%	70.91%	58.70%	51.23%	49.52%	66.79%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	69	5	3	0	3	2	11	1	3	1	1	2	1	0	1	3	2	0	3	1	0	0	4	3	0	0	1	7	9	2									
		0.70%	0.83%	0.83%	0.00%	0.62%	1.64%	1.60%	0.37%	0.83%	0.65%	1.30%	1.05%	3.45%	0.00%	0.62%	0.78%	1.09%	0.00%	0.52%	0.30%	0.00%	0.00%	0.63%	0.55%	0.00%	0.00%	0.72%	0.72%	0.95%	0.71%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	2	2	0	0	0	1	1	0	0	0	2	0	1	0	1	2	2	1	1	1	0	1	0	0	0	0	1	2	0									
		0.21%	0.33%	0.55%	0.00%	0.00%	0.00%	0.15%	0.37%	0.00%	0.00%	0.00%	1.05%	0.00%	1.25%	0.00%	0.26%	1.09%	0.41%	0.17%	0.30%	0.45%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.10%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1507	98	68	10	84	14	118	46	60	22	5	32	0	16	27	40	29	58	108	55	35	27	76	72	49	4	20	124	158	52									
		15.23%	16.33%	18.78%	11.90%	17.43%	11.48%	17.13%	16.85%	16.57%	14.38%	6.49%	16.84%	0.00%	20.00%	16.67%	10.42%	15.85%	12.03%	18.59%	16.52%	15.77%	18.00%	12.01%	13.16%	15.22%	7.27%	14.49%	12.68%	16.76%	18.57%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	76	5	1	1	2	7	7	2	4	0	1	3	0	1	0	4	0	4	0	3	2	0	5	7	2	0	0	13	2	0									
		0.77%	0.83%	0.28%	1.19%	0.41%	5.74%	1.02%	0.73%	1.10%	0.00%	1.30%	1.58%	0.00%	1.25%	0.00%	1.04%	0.00%	0.83%	0.00%	0.90%	0.90%	0.00%	0.79%	1.28%	0.62%	0.00%	0.00%	1.33%	0.21%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	81	8	2	2	6	4	3	1	4	2	0	3	0	4	1	2	0	2	6	7	2	1	8	2	1	0	0	5	5	0									
		0.82%	1.33%	0.55%	2.38%	1.24%	3.28%	0.44%	0.37%	1.10%	1.31%	0.00%	1.58%	0.00%	5.00%	0.62%	0.52%	0.00%	0.41%	1.03%	2.10%	0.90%	0.67%	1.26%	0.37%	0.31%	0.00%	0.00%	0.51%	0.53%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	12	0	0	1	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0									
		0.12%	0.00%	0.00%	1.19%	0.21%	0.00%	0.00%	0.00%	0.83%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.30%	0.45%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.10%	0.11%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	140	5	1	1	5	3	14	3	7	1	0	2	0	2	0	8	1	3	4	7	2	5	10	6	2	2	1	17	22	6									
		1.41%	0.83%	0.28%	1.19%	1.04%	2.46%	2.03%	1.10%	1.93%	0.65%	0.00%	1.05%	0.00%	2.50%	0.00%	2.08%	0.55%	0.62%	0.69%	2.10%	0.90%	3.33%	1.58%	1.10%	0.62%	3.64%	0.72%	1.74%	2.33%	2.14%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1401	87	45	10	37	20	85	35	84	26	10	33	2	8	42	44	25	35	78	38	30	26	107	84	65	8	10	160	150	17									
		14.16%	14.50%	12.43%	11.90%	7.68%	16.39%	12.34%	12.82%	23.20%	16.99%	12.99%	17.37%	6.90%	10.00%	25.93%	11.46%	13.66%	7.26%	13.43%	11.41%	13.51%	17.33%	16.90%	15.36%	20.19%	14.55%	7.25%	16.36%	15.91%	6.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	28	2	1	2	0	0	1	0	0	1	0	1	0	0	0	5	3	1	0	1	0	0	2	2	0	0	0	3	3	0									
		0.28%	0.33%	0.28%	2.38%	0.00%	0.00%	0.15%	0.00%	0.00%	0.65%	0.00%	0.53%	0.00%	0.00%	0.00%	1.30%	1.64%	0.21%	0.00%	0.30%	0.00%	0.00%	0.32%	0.37%	0.00%	0.00%	0.00%	0.31%	0.32%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	393	37	14	5	12	2	30	18	10	4	5	6	0	4	6	4	4	12	19	27	6	8	15	25	13	0	10	51	42	4									
