Выборы Президента Российской Федерации																				
																				
Наименование Избирательной комиссии:    Пижанская																				
																				
Итоги голосования 																				
																				
		Сумма	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968					
1	"Число избирателей, внесенных в список"	9813	3144	350	1494	533	165	1251	460	239	420	586	557	275	339					
2	Число полученных избирательных бюллетеней	10160	3180	358	1510	600	192	1317	500	243	420	605	555	330	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5126	1780	250	629	283	87	642	184	130	247	248	308	112	226					
5	"Число избирательных бюллетеней, выданных вне помещения"	1423	160	16	238	93	39	205	148	52	47	177	131	59	58					
6	Число погашенных избирательных бюллетеней	3611	1240	92	643	224	66	470	168	61	126	180	116	159	66					
7	Число избирательных бюллетеней в переносных ящиках	1423	160	16	238	93	39	205	148	52	47	177	131	59	58					
8	Число бюллетеней в стационарных ящиках для голосования	5126	1780	250	629	283	87	642	184	130	247	248	308	112	226					
9	Число недействительных избирательных бюллетеней	31	7	2	5	3	0	3	0	1	2	2	2	1	3					
10	Число действительных избирательных бюллетеней	6518	1933	264	862	373	126	844	332	181	292	423	437	170	281					
11	Число полученных открепительных  удостоверений	120	37	5	10	7	3	14	5	5	5	8	11	5	5					
12	Число выданных открепительных удостоверений	61	14	0	7	7	1	11	2	0	1	5	8	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	18	3	0	4	1	3	2	0	1	0	1	2	0	1					
14	Число неиспользованных открепительных удостоверений	59	23	5	3	0	2	3	3	5	4	3	3	2	3					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																				
18	. Глазьев Сергей Юрьевич	209	78	8	20	5	7	32	2	5	12	11	16	2	11					
		3.19%	4.02%	3.01%	2.31%	1.33%	5.56%	3.78%	0.60%	2.75%	4.08%	2.59%	3.64%	1.17%	3.87%					
19	. Малышкин Олег Александрович	207	47	5	30	15	4	22	18	2	10	10	15	5	24					
		3.16%	2.42%	1.88%	3.46%	3.99%	3.17%	2.60%	5.42%	1.10%	3.40%	2.35%	3.42%	2.92%	8.45%					
20	. Миронов Сергей Михайлович	65	26	0	6	6	4	7	0	2	4	2	1	2	5					
		0.99%	1.34%	0.00%	0.69%	1.60%	3.17%	0.83%	0.00%	1.10%	1.36%	0.47%	0.23%	1.17%	1.76%					
21	. Путин Владимир Владимирович	3861	1341	158	426	187	70	435	195	138	142	224	309	82	154					
		58.96%	69.12%	59.40%	49.13%	49.73%	55.56%	51.36%	58.73%	75.82%	48.30%	52.71%	70.39%	47.95%	54.23%					
22	. Хакамада Ирина Муцуовна	85	32	2	7	7	2	8	1	3	4	9	5	1	4					
		1.30%	1.65%	0.75%	0.81%	1.86%	1.59%	0.94%	0.30%	1.65%	1.36%	2.12%	1.14%	0.58%	1.41%					
23	. Харитонов Николай Михайлович	2005	375	88	363	148	37	328	113	30	120	164	87	77	75					
		30.62%	19.33%	33.08%	41.87%	39.36%	29.37%	38.72%	34.04%	16.48%	40.82%	38.59%	19.82%	45.03%	26.41%					
																				
24	Против всех	86	34	3	10	5	2	12	3	1	0	3	4	1	8					
		1.31%	1.75%	1.13%	1.15%	1.33%	1.59%	1.42%	0.90%	0.55%	0.00%	0.71%	0.91%	0.58%	2.82%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
