Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																							
Дата голосования: 02.12.2007																																																																							
																																																																							
Наименование Избирательной комиссии:    район Марьино																																																																							
																																																																							
Сводная таблица результатов выборов																																																																							
																																																																							
		Сумма	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474					
1	"Число избирателей, внесенных в списки избирателей"	158182	2829	2058	2282	2349	2656	2752	2646	2493	2611	2377	2557	2485	2502	2454	2149	2122	2674	2736	2680	2076	2624	2536	2752	2920	2949	2309	2446	2170	2389	2137	2914	2104	2178	2223	3005	2826	2972	2975	2045	2242	2525	2532	2229	2773	2116	2319	2452	2231	2465	2578	2657	2596	2568	2591	2463	2764	2367	2895	2648	2272	1543	2100	2369	1925					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	128000	2300	1700	1800	1900	2100	2200	2100	2000	2100	2000	2100	2000	2000	2000	1800	1800	2200	2200	2200	1700	2100	2000	2200	2400	2400	1800	2000	1800	2000	1800	2400	1700	2000	1800	2400	2300	2400	2400	1700	1800	1900	2100	1800	2200	1700	1900	2000	1800	2000	2000	2100	2100	2100	2100	2000	2200	1900	2300	2100	1800	1300	1700	1900	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	97349	1353	1357	1575	1195	1378	1493	1859	1785	1677	1217	1279	1260	1269	1218	1110	1245	1623	1491	1385	1084	1594	1301	1764	1405	1559	1299	1374	1135	1293	1107	1484	1127	1928	1573	1739	1917	2003	2043	1398	1749	1765	2068	1431	1755	1443	1439	1251	1066	1755	1873	1767	1697	1890	1929	1628	1647	1877	1994	1841	1501	934	1283	1531	1339					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1550	20	10	29	33	38	42	29	27	35	19	17	12	14	10	18	18	20	34	30	20	53	17	25	23	29	24	29	9	31	15	15	28	38	28	8	21	11	15	17	21	12	28	23	33	26	23	21	21	15	23	13	12	23	28	52	128	9	10	20	22	10	27	33	6					
6	Число погашенных избирательных бюллетеней	29101	927	333	196	672	684	665	212	188	388	764	804	728	717	772	672	537	557	675	785	596	453	682	411	972	812	477	597	656	676	678	901	545	34	199	653	362	386	342	285	30	123	4	346	412	231	438	728	713	230	104	320	391	187	143	320	425	14	296	239	277	356	390	336	55					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1550	20	10	29	33	38	42	29	27	35	19	17	12	14	10	18	18	20	34	30	20	53	17	25	23	29	24	29	9	31	15	15	28	38	28	8	21	11	15	17	21	12	28	23	33	26	23	21	21	15	23	13	12	23	28	52	128	9	10	20	22	10	27	33	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97183	1350	1357	1575	1195	1373	1493	1859	1785	1677	1216	1277	1260	1269	1218	1110	1245	1619	1487	1379	1079	1588	1285	1758	1404	1559	1299	1368	1126	1293	1106	1469	1127	1924	1573	1736	1916	2003	2043	1384	1749	1765	2068	1431	1755	1443	1439	1247	1066	1755	1870	1765	1697	1890	1928	1628	1641	1877	1983	1821	1498	934	1283	1531	1335					
9	Число недействительных избирательных бюллетеней	1064	11	13	14	14	26	16	26	37	19	10	20	16	14	22	12	0	21	22	19	15	17	15	25	20	12	11	6	12	10	15	30	14	29	13	29	18	21	14	12	11	16	21	15	18	10	11	20	22	17	22	16	13	22	19	18	11	16	21	12	17	6	12	20	8					
10	Число действительных избирательных бюллетеней	97669	1359	1354	1590	1214	1385	1519	1862	1775	1693	1225	1274	1256	1269	1206	1116	1263	1618	1499	1390	1084	1624	1287	1758	1407	1576	1312	1391	1123	1314	1106	1454	1141	1933	1588	1715	1919	1993	2044	1389	1759	1761	2075	1439	1770	1459	1451	1248	1065	1753	1871	1762	1696	1891	1937	1662	1758	1870	1972	1829	1503	938	1298	1544	1333					
