Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																								
Дата голосования: 04.12.2011																																																																								
																																																																								
Наименование Избирательной комиссии:    район Марьино																																																																								
																																																																								
Сводная таблица результатов выборов																																																																								
																																																																								
		Сумма	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473					
1	"Число избирателей, внесенных в список избирателей"	164803	2639	2412	2214	2386	2658	2799	2596	2452	2615	2364	2563	2482	2567	2493	2125	2127	2724	2736	2632	2057	2655	2502	2845	2992	2961	2391	2385	2042	2478	2269	2581	2651	2273	2860	2664	2806	1941	2107	2572	2077	2500	2862	2814	2631	2837	2220	2525	2560	2303	2776	2715	2826	2720	2627	2933	2603	2968	2604	2837	2888	2782	1719	2309	2588	1963					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	163500	2600	2400	2300	2400	2700	2800	2600	2400	2600	2300	2500	2500	2500	2400	2100	2100	2700	2700	2600	2000	2700	2500	2800	2900	3000	2400	2500	2200	2500	2300	2600	2600	2300	2800	2700	2800	1900	2100	2600	2000	2400	2800	2700	2600	2800	2200	2500	2500	2300	2700	2700	2800	2700	2600	2900	2600	2900	2600	2800	2800	2800	1700	2300	2500	1900					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	98105	1061	1774	1516	1209	1493	1510	1389	1451	1542	1379	1602	1464	1107	1076	1026	1808	1591	1556	1378	1181	1427	1384	1834	1722	1850	1527	1327	1396	1583	1444	1653	1708	1295	1802	1608	1579	1087	1122	1274	1257	1284	1341	2099	1256	1476	916	1205	1687	1548	1251	1337	1914	1531	1606	2666	1858	1968	1600	1693	2217	1828	964	1326	1969	1573					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1442	17	16	30	22	35	38	41	28	33	27	22	21	19	20	31	14	19	31	33	12	48	13	19	10	39	13	33	16	17	30	12	18	9	20	6	17	5	11	12	18	16	14	18	27	24	10	19	19	12	11	19	15	12	27	22	19	154	11	17	24	19	16	12	21	9					
6	Число погашенных избирательных бюллетеней	63953	1522	610	754	1169	1172	1252	1170	921	1025	894	876	1015	1374	1304	1043	278	1090	1113	1189	807	1225	1103	947	1168	1111	860	1140	788	900	826	935	874	996	978	1086	1204	808	967	1314	725	1100	1445	583	1317	1300	1274	1276	794	740	1438	1344	871	1157	967	212	723	778	989	1090	559	953	720	962	510	318					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1442	17	16	30	22	35	38	41	28	33	27	22	21	19	20	31	14	19	31	33	12	48	13	19	10	39	13	33	16	17	30	12	18	9	20	6	17	5	11	12	18	16	14	18	27	24	10	19	19	12	11	19	15	12	27	22	19	154	11	17	24	19	16	12	21	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	97861	1059	1758	1516	1208	1491	1510	1383	1451	1542	1367	1574	1464	1107	1076	1026	1808	1583	1556	1378	1181	1427	1384	1815	1722	1846	1516	1327	1396	1583	1444	1653	1708	1267	1802	1607	1579	1080	1121	1274	1253	1278	1338	2099	1256	1476	916	1205	1681	1542	1251	1333	1877	1531	1586	2662	1858	1968	1600	1693	2217	1828	964	1326	1963	1571					
9	Число недействительных избирательных бюллетеней	1784	23	15	152	24	31	27	59	11	14	20	21	28	24	26	19	16	21	50	25	22	28	28	9	30	22	15	24	14	14	14	20	20	16	12	20	25	14	17	13	127	15	26	26	15	38	20	19	20	35	40	11	147	13	20	23	33	2	12	33	0	19	20	39	31	17					
10	Число действительных избирательных бюллетеней	97519	1053	1759	1394	1206	1495	1521	1365	1468	1561	1374	1575	1457	1102	1070	1038	1806	1581	1537	1386	1171	1447	1369	1825	1702	1863	1514	1336	1398	1586	1460	1645	1706	1260	1810	1593	1571	1071	1115	1273	1144	1279	1326	2091	1268	1462	906	1205	1680	1519	1222	1341	1745	1530	1593	2661	1844	2120	1599	1677	2241	1828	960	1299	1953	1563					
