Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Сегежская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	32386	959	1103	2170	2206	2734	2385	2416	2400	2261	1736	1235	629	607	235	1689	1641	1682	385	618	87	372	199	206	458	175	311	163	175	1039	110									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29290	900	1000	2000	2000	2500	2200	2200	2200	2100	1500	1050	500	500	200	1500	1500	1500	300	600	90	300	200	200	400	150	300	150	150	1000	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	27	0	0	9	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10970	225	317	704	656	1052	855	903	887	784	570	431	201	145	62	669	565	574	72	211	28	103	84	49	201	51	103	67	57	308	36									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	526	9	4	27	27	16	14	4	16	11	3	13	134	3	0	1	19	34	16	14	0	25	0	15	28	22	9	10	5	44	3									
6	Число погашенных избирательных бюллетеней	17733	666	679	1269	1317	1432	1331	1293	1297	1305	927	606	165	352	138	830	916	892	212	375	62	172	116	111	171	77	161	73	88	639	61									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	587	9	4	27	27	16	14	4	16	11	3	13	134	3	0	1	19	34	16	14	0	25	0	40	28	22	36	10	5	53	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10963	225	316	700	656	1052	855	903	886	783	570	431	201	145	62	669	565	574	72	211	28	103	84	49	201	51	103	67	57	308	36									
9	Число недействительных избирательных бюллетеней	424	8	14	19	30	43	47	16	33	29	28	13	13	5	5	17	20	16	2	10	2	3	1	2	7	0	3	8	0	29	1									
10	Число действительных избирательных бюллетеней	11126	226	306	708	653	1025	822	891	869	765	545	431	322	143	57	653	564	592	86	215	26	125	83	87	222	73	136	69	62	332	38									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	15	20	20	25	25	25	25	25	25	15	15	15	20	15	20	25	20	10	15	15	20	15	15	15	15	15	40	25	15	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	91	0	2	7	2	10	5	8	5	7	5	2	2	0	1	3	7	4	1	3	0	0	1	0	0	0	9	1	3	3	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	0	1	10	1	3	1	3	1	1	2	1	4	0	1	3	3	3	4	0	1	0	1	1	2	4	1	1	5	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	509	15	18	13	23	15	20	17	20	18	10	13	13	20	14	17	18	16	9	12	15	20	14	15	15	15	6	39	22	12	35									
