Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																							
Дата голосования: 18.09.2016																																																							
																																																							
Наименование Избирательной комиссии:    Нурлатская																																																							
																																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																																							
																																																							
		Сумма	УИК №2339	УИК №2340	УИК №2341	УИК №2342	УИК №2343	УИК №2344	УИК №2345	УИК №2346	УИК №2347	УИК №2348	УИК №2349	УИК №2350	УИК №2351	УИК №2352	УИК №2353	УИК №2354	УИК №2355	УИК №2356	УИК №2357	УИК №2358	УИК №2359	УИК №2360	УИК №2361	УИК №2362	УИК №2363	УИК №2364	УИК №2365	УИК №2366	УИК №2367	УИК №2368	УИК №2369	УИК №2370	УИК №2371	УИК №2372	УИК №2373	УИК №2374	УИК №2375	УИК №2376	УИК №2377	УИК №2378	УИК №2379	УИК №2380	УИК №2381	УИК №2382									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17548	842	193	192	281	335	120	348	149	295	465	385	220	359	272	315	580	234	627	265	109	393	364	671	560	622	372	872	533	773	438	889	840	457	389	249	142	98	469	565	378	114	198	404	172									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17998	851	200	195	289	345	129	353	151	307	488	399	228	369	279	325	596	240	646	272	109	415	368	686	560	624	383	890	550	779	443	910	866	472	401	262	154	106	482	571	385	118	203	420	179									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17104	822	190	181	278	327	120	344	140	290	457	372	204	350	261	309	573	230	601	264	106	377	359	659	537	612	350	847	525	768	435	836	824	442	379	248	141	97	456	558	361	109	197	399	169									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	350	15	2	10	2	6	0	2	8	3	5	12	15	7	9	6	5	4	22	0	3	14	3	8	20	8	20	20	5	0	0	48	11	12	8	0	0	0	10	3	14	5	0	3	2									
6	Число погашенных избирательных бюллетеней	544	14	8	4	9	12	9	7	3	14	26	15	9	12	9	10	18	6	23	8	0	24	6	19	3	4	13	23	20	11	8	26	31	18	14	14	13	9	16	10	10	4	6	18	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	350	15	2	10	2	6	0	2	8	3	5	12	15	7	9	6	5	4	22	0	3	14	3	8	20	8	20	20	5	0	0	48	11	12	8	0	0	0	10	3	14	5	0	3	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17104	822	190	181	278	327	120	344	140	290	457	372	204	350	261	309	573	230	601	264	106	377	359	659	537	612	350	847	525	768	435	836	824	442	379	248	141	97	456	558	361	109	197	399	169									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	17454	837	192	191	280	333	120	346	148	293	462	384	219	357	270	315	578	234	623	264	109	391	362	667	557	620	370	867	530	768	435	884	835	454	387	248	141	97	466	561	375	114	197	402	171									
