Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №27																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	91601	2081	1976	2030	1883	2089	1445	1159	1229	2630	1026	1534	1863	2239	1807	2082	2474	2069	1877	1180	2235	1790	1973	2533	2272	2669	1938	2689	2184	1344	1489	1587	2423	1460	1507	2102	2362	2347	2841	2528	2671	2645	1803	2273	2119	659	1381	355	82	667									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	73600	1500	1500	1500	1500	1500	1100	1000	1000	2000	1000	1500	1500	2000	1500	1500	2000	1500	1500	1000	2000	1500	1500	2000	2000	2000	1500	2000	2000	1000	1100	1500	2000	1100	1200	1500	2000	2000	2000	2000	2000	2000	1500	2000	1500	500	1000	500	100	1000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27378	567	671	680	564	558	453	385	368	768	383	476	629	612	519	676	669	616	504	309	617	456	525	711	749	690	576	767	625	456	403	581	782	462	464	710	734	796	869	718	656	698	436	633	557	238	391	118	69	484									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	470	7	10	9	7	3	7	6	6	14	3	11	6	9	11	6	16	10	6	2	20	4	5	10	15	8	6	11	9	8	8	6	12	4	8	9	15	8	14	13	17	8	4	2	17	8	4	68	0	0									
6	Число погашенных избирательных бюллетеней	45752	926	819	811	929	939	640	609	626	1218	614	1013	865	1379	970	818	1315	874	990	689	1363	1040	970	1279	1236	1302	918	1222	1366	536	689	913	1206	634	728	781	1251	1196	1117	1269	1327	1294	1060	1365	926	254	605	314	31	516									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	470	7	10	9	7	3	7	6	6	14	3	11	6	9	11	6	16	10	6	2	20	4	5	10	15	8	6	11	9	8	8	6	12	4	8	9	15	8	14	13	17	8	4	2	17	8	4	68	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27292	567	661	680	564	555	453	379	368	763	383	473	628	612	519	674	666	616	502	308	614	454	525	711	742	690	576	761	624	456	403	581	779	462	463	709	733	793	868	718	647	698	436	627	556	237	387	118	69	484									
9	Число недействительных избирательных бюллетеней	575	21	14	20	9	9	8	6	8	21	6	9	8	5	10	14	17	12	11	14	12	15	9	11	13	12	17	14	12	8	9	8	12	8	9	12	16	23	21	18	7	19	13	14	18	6	7	0	1	9									
10	Число действительных избирательных бюллетеней	27187	553	657	669	562	549	452	379	366	756	380	475	626	616	520	666	665	614	497	296	622	443	521	710	744	686	565	758	621	456	402	579	779	458	462	706	732	778	861	713	657	687	427	615	555	239	384	186	68	475									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1840	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	40	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	754	18	17	11	19	18	14	12	12	21	5	22	21	12	15	18	20	30	14	7	21	13	10	6	22	23	21	9	15	16	17	15	27	20	11	22	19	22	26	17	19	21	11	19	13	4	9	0	0	0									
