Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Обливская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13978	2428	1463	2361	1473	394	536	639	68	532	407	557	95	81	453	280	226	282	262	476	136	378	270	181									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14195	2470	1455	2410	1490	400	550	625	70	550	410	570	100	90	480	285	225	285	265	480	140	385	275	185									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6899	926	695	973	1047	176	204	302	33	264	283	389	75	61	186	155	161	135	119	205	86	172	152	100									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1412	210	125	124	67	97	135	139	18	57	30	52	0	1	94	29	9	45	18	50	7	41	51	13									
6	Число погашенных избирательных бюллетеней	5884	1334	635	1313	376	127	211	184	19	229	97	129	25	28	200	101	55	105	128	225	47	172	72	72									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1412	210	125	124	67	97	135	139	18	57	30	52	0	1	94	29	9	45	18	50	7	41	51	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6899	926	695	973	1047	176	204	302	33	264	283	389	75	61	186	155	161	135	119	205	86	172	152	100									
9	Число недействительных избирательных бюллетеней	172	20	19	31	30	4	3	9	1	9	2	7	1	5	4	4	1	4	1	6	1	6	4	0									
10	Число действительных избирательных бюллетеней	8139	1116	801	1066	1084	269	336	432	50	312	311	434	74	57	276	180	169	176	136	249	92	207	199	113									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	207	22	14	28	10	8	10	9	0	13	6	11	7	9	15	8	0	4	5	3	10	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	198	20	12	25	9	8	10	9	0	13	6	11	7	9	15	8	0	4	5	3	9	5	5	5									
