Выборы Президента Российской Федерации																																																											
																																																											
Наименование Избирательной комиссии:    Тарасовская																																																											
																																																											
Итоги голосования 																																																											
																																																											
		Сумма	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1165	УИК №1166	УИК №1167	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №2467	УИК №2568					
1	"Число избирателей, внесенных в список"	23556	1186	276	431	78	809	151	756	447	487	162	281	364	242	286	134	417	397	108	385	1044	1562	1079	611	704	780	962	603	381	731	241	349	317	395	204	470	246	328	206	201	635	145	693	277	223	368	258	140	208	654	275	88	781					
2	Число полученных избирательных бюллетеней	23659	1195	273	432	77	819	164	765	455	492	163	276	363	237	285	133	426	405	111	375	1053	1539	1089	630	699	780	970	595	381	735	245	348	320	400	205	480	248	328	210	202	640	144	692	272	224	368	263	141	210	650	277	91	784					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15701	990	217	191	68	523	144	482	290	407	138	239	297	187	234	95	273	382	93	259	772	957	532	413	418	463	608	315	154	412	210	269	238	306	150	330	160	168	136	179	394	72	487	164	105	295	154	92	169	422	62	68	518					
5	"Число избирательных бюллетеней, выданных вне помещения"	3353	71	13	166	7	102	7	61	45	31	12	16	46	42	39	34	102	5	14	56	127	129	97	114	47	72	85	146	147	137	4	24	50	58	36	90	58	133	49	0	80	48	44	56	80	40	55	29	8	164	138	3	136					
6	Число погашенных избирательных бюллетеней	4605	134	43	75	2	194	13	222	120	54	13	21	20	8	12	4	51	18	4	60	154	453	460	103	234	245	277	134	80	186	31	55	32	36	19	60	30	27	25	23	166	24	161	52	39	33	54	20	33	64	77	20	130					
7	Число избирательных бюллетеней в переносных ящиках	3353	71	13	166	7	102	7	61	45	31	12	16	46	42	39	34	102	5	14	56	127	129	97	114	47	72	85	146	147	137	4	24	50	58	36	90	58	133	49	0	80	48	44	56	80	40	55	29	8	164	138	3	136					
8	Число бюллетеней в стационарных ящиках для голосования	15698	988	217	191	68	523	144	482	290	407	138	239	297	187	234	95	273	382	93	259	772	957	532	413	418	463	608	315	154	412	210	269	238	306	150	330	160	168	136	179	394	72	486	164	105	295	154	92	169	422	62	68	518					
9	Число недействительных избирательных бюллетеней	132	30	0	0	0	0	1	2	5	4	1	2	9	1	5	0	5	0	0	1	6	9	6	0	6	3	4	0	2	2	2	0	2	0	0	2	0	0	0	0	0	0	3	1	0	1	0	0	0	4	1	2	10					
10	Число действительных избирательных бюллетеней	18919	1029	230	357	75	625	150	541	330	434	149	253	334	228	268	129	370	387	107	314	893	1077	623	527	459	532	689	461	299	547	212	293	286	364	186	418	218	301	185	179	474	120	527	219	185	334	209	121	177	582	199	69	644					
11	Число полученных открепительных  удостоверений	460	10	10	10	5	10	5	10	10	10	5	5	10	5	5	5	10	10	5	5	25	25	20	20	20	20	20	10	5	10	5	5	5	5	5	10	5	5	5	5	10	5	10	5	5	5	5	5	5	10	5	5	10					
12	Число выданных открепительных удостоверений	118	1	0	0	1	6	0	0	3	1	0	0	8	0	0	0	0	6	0	1	3	22	9	4	9	4	10	0	0	5	2	0	2	1	0	4	1	1	2	0	2	0	4	0	0	1	3	0	0	1	0	0	1					
