Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Старомайнская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13810	1798	1878	1958	156	333	330	935	305	771	234	283	966	314	278	278	167	295	534	214	404	203	305	276	397	198									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13270	1600	1750	1800	190	390	350	900	300	800	230	280	950	320	250	290	160	270	550	200	400	180	270	240	400	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7271	845	916	872	62	172	212	569	177	378	156	172	483	167	171	177	121	221	280	130	157	122	170	131	259	151									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	902	46	29	37	48	29	42	104	35	58	10	32	53	45	29	30	19	14	62	7	32	10	32	28	55	16									
6	Число погашенных избирательных бюллетеней	5097	709	805	891	80	189	96	227	88	364	64	76	414	108	50	83	20	35	208	63	211	48	68	81	86	33									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	902	46	29	37	48	29	42	104	35	58	10	32	53	45	29	30	19	14	62	7	32	10	32	28	55	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7270	845	915	872	62	172	212	569	177	378	156	172	483	167	171	177	121	221	280	130	157	122	170	131	259	151									
9	Число недействительных избирательных бюллетеней	103	18	23	12	0	9	4	10	4	2	3	0	4	3	0	1	0	1	2	2	0	0	1	2	2	0									
10	Число действительных избирательных бюллетеней	8069	873	921	897	110	192	250	663	208	434	163	204	532	209	200	206	140	234	340	135	189	132	201	157	312	167									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1430	100	100	100	60	70	60	80	40	60	30	45	70	70	50	50	30	50	70	50	50	30	50	50	40	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	965	20	31	35	57	70	55	60	40	60	30	30	41	46	32	50	30	22	70	39	50	12	11	9	40	25									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	143	9	40	19	1	3	1	2	8	5	5	9	4	6	3	5	1	4	6	3	3	0	1	1	2	2									
14	Число погашенных неиспользованных открепительных удостоверений	465	80	69	65	3	0	5	20	0	0	0	15	29	24	18	0	0	28	0	11	0	18	39	41	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	9	6	7	0	0	0	1	0	1	1	0	0	1	5	2	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	71	7	9	10	0	1	2	4	1	2	3	0	7	3	0	4	2	6	1	0	2	3	0	2	1	1									
		0.87%	0.79%	0.95%	1.10%	0.00%	0.50%	0.79%	0.59%	0.47%	0.46%	1.81%	0.00%	1.31%	1.42%	0.00%	1.93%	1.43%	2.55%	0.29%	0.00%	1.06%	2.27%	0.00%	1.26%	0.32%	0.60%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	276	41	41	39	1	6	19	10	4	15	4	11	17	5	2	8	4	7	6	1	8	3	6	7	6	5									
		3.38%	4.60%	4.34%	4.29%	0.91%	2.99%	7.48%	1.49%	1.89%	3.44%	2.41%	5.39%	3.17%	2.36%	1.00%	3.86%	2.86%	2.98%	1.75%	0.73%	4.23%	2.27%	2.97%	4.40%	1.91%	2.99%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	150	24	15	27	4	8	4	9	1	8	0	4	6	8	3	2	2	3	5	0	2	5	5	3	0	2									
		1.84%	2.69%	1.59%	2.97%	3.64%	3.98%	1.57%	1.34%	0.47%	1.83%	0.00%	1.96%	1.12%	3.77%	1.50%	0.97%	1.43%	1.28%	1.46%	0.00%	1.06%	3.79%	2.48%	1.89%	0.00%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4517	365	420	397	71	102	141	491	143	188	98	111	311	127	130	130	101	163	241	90	103	67	96	99	209	123									
