Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Верхнекамская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127					
1	"Число избирателей, внесенных в списки избирателей"	25899	1506	1433	2681	1311	978	1474	171	140	54	320	291	1309	1194	1397	1280	1077	136	77	624	571	137	569	176	1562	1294	123	79	96	72	882	692	112	224	297	141	400	268	529	222					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	26204	1530	1450	2690	1310	1005	1490	184	158	57	325	300	1280	1245	1400	1275	1080	129	76	650	595	107	545	160	1570	1295	112	78	103	80	875	715	135	238	335	155	400	290	550	232					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15983	860	910	1761	803	533	918	116	94	36	218	182	813	871	807	807	537	100	38	385	355	104	307	143	876	736	64	48	50	38	584	435	85	173	198	97	277	188	288	148					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1883	100	109	85	111	63	75	23	13	6	18	35	68	93	57	85	133	15	24	60	40	0	60	1	102	69	21	7	0	0	58	104	27	17	25	13	34	26	81	25					
6	Число погашенных избирательных бюллетеней	8338	570	431	844	396	409	497	45	51	15	89	83	399	281	536	383	410	14	14	205	200	3	178	16	592	490	27	23	53	42	233	176	23	48	112	45	89	76	181	59					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1883	100	109	85	111	63	75	23	13	6	18	35	68	93	57	85	133	15	24	60	40	0	60	1	102	69	21	7	0	0	58	104	27	17	25	13	34	26	81	25					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15975	860	910	1759	803	533	913	116	94	36	218	182	813	871	807	807	537	100	38	385	355	104	307	143	875	736	64	48	50	38	584	435	85	173	198	97	277	188	288	148					
9	Число недействительных избирательных бюллетеней	217	8	10	20	9	6	6	1	3	0	4	6	16	12	11	23	8	1	0	4	6	1	2	1	13	16	2	0	0	0	1	10	0	0	4	0	3	2	5	3					
10	Число действительных избирательных бюллетеней	17641	952	1009	1824	905	590	982	138	104	42	232	211	865	952	853	869	662	114	62	441	389	103	365	143	964	789	83	55	50	38	641	529	112	190	219	110	308	212	364	170					
