7	Число избирательных бюллетеней в переносных ящиках для голосования	4818	60	82	62	66	83	90	74	89	134	76	89	57	73	55	38	67	58	67	71	80	80	47	61	72	90	124	260	139	20	95	94	94	48	33	62	82	45	53	58	72	60	49	69	59	82	128	17	128	36	46	61	58	30	61	67	105	46	111	41	76	24	47	60	49	68	62	45	33									
8	Число бюллетеней в стационарных ящиках для голосования	65934	800	1019	853	1033	1176	1060	1143	1227	935	916	1240	1135	1120	602	835	983	820	1163	998	1002	1066	937	906	876	1048	860	1014	1071	1134	1188	1012	980	461	548	1211	1308	1034	1050	836	836	1340	598	1108	972	1209	1370	716	676	843	1018	1003	1676	296	598	923	1171	923	1277	1170	692	750	634	1134	680	1020	744	1220	737									
9	Число недействительных избирательных бюллетеней	805	7	14	6	20	12	19	22	17	12	7	19	13	14	10	12	8	12	15	13	8	22	8	12	12	16	14	9	21	8	12	9	17	4	7	18	5	15	14	13	12	17	3	11	14	0	12	9	4	9	13	20	19	4	2	7	14	5	20	9	5	8	12	21	10	18	6	12	13									
10	Число действительных избирательных бюллетеней	69947	853	1087	909	1079	1247	1131	1195	1299	1057	985	1310	1179	1179	647	861	1042	866	1215	1056	1074	1124	976	955	936	1122	970	1265	1189	1146	1271	1097	1057	505	574	1255	1385	1064	1089	881	896	1383	644	1166	1017	1291	1486	724	800	870	1051	1044	1715	322	657	983	1262	964	1368	1202	763	766	669	1173	719	1070	800	1253	757									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
13	Бабурин Сергей Николаевич	539	3	8	7	5	8	7	8	13	3	6	11	8	5	3	5	12	6	8	12	12	7	9	8	12	12	6	14	14	10	7	9	8	2	1	11	10	12	12	6	7	16	7	9	5	17	5	8	5	6	17	13	8	0	9	10	6	6	7	8	5	4	6	16	3	4	1	9	2									
		0.76%	0.35%	0.73%	0.77%	0.45%	0.64%	0.61%	0.66%	0.99%	0.28%	0.60%	0.83%	0.67%	0.42%	0.46%	0.57%	1.14%	0.68%	0.65%	1.12%	1.11%	0.61%	0.91%	0.83%	1.27%	1.05%	0.61%	1.10%	1.16%	0.87%	0.55%	0.81%	0.74%	0.39%	0.17%	0.86%	0.72%	1.11%	1.09%	0.67%	0.77%	1.14%	1.08%	0.76%	0.48%	1.32%	0.33%	1.09%	0.62%	0.68%	1.60%	1.22%	0.46%	0.00%	1.37%	1.01%	0.47%	0.62%	0.50%	0.66%	0.65%	0.52%	0.88%	1.34%	0.41%	0.37%	0.12%	0.71%	0.26%									
14	Грудинин Павел Николаевич	8874	96	101	93	136	187	134	129	160	131	106	140	145	156	71	93	117	104	124	109	130	152	144	124	133	148	106	147	134	167	188	137	131	112	53	178	164	136	141	114	120	182	67	164	111	174	147	102	117	124	151	153	176	45	79	143	153	122	199	180	116	106	82	168	96	134	103	189	100									
		12.54%	11.16%	9.17%	10.16%	12.37%	14.85%	11.65%	10.60%	12.16%	12.25%	10.69%	10.53%	12.16%	13.08%	10.81%	10.65%	11.14%	11.85%	10.08%	10.20%	12.01%	13.26%	14.63%	12.82%	14.03%	13.01%	10.77%	11.54%	11.07%	14.47%	14.65%	12.39%	12.20%	22.00%	9.12%	13.98%	11.80%	12.60%	12.78%	12.75%	13.22%	13.00%	10.36%	13.93%	10.77%	13.48%	9.81%	13.92%	14.55%	14.11%	14.19%	14.38%	10.15%	13.80%	11.99%	14.44%	11.99%	12.59%	14.34%	14.86%	15.10%	13.70%	12.04%	14.07%	13.17%	12.32%	12.78%	14.94%	12.99%									
15	Жириновский Владимир Вольфович	5795	63	97	71	100	88	85	84	129	89	95	116	116	78	52	65	96	64	115	88	84	100	70	64	94	104	87	106	90	70	96	84	88	34	34	90	116	93	87	70	66	140	57	98	73	114	125	73	89	69	106	91	177	31	57	84	76	88	107	98	54	68	43	76	53	76	91	94	69									
		8.19%	7.33%	8.81%	7.76%	9.10%	6.99%	7.39%	6.90%	9.80%	8.33%	9.58%	8.73%	9.73%	6.54%	7.91%	7.45%	9.14%	7.29%	9.35%	8.23%	7.76%	8.73%	7.11%	6.62%	9.92%	9.14%	8.84%	8.32%	7.44%	6.07%	7.48%	7.59%	8.19%	6.68%	5.85%	7.07%	8.35%	8.62%	7.89%	7.83%	7.27%	10.00%	8.81%	8.33%	7.08%	8.83%	8.34%	9.96%	11.07%	7.85%	9.96%	8.55%	10.21%	9.51%	8.65%	8.48%	5.96%	9.08%	7.71%	8.09%	7.03%	8.79%	6.31%	6.37%	7.27%	6.99%	11.29%	7.43%	8.96%									
16	Путин Владимир Владимирович	52057	668	852	714	808	916	857	920	939	801	746	987	862	888	496	667	771	665	927	801	808	821	709	711	667	806	730	955	906	841	935	826	799	341	465	931	1043	791	807	647	667	1001	484	859	784	946	1145	520	561	631	737	753	1232	234	489	710	974	713	1005	872	567	558	524	869	532	813	571	921	561									
		73.58%	77.67%	77.38%	78.03%	73.52%	72.76%	74.52%	75.60%	71.35%	74.93%	75.20%	74.27%	72.32%	74.43%	75.49%	76.40%	73.43%	75.74%	75.37%	74.93%	74.68%	71.64%	72.05%	73.53%	70.36%	70.83%	74.19%	74.96%	74.88%	72.88%	72.88%	74.68%	74.39%	66.99%	80.03%	73.13%	75.04%	73.31%	73.16%	72.37%	73.46%	71.50%	74.81%	72.98%	76.04%	73.28%	76.44%	70.94%	69.78%	71.79%	69.27%	70.77%	71.05%	71.78%	74.20%	71.72%	76.33%	73.58%	72.41%	72.01%	73.83%	72.09%	76.95%	72.78%	72.98%	74.72%	70.84%	72.81%	72.86%									
17	Собчак Ксения Анатольевна	1069	9	13	11	9	13	18	18	14	11	12	19	19	23	10	12	12	10	21	19	8	20	24	19	18	16	8	9	16	27	18	11	10	8	13	19	24	13	17	18	14	16	13	14	19	18	31	9	9	22	17	5	75	3	10	20	22	7	18	17	8	11	6	29	9	16	20	14	8									
		1.51%	1.05%	1.18%	1.20%	0.82%	1.03%	1.57%	1.48%	1.06%	1.03%	1.21%	1.43%	1.59%	1.93%	1.52%	1.37%	1.14%	1.14%	1.71%	1.78%	0.74%	1.75%	2.44%	1.96%	1.90%	1.41%	0.81%	0.71%	1.32%	2.34%	1.40%	0.99%	0.93%	1.57%	2.24%	1.49%	1.73%	1.20%	1.54%	2.01%	1.54%	1.14%	2.01%	1.19%	1.84%	1.39%	2.07%	1.23%	1.12%	2.50%	1.60%	0.47%	4.33%	0.92%	1.52%	2.02%	1.72%	0.72%	1.30%	1.40%	1.04%	1.42%	0.88%	2.43%	1.23%	1.47%	2.48%	1.11%	1.04%									
18	Сурайкин Максим Александрович	564	4	6	1	9	11	11	13	14	11	8	10	10	6	7	4	12	3	5	12	10	8	6	7	2	13	10	15	11	14	7	15	7	1	3	11	13	7	9	6	4	8	4	12	8	7	12	4	13	6	7	9	12	5	4	5	9	14	17	9	4	6	1	9	6	11	5	13	8									
		0.80%	0.47%	0.54%	0.11%	0.82%	0.87%	0.96%	1.07%	1.06%	1.03%	0.81%	0.75%	0.84%	0.50%	1.07%	0.46%	1.14%	0.34%	0.41%	1.12%	0.92%	0.70%	0.61%	0.72%	0.21%	1.14%	1.02%	1.18%	0.91%	1.21%	0.55%	1.36%	0.65%	0.20%	0.52%	0.86%	0.94%	0.65%	0.82%	0.67%	0.44%	0.57%	0.62%	1.02%	0.78%	0.54%	0.80%	0.55%	1.62%	0.68%	0.66%	0.85%	0.69%	1.53%	0.61%	0.51%	0.71%	1.44%	1.22%	0.74%	0.52%	0.78%	0.15%	0.75%	0.82%	1.01%	0.62%	1.03%	1.04%									
19	Титов Борис Юрьевич	534	3	7	7	6	12	12	13	19	4	8	11	10	14	6	6	7	8	6	4	10	5	5	12	5	9	14	10	5	14	11	7	9	2	3	6	7	8	10	10	10	6	9	7	6	7	12	2	5	8	10	11	14	2	3	6	10	6	10	11	6	7	1	2	9	7	5	11	6									
		0.75%	0.35%	0.64%	0.77%	0.55%	0.95%	1.04%	1.07%	1.44%	0.37%	0.81%	0.83%	0.84%	1.17%	0.91%	0.69%	0.67%	0.91%	0.49%	0.37%	0.92%	0.44%	0.51%	1.24%	0.53%	0.79%	1.42%	0.78%	0.41%	1.21%	0.86%	0.63%	0.84%	0.39%	0.52%	0.47%	0.50%	0.74%	0.91%	1.12%	1.10%	0.43%	1.39%	0.59%	0.58%	0.54%	0.80%	0.27%	0.62%	0.91%	0.94%	1.03%	0.81%	0.61%	0.46%	0.61%	0.78%	0.62%	0.72%	0.91%	0.78%	0.90%	0.15%	0.17%	1.23%	0.64%	0.62%	0.87%	0.78%									
20	Явлинский Григорий Алексеевич	515	7	3	5	6	12	7	10	11	7	4	16	9	9	2	9	15	6	9	11	12	11	9	10	5	14	9	9	13	3	9	8	5	5	2	9	8	4	6	10	8	14	3	3	11	8	9	6	1	4	6	9	21	2	6	5	12	8	5	7	3	6	6	4	11	9	4	2	3									
		0.73%	0.81%	0.27%	0.55%	0.55%	0.95%	0.61%	0.82%	0.84%	0.65%	0.40%	1.20%	0.76%	0.75%	0.30%	1.03%	1.43%	0.68%	0.73%	1.03%	1.11%	0.96%	0.91%	1.03%	0.53%	1.23%	0.91%	0.71%	1.07%	0.26%	0.70%	0.72%	0.47%	0.98%	0.34%	0.71%	0.58%	0.37%	0.54%	1.12%	0.88%	1.00%	0.46%	0.25%	1.07%	0.62%	0.60%	0.82%	0.12%	0.46%	0.56%	0.85%	1.21%	0.61%	0.91%	0.51%	0.94%	0.83%	0.36%	0.58%	0.39%	0.78%	0.88%	0.34%	1.51%	0.83%	0.50%	0.16%	0.39%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
