Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Джидинская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121					
1	"Число избирателей, внесенных в списки избирателей"	22341	283	314	363	222	993	132	632	408	256	93	569	458	278	781	146	507	1637	1525	1312	1266	403	988	609	884	100	249	825	234	1764	1842	458	447	267	421	675					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	19275	256	263	329	194	847	113	549	381	223	90	471	402	243	579	121	453	1453	1373	1153	1115	357	808	519	766	85	209	693	203	1559	1491	398	409	233	363	574					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14075	204	221	246	134	657	99	438	361	182	70	362	314	209	543	104	345	912	842	772	684	218	631	411	556	46	157	521	183	861	1269	316	302	187	299	419					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	902	17	22	39	14	37	8	13	20	15	9	28	23	16	36	3	22	23	72	20	42	10	28	15	34	18	5	28	5	55	128	13	56	11	4	13					
6	Число погашенных избирательных бюллетеней	4298	35	20	44	46	153	6	98	0	26	11	81	65	18	0	14	86	518	459	361	389	129	149	93	176	21	47	144	15	643	94	69	51	35	60	142					
7	Число избирательных бюллетеней в переносных ящиках для голосования	902	17	22	39	14	37	8	13	20	15	9	28	23	16	36	3	22	23	72	20	42	10	28	15	34	18	5	28	5	55	128	13	56	11	4	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14075	204	221	246	134	657	99	438	361	182	70	362	314	209	543	104	345	912	842	772	684	218	631	411	556	46	157	521	183	861	1269	316	302	187	299	419					
9	Число недействительных избирательных бюллетеней	588	2	21	12	3	33	3	32	19	11	1	8	9	2	27	2	21	23	23	24	18	10	38	10	22	1	12	51	9	38	51	9	6	9	22	6					
10	Число действительных избирательных бюллетеней	14389	219	222	273	145	661	104	419	362	186	78	382	328	223	552	105	346	912	891	768	708	218	621	416	568	63	150	498	179	878	1346	320	352	189	281	426					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	675	15	15	15	15	20	15	20	20	10	10	20	20	15	20	15	15	30	30	30	30	15	20	15	20	10	10	20	10	50	50	15	15	15	15	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	201	7	0	1	0	6	0	15	0	0	0	0	2	2	7	0	3	18	26	22	21	0	2	5	6	1	0	7	1	11	21	4	4	2	2	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	6	6	7	2	5	2	7	4	1	1	4	7	8	9	3	4	3	9	12	1	3	2	3	5	1	3	4	1	9	14	0	5	7	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	474	8	15	14	15	14	15	5	20	10	10	20	18	13	13	15	12	12	4	8	9	15	18	10	14	9	10	13	9	39	29	11	11	13	13	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																										
18	1.Политическая партия «Аграрная партия России»	199	0	2	2	3	13	0	1	4	4	0	3	6	1	7	2	5	18	13	6	2	1	14	9	22	0	4	9	1	9	14	4	13	2	3	2					
		1.33%	0.00%	0.82%	0.70%	2.03%	1.87%	0.00%	0.22%	1.05%	2.03%	0.00%	0.77%	1.78%	0.44%	1.21%	1.87%	1.36%	1.93%	1.42%	0.76%	0.28%	0.44%	2.12%	2.11%	3.73%	0.00%	2.47%	1.64%	0.53%	0.98%	1.00%	1.22%	3.63%	1.01%	0.99%	0.46%					
