Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Агаповская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №2320	УИК №2321									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27321	1759	1720	1925	434	325	1114	703	523	221	175	299	279	690	717	195	856	592	275	186	410	176	98	1463	332	1105	600	353	427	1858	500	528	378	777	247	218	185	196	317	172	119	663	164	1166	496	1149	236									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26625	1700	1650	1850	400	300	1100	700	500	200	175	300	275	650	700	250	850	550	250	175	400	150	100	1400	350	1100	600	350	400	1900	500	500	300	750	250	200	150	200	300	175	125	725	175	1150	500	1100	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	14840	845	766	884	229	209	584	317	259	135	137	205	183	346	375	180	347	334	90	102	142	106	93	658	164	682	418	187	225	1134	250	305	197	520	193	108	103	98	212	90	83	543	126	704	256	569	147									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1770	36	52	74	29	18	30	52	19	15	11	12	18	62	63	15	108	30	67	16	57	6	0	27	18	82	28	45	36	51	52	50	56	45	17	15	36	39	16	13	2	40	15	136	100	50	11									
6	Число погашенных избирательных бюллетеней	10015	819	832	892	142	73	486	331	222	50	27	83	74	242	262	55	395	186	93	57	201	38	7	715	168	336	154	118	139	715	198	145	47	185	40	77	11	63	72	72	40	142	34	310	144	481	42									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1770	36	52	74	29	18	30	52	19	15	11	12	18	62	63	15	108	30	67	16	57	6	0	27	18	82	28	45	36	51	52	50	56	45	17	15	36	39	16	13	2	40	15	136	100	50	11									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	14838	845	766	882	229	209	584	317	259	135	137	205	183	346	375	180	347	334	90	102	142	106	93	658	164	682	418	187	225	1134	250	305	197	520	193	108	103	98	212	90	83	543	126	704	256	569	147									
9	Число недействительных избирательных бюллетеней	339	21	22	24	2	5	8	15	3	0	0	2	13	9	22	8	7	10	3	0	3	4	0	23	6	6	2	6	4	10	1	12	16	9	2	7	3	0	5	1	0	5	0	10	5	20	5									
10	Число действительных избирательных бюллетеней	16269	860	796	932	256	222	606	354	275	150	148	215	188	399	416	187	448	354	154	118	196	108	93	662	176	758	444	226	257	1175	301	343	237	556	208	116	136	137	223	102	85	578	141	830	351	599	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	24	15	17	2	2	11	5	3	3	2	2	3	3	10	3	10	3	10	2	2	2	2	20	6	10	8	3	5	20	3	3	3	5	2	2	2	2	2	2	2	24	11	5	4	9	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	239	24	10	17	2	2	11	4	3	3	0	1	2	0	7	2	4	3	4	1	0	1	0	20	4	7	8	3	3	20	3	1	3	3	2	0	0	0	0	2	0	24	11	5	4	9	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	142	8	6	3	4	1	3	2	2	4	1	0	2	6	5	1	8	2	1	0	1	1	7	10	1	0	0	2	2	6	1	0	3	5	1	2	6	6	1	3	1	0	0	7	0	8	9									
14	Число погашенных неиспользованных открепительных удостоверений	56	0	5	0	0	0	0	1	0	0	2	1	1	3	3	1	6	0	6	1	2	1	2	0	2	3	0	0	2	0	0	2	0	2	0	2	2	2	2	0	2	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	55	7	5	15	1	1	1	0	0	0	1	0	0	1	2	1	1	1	0	1	0	0	0	3	0	1	0	0	1	1	0	3	1	2	0	0	0	0	0	0	0	3	0	1	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	226	12	18	25	2	3	4	5	4	0	0	5	2	5	7	2	2	4	3	1	3	0	0	6	2	5	9	1	15	10	1	7	2	4	4	5	0	4	1	1	2	3	1	11	1	21	3									
		1.36%	1.36%	2.20%	2.62%	0.78%	1.32%	0.65%	1.36%	1.44%	0.00%	0.00%	2.30%	0.99%	1.23%	1.60%	1.03%	0.44%	1.10%	1.91%	0.85%	1.51%	0.00%	0.00%	0.88%	1.10%	0.65%	2.02%	0.43%	5.75%	0.84%	0.33%	1.97%	0.79%	0.71%	1.90%	4.07%	0.00%	2.92%	0.44%	0.97%	2.35%	0.51%	0.71%	1.31%	0.28%	3.39%	1.90%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	444	22	24	27	12	15	15	7	12	1	1	10	2	7	10	7	14	6	9	3	11	11	2	25	8	8	5	3	3	16	4	6	7	44	6	3	4	2	4	2	4	16	2	25	5	11	3									
		2.67%	2.50%	2.93%	2.82%	4.65%	6.61%	2.44%	1.90%	4.32%	0.67%	0.68%	4.61%	0.99%	1.72%	2.28%	3.59%	3.08%	1.65%	5.73%	2.54%	5.53%	9.82%	2.15%	3.65%	4.40%	1.05%	1.12%	1.29%	1.15%	1.35%	1.32%	1.69%	2.77%	7.79%	2.86%	2.44%	2.88%	1.46%	1.75%	1.94%	4.71%	2.74%	1.42%	2.98%	1.40%	1.78%	1.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	325	16	20	16	3	3	23	15	7	1	2	2	4	11	5	1	11	3	0	0	4	0	0	18	0	19	5	5	10	19	10	14	3	4	4	2	2	3	7	0	0	7	0	10	4	25	7									
		1.96%	1.82%	2.44%	1.67%	1.16%	1.32%	3.75%	4.07%	2.52%	0.67%	1.35%	0.92%	1.99%	2.70%	1.14%	0.51%	2.42%	0.82%	0.00%	0.00%	2.01%	0.00%	0.00%	2.63%	0.00%	2.49%	1.12%	2.16%	3.83%	1.60%	3.31%	3.94%	1.19%	0.71%	1.90%	1.63%	1.44%	2.19%	3.07%	0.00%	0.00%	1.20%	0.00%	1.19%	1.12%	4.04%	4.43%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8748	354	317	422	127	114	264	177	110	100	109	132	111	195	227	77	259	195	68	79	103	52	86	260	106	503	242	134	102	705	145	142	96	352	87	74	112	109	143	69	52	442	94	516	241	252	92									
		52.67%	40.18%	38.75%	44.14%	49.22%	50.22%	42.99%	47.97%	39.57%	66.67%	73.65%	60.83%	55.22%	47.79%	51.83%	39.49%	56.92%	53.57%	43.31%	66.95%	51.76%	46.43%	92.47%	37.96%	58.24%	65.84%	54.26%	57.76%	39.08%	59.49%	48.01%	40.00%	37.94%	62.30%	41.43%	60.16%	80.58%	79.56%	62.72%	66.99%	61.18%	75.81%	66.67%	61.43%	67.70%	40.71%	58.23%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	117	11	6	5	0	3	5	0	1	1	0	0	0	4	2	1	4	5	0	0	0	0	0	10	1	2	1	1	5	20	0	5	1	2	0	2	0	0	2	1	0	2	2	2	0	7	3									
		0.70%	1.25%	0.73%	0.52%	0.00%	1.32%	0.81%	0.00%	0.36%	0.67%	0.00%	0.00%	0.00%	0.98%	0.46%	0.51%	0.88%	1.37%	0.00%	0.00%	0.00%	0.00%	0.00%	1.46%	0.55%	0.26%	0.22%	0.43%	1.92%	1.69%	0.00%	1.41%	0.40%	0.35%	0.00%	1.63%	0.00%	0.00%	0.88%	0.97%	0.00%	0.34%	1.42%	0.24%	0.00%	1.13%	1.90%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	0	4	3	1	1	0	0	1	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	0	1	1	2	0	0	1	0	0	0	1	0	0	0	0	2	0									
