Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																	
Дата голосования: 04.12.2011																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																																	
																																																																																																																	
Сводная таблица результатов выборов																																																																																																																	
																																																																																																																	
		Сумма	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224					
1	"Число избирателей, внесенных в список избирателей"	174127	14	20	25	14	140	270	1092	1475	1322	1313	2371	2541	1052	1579	1554	2292	2742	2496	1423	2059	2433	1023	873	2337	1886	2063	1569	1195	1520	2063	926	1815	1230	1471	2559	2589	2472	2632	2456	2067	1359	2749	1825	2599	2421	1893	467	220	562	2080	1756	1355	2472	2330	2010	1038	1843	2462	1475	1005	1914	2786	272	1842	2736	969	2437	2363	2042	2128	1693	2557	1656	1787	1741	1016	1871	2359	1573	2030	1887	1439	2361	1342	1228	2650	1584	2188	2037	2366	2298	1230	1918	2709	2343	1100	2192	2652	1117	1160	70	776	68	432	200	114					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136464	100	200	100	100	130	300	1500	1000	1000	1000	2000	2000	700	1100	1100	1800	2200	2000	1000	1600	2000	700	500	2000	1400	1500	1200	800	1200	1600	600	1400	1000	1200	2000	2000	2000	2000	2000	1600	1000	2200	1400	2000	2000	1500	480	220	500	1500	1200	1000	2000	1600	1700	800	1500	2000	1200	700	1500	2400	200	1400	2100	700	2000	2000	1700	1700	1200	2000	1200	1400	1300	800	1400	2000	1200	1600	1500	1200	2000	1000	1000	2200	1050	1700	1400	1500	2000	828	1300	2200	2000	800	1500	2100	750	800	100	776	70	450	200	110					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	83665	14	20	25	14	86	250	814	809	538	633	1102	1189	505	907	707	1008	1370	1209	697	906	979	500	351	1164	756	936	643	447	618	923	368	927	568	742	1348	1336	1241	1432	1208	1074	675	1441	782	1379	1176	732	284	212	289	1104	925	667	1218	1295	931	414	690	1144	611	483	782	1430	117	1024	1344	532	1318	1181	1088	1104	797	1268	656	800	749	544	800	830	727	852	828	498	1007	564	480	1189	649	1105	1219	1043	1009	739	886	1311	1025	540	1215	1338	559	422	52	772	41	320	35	60					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2228	0	0	0	0	34	0	12	22	31	49	16	10	12	34	12	11	17	29	22	27	13	10	0	12	30	32	10	12	10	14	36	14	18	9	30	17	10	27	26	12	5	10	11	13	17	12	6	0	4	9	15	16	28	145	47	27	12	37	22	18	0	19	2	7	23	8	32	44	17	26	34	20	80	6	21	25	30	20	28	15	48	23	29	10	15	5	4	6	8	8	15	12	2	38	24	18	18	38	6	1	15	0	0	104	140	50					
6	Число погашенных избирательных бюллетеней	50569	86	180	75	86	10	50	674	169	431	318	882	801	183	159	381	781	813	762	281	667	1008	190	149	824	614	532	547	341	572	663	196	459	414	449	622	647	749	541	766	512	320	749	607	608	807	756	190	8	207	387	260	317	754	160	722	359	798	819	567	199	718	951	81	369	733	160	650	775	595	570	369	712	464	594	530	231	570	1150	445	733	624	679	964	426	505	1006	397	589	173	449	976	77	412	851	951	242	267	724	185	377	33	4	29	26	25	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2227	0	0	0	0	34	0	12	22	31	49	16	10	12	34	12	11	17	29	22	27	13	10	0	12	30	32	10	12	10	14	36	14	18	9	30	17	10	27	26	12	5	10	11	13	17	12	6	0	4	9	15	16	28	145	47	27	12	37	22	18	0	19	2	7	23	8	32	44	17	26	34	20	80	6	21	25	30	19	28	15	48	23	29	10	15	5	4	6	8	8	15	12	2	38	24	18	18	38	6	1	15	0	0	104	140	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	83595	14	20	25	14	86	250	813	809	538	633	1102	1188	505	904	707	1008	1370	1209	697	905	979	500	351	1162	755	936	641	447	617	922	368	921	563	740	1348	1335	1239	1432	1208	1074	675	1441	782	1379	1173	731	284	212	287	1104	922	667	1218	1295	931	414	690	1141	610	483	780	1430	117	1023	1343	531	1318	1180	1085	1104	797	1268	656	800	749	542	800	828	725	852	828	498	1006	563	480	1188	649	1105	1217	1043	1009	736	884	1311	1023	540	1214	1338	559	422	52	772	41	320	35	60					
9	Число недействительных избирательных бюллетеней	1279	0	0	0	0	1	2	10	17	13	8	21	19	12	11	11	14	18	11	5	20	22	4	6	19	9	18	11	6	9	14	4	16	7	9	22	22	15	16	19	24	8	13	14	13	16	17	1	16	4	17	12	9	13	32	10	7	12	18	13	4	11	14	4	26	27	7	25	16	16	19	8	13	11	10	5	9	10	23	12	11	13	12	8	9	14	20	14	17	27	9	11	8	18	11	11	5	5	18	11	3	2	29	0	9	2	2					
10	Число действительных избирательных бюллетеней	84543	14	20	25	14	119	248	815	814	556	674	1097	1179	505	927	708	1005	1369	1227	714	912	970	506	345	1155	776	950	640	453	618	922	400	919	574	740	1356	1330	1234	1443	1215	1062	672	1438	779	1379	1174	726	289	196	287	1096	925	674	1233	1408	968	434	690	1160	619	497	769	1435	115	1004	1339	532	1325	1208	1086	1111	823	1275	725	796	765	558	820	824	741	856	863	509	1027	564	481	1173	639	1094	1198	1042	1013	740	868	1338	1036	553	1227	1358	554	420	65	743	41	415	173	108					
