Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																													
Дата голосования: 02.12.2007																																																																																																													
																																																																																																													
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																													
																																																																																																													
Сводная таблица результатов выборов																																																																																																													
																																																																																																													
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225					
1	"Число избирателей, внесенных в списки избирателей"	175700	1647	938	1413	1309	2576	2669	2917	705	1652	1437	2702	2812	2409	1370	2023	2261	1287	769	2420	1945	1982	1597	1208	1423	2198	1693	1863	1320	1572	2763	2656	1922	2721	2716	2225	1408	2835	936	1727	2513	1318	498	247	515	1808	1799	1667	2479	2238	1321	1150	793	2911	1443	1024	1989	2269	268	2392	2652	1499	2424	2643	2021	2450	1839	2587	1624	2030	1828	1555	1829	1734	1303	2072	1867	1429	1543	1472	929	1711	1573	2138	1954	2213	1865	1115	1810	2676	2222	1173	2248	2857	1295	741	1773	1116	80	566	210	175	191					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	163620	1500	800	1350	1300	2300	2300	2500	650	1550	1300	2550	2400	2350	1300	1900	2000	1200	700	2300	1750	1700	1400	1000	1300	2100	1500	1800	1300	1500	2650	2550	1800	2600	2650	2200	1350	2750	900	1650	2450	1200	450	250	500	1700	1750	1500	2400	2300	1250	1000	700	2500	1350	900	1850	2150	230	2100	2500	1230	2350	2650	1900	2350	1700	2500	1400	1700	1700	1400	1700	1600	1250	2000	1800	1350	1400	1300	800	1550	1450	2000	1750	1950	1800	1050	1550	2550	2150	1100	2150	2750	1200	700	1600	1150	85	700	205	175	195					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	99087	855	484	809	699	1357	1475	1644	402	1071	740	1411	1607	1367	802	1103	1394	699	407	1396	997	1054	792	528	701	1049	719	1154	735	946	1523	1532	1114	1596	1470	1281	794	1675	554	938	1391	517	318	245	269	1052	1054	1033	1486	1790	682	539	354	1499	688	648	996	1310	144	1394	1665	1086	1436	1606	1210	1343	1066	1440	935	1185	1050	941	916	853	672	1058	983	592	918	694	465	963	772	1234	1164	1253	972	710	1136	1637	1154	736	1348	1606	742	367	895	1101	71	458	82	115	174					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2753	15	2	43	28	53	48	28	14	33	13	21	24	34	32	13	7	29	4	15	30	30	12	18	29	22	83	31	19	20	37	28	18	30	28	44	10	13	17	15	37	57	7	0	1	20	26	12	28	93	13	12	10	31	17	33	3	19	3	60	37	16	37	62	24	34	40	29	34	13	10	19	31	21	7	28	45	14	24	64	9	10	15	15	121	19	31	11	10	29	28	18	19	71	17	4	16	0	0	81	110	58	0					
6	Число погашенных избирательных бюллетеней	61780	630	314	498	573	890	777	828	234	446	547	1118	769	949	466	784	599	472	289	889	723	616	596	454	570	1029	698	615	546	534	1090	990	668	974	1152	875	546	1062	329	697	1022	626	125	5	230	628	670	455	886	417	555	449	336	970	645	219	851	821	83	646	798	128	877	982	666	973	594	1031	431	502	640	440	753	726	571	914	772	744	458	542	326	577	663	751	465	678	797	329	404	884	968	346	783	1073	441	329	689	49	14	161	13	2	21					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2753	15	2	43	28	53	48	28	14	33	13	21	24	34	32	13	7	29	4	15	30	30	12	18	29	22	83	31	19	20	37	28	18	30	28	44	10	13	17	15	37	57	7	0	1	20	26	12	28	93	13	12	10	31	17	33	3	19	3	60	37	16	37	62	24	34	40	29	34	13	10	19	31	21	7	28	45	14	24	64	9	10	15	15	121	19	31	11	10	29	28	18	19	71	17	4	16	0	0	81	110	58	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	99046	855	484	809	699	1357	1475	1641	402	1071	740	1410	1607	1367	802	1103	1394	699	406	1395	997	1054	791	528	701	1047	719	1154	735	945	1523	1531	1113	1596	1469	1281	794	1675	554	938	1391	517	316	245	269	1051	1054	1033	1485	1790	682	539	354	1499	688	648	996	1308	144	1394	1664	1086	1436	1605	1210	1343	1066	1440	935	1185	1049	940	915	853	671	1058	982	592	916	694	465	963	772	1234	1163	1253	972	710	1126	1637	1154	736	1347	1606	742	367	894	1101	71	458	82	115	174					
9	Число недействительных избирательных бюллетеней	847	4	2	7	17	9	11	13	2	5	13	6	15	5	6	13	10	4	2	19	5	10	7	1	2	7	21	8	6	10	8	20	11	3	11	10	10	9	3	7	7	7	2	2	2	8	7	9	13	17	5	5	0	16	8	13	4	8	0	11	19	14	10	6	8	10	14	14	11	18	12	13	4	6	8	2	7	5	9	3	5	6	3	6	13	9	7	5	11	11	8	7	7	15	5	4	2	45	1	2	3	3	0					
10	Число действительных избирательных бюллетеней	100952	866	484	845	710	1401	1512	1656	414	1099	740	1425	1616	1396	828	1103	1391	724	408	1391	1022	1074	796	545	728	1062	781	1177	748	955	1552	1539	1120	1623	1486	1315	794	1679	568	946	1421	567	321	243	268	1063	1073	1036	1500	1866	690	546	364	1514	697	668	995	1319	147	1443	1682	1088	1463	1661	1226	1367	1092	1455	958	1180	1047	946	942	868	670	1084	1020	601	931	755	469	967	784	1243	1271	1263	996	716	1125	1655	1174	747	1359	1662	754	367	908	1056	70	537	189	170	174					
