Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    район Южное Медведково																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №3174					
1	"Число избирателей, внесенных в списки избирателей"	50733	2600	2560	2647	2592	2531	2714	2723	2736	2607	2815	2246	2054	2460	2297	2349	2420	2449	2086	2663	2711	473					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	41000	2100	2000	2200	2100	2000	2100	2200	2200	2100	2300	1800	1700	2000	1800	1900	1900	2000	1700	2100	2200	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	25938	1305	1306	1266	1138	1366	1683	1305	1319	1228	1322	911	907	1244	1316	1301	1237	1317	1073	1433	1489	472					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	803	35	37	42	45	45	34	61	34	26	66	58	45	45	38	46	27	23	32	39	25	0					
6	Число погашенных избирательных бюллетеней	14259	760	657	892	917	589	383	834	847	846	912	831	748	711	446	553	636	660	595	628	686	128					
7	Число избирательных бюллетеней в переносных ящиках для голосования	796	35	31	42	45	45	34	61	34	26	66	58	45	45	38	46	27	23	32	39	24	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	25530	1285	1282	1262	1136	1347	1683	1277	1313	1156	1322	910	906	1231	1316	1299	1140	1311	1041	1411	1430	472					
9	Число недействительных избирательных бюллетеней	550	24	22	23	11	122	35	21	16	17	22	10	12	18	30	29	22	26	8	28	21	33					
10	Число действительных избирательных бюллетеней	25776	1296	1291	1281	1170	1270	1682	1317	1331	1165	1366	958	939	1258	1324	1316	1145	1308	1065	1422	1433	439					
