Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Краснинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11189	1642	495	184	357	332	604	129	451	182	314	577	1216	534	1194	290	259	329	199	284	297	309	430	581									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11035	1650	450	180	350	300	600	125	450	180	300	550	1200	550	1200	280	270	350	200	280	290	300	430	550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6202	1131	182	88	202	126	299	71	278	156	173	159	660	340	635	177	78	255	107	171	227	161	222	304									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1572	78	99	70	34	51	103	37	43	17	14	132	125	20	110	37	152	46	48	39	48	63	115	91									
6	Число погашенных избирательных бюллетеней	3261	441	169	22	114	123	198	17	129	7	113	259	415	190	455	66	40	49	45	70	15	76	93	155									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1572	78	99	70	34	51	103	37	43	17	14	132	125	20	110	37	152	46	48	39	48	63	115	91									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6202	1131	182	88	202	126	299	71	278	156	173	159	660	340	635	177	78	255	107	171	227	161	222	304									
9	Число недействительных избирательных бюллетеней	165	10	2	3	4	2	10	0	3	2	8	5	8	6	16	5	0	0	3	3	0	51	1	23									
10	Число действительных избирательных бюллетеней	7609	1199	279	155	232	175	392	108	318	171	179	286	777	354	729	209	230	301	152	207	275	173	336	372									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	218	40	1	1	4	4	7	3	7	1	10	6	25	14	30	11	9	11	3	13	4	4	5	5									
