Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																	
Дата голосования: 02.12.2007																																																																	
																																																																	
Наименование Избирательной комиссии:    Рубцовская городская																																																																	
																																																																	
Сводная таблица результатов выборов																																																																	
																																																																	
		Сумма	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896					
1	"Число избирателей, внесенных в списки избирателей"	124310	2564	2426	2715	2118	2583	2208	2385	2176	2177	2652	2260	2074	2461	2166	2516	2134	1938	1982	2213	2417	2333	2711	2845	2016	2067	2700	2602	2463	2425	2516	2205	2331	2288	2333	2559	2912	2003	2373	2514	2162	2032	2107	2771	1497	2037	2151	1627	1579	2620	1041	123	246	200	1721	2131	1966	2038	1900					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	88700	1800	1700	1900	1500	1800	1600	1700	1600	1600	1900	1600	1500	1800	1500	1800	1500	1400	1300	1500	1700	1700	1900	2000	1400	1500	1900	1900	1700	1700	1600	1600	1700	1600	1700	1800	2100	1400	1700	1800	1500	1400	1500	1900	1100	1400	1500	1200	1200	1800	1000	200	300	400	1200	1500	1400	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63764	1521	1366	1222	1095	1262	1286	1286	1098	1176	1347	1300	1176	1548	1366	1176	1235	1016	1067	1123	1379	1104	1338	1664	1169	1183	1445	1223	1238	1344	1151	1337	1365	1236	1273	1344	1609	1179	1355	1362	916	859	720	911	665	815	933	828	754	1142	727	0	0	45	890	1152	1074	755	614					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2527	23	35	53	20	20	31	56	22	24	11	32	12	43	18	25	47	33	57	30	41	22	37	53	35	50	38	40	54	37	220	18	31	33	39	57	20	23	20	20	14	21	23	33	16	23	32	29	36	38	74	116	246	149	41	44	17	38	57					
6	Число погашенных избирательных бюллетеней	22409	256	299	625	385	518	283	358	480	400	542	268	312	209	116	599	218	351	176	347	280	574	525	283	196	267	417	637	408	319	229	245	304	331	388	399	471	198	325	418	570	520	757	956	419	562	535	343	410	620	199	84	54	206	269	304	309	607	729					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2527	23	35	53	20	20	31	56	22	24	11	32	12	43	18	25	47	33	57	30	41	22	37	53	35	50	38	40	54	37	220	18	31	33	39	57	20	23	20	20	14	21	23	33	16	23	32	29	36	38	74	116	246	149	41	44	17	38	57					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63732	1520	1366	1222	1095	1262	1285	1285	1098	1176	1346	1299	1176	1547	1364	1175	1235	1016	1067	1123	1378	1104	1338	1664	1169	1183	1445	1222	1238	1344	1148	1337	1365	1235	1271	1342	1609	1177	1352	1362	916	858	720	909	665	814	932	827	754	1142	727	0	0	45	890	1151	1073	755	614					
9	Число недействительных избирательных бюллетеней	651	9	19	23	3	9	13	18	13	10	16	14	7	16	9	10	13	5	14	10	6	16	8	17	3	15	31	6	6	17	20	17	10	9	22	16	17	16	8	19	7	7	2	10	6	8	5	10	7	13	7	0	7	8	9	14	7	14	0					
10	Число действительных избирательных бюллетеней	65608	1534	1382	1252	1112	1273	1303	1323	1107	1190	1341	1317	1181	1574	1373	1190	1269	1044	1110	1143	1413	1110	1367	1700	1201	1218	1452	1256	1286	1364	1348	1338	1386	1259	1288	1383	1612	1184	1364	1363	923	872	741	932	675	829	959	846	783	1167	794	116	239	186	922	1181	1083	779	671					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	860	30	10	10	10	10	30	20	10	10	30	20	20	30	10	20	20	20	10	20	20	10	20	10	30	10	20	20	20	20	10	20	15	10	20	10	15	10	20	20	10	10	10	10	10	10	10	10	10	10	20	0	0	0	10	20	20	10	10					
