Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																														
Дата голосования: 04.12.2011																																														
																																														
Наименование Избирательной комиссии:    Вытегорская																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456					
1	"Число избирателей, внесенных в список избирателей"	22351	1753	1135	1751	1850	1823	284	233	883	133	122	491	225	73	115	114	234	74	221	394	997	196	88	544	235	693	335	1022	1262	954	352	500	142	103	638	1074	200	276	624	208					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22579	1740	1130	1725	1880	1790	265	220	880	150	200	520	225	77	105	115	240	65	227	415	1040	217	88	570	235	700	330	1040	1280	920	350	525	150	115	655	1050	210	280	655	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10711	970	478	879	812	898	164	96	465	76	113	236	108	36	46	67	100	46	81	186	484	99	46	260	151	408	165	444	525	408	182	262	93	51	233	437	138	119	245	104					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1536	71	43	67	55	57	4	23	70	7	9	50	36	13	19	10	27	5	55	30	64	36	11	25	16	24	62	91	84	83	16	41	14	20	101	50	3	18	93	33					
6	Число погашенных избирательных бюллетеней	10332	699	609	779	1013	835	97	101	345	67	78	234	81	28	40	38	113	14	91	199	492	82	31	285	68	268	103	505	671	429	152	222	43	44	321	563	69	143	317	63					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1536	71	43	67	55	57	4	23	70	7	9	50	36	13	19	10	27	5	55	30	64	36	11	25	16	24	62	91	84	83	16	41	14	20	101	50	3	18	93	33					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10711	970	478	879	812	898	164	96	465	76	113	236	108	36	46	67	100	46	81	186	484	99	46	260	151	408	165	444	525	408	182	262	93	51	233	437	138	119	245	104					
9	Число недействительных избирательных бюллетеней	218	24	11	19	15	18	1	3	7	7	0	7	3	1	2	1	3	1	1	3	0	4	0	4	3	13	4	8	9	4	7	4	2	2	6	10	1	4	5	1					
10	Число действительных избирательных бюллетеней	12029	1017	510	927	852	937	167	116	528	76	122	279	141	48	63	76	124	50	135	213	548	131	57	281	164	419	223	527	600	487	191	299	105	69	328	477	140	133	333	136					
