Выборы Президента Российской Федерации																																																																														
																																																																														
"Наименование Избирательной комиссии:    Воронеж, Советская"																																																																														
																																																																														
Итоги голосования 																																																																														
																																																																														
		Сумма	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1370	УИК №1371	УИК №1373					
1	"Число избирателей, внесенных в список"	153786	2715	2822	3009	2935	2597	2865	2051	2827	2240	2491	2612	2673	2683	2230	2548	2260	1384	2047	2602	2036	458	2362	2258	2417	2559	2471	2870	2343	2108	2485	2029	1706	2735	2798	2638	2800	645	2372	2583	2685	1690	2087	285	2189	2553	2427	2464	1375	1341	2287	2754	2790	2463	1403	2222	2398	2638	2314	1805	2128	2215	1967	1721	2593	1438	3063	2337	1706	78	37	69					
2	Число полученных избирательных бюллетеней	147150	2600	2700	2800	2800	2500	2800	2000	2700	2100	2300	2600	2600	2600	2100	2400	2200	1300	2000	2600	2000	300	2300	2200	2300	2500	2400	2800	2300	2000	2400	1900	1700	2600	2700	2600	2700	600	2300	2500	2600	1600	2000	100	2100	2400	2400	2500	1300	1200	2300	2600	2700	2400	1300	2100	2300	2500	2200	1600	2000	2100	1900	1600	2300	1300	2900	2200	1600	100	70	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	77075	1295	1411	1520	1456	1340	1308	902	1419	1056	1220	1238	1379	1209	836	1288	1140	751	979	1412	1128	107	1082	995	1111	1325	1335	1452	1215	1104	1286	979	1001	1238	1513	1474	1616	270	1294	1286	1412	991	1309	42	1120	1396	1276	1439	766	684	1271	1473	1372	1163	657	1195	1213	1292	1183	815	1204	985	940	725	1231	533	1420	1122	738	45	24	69					
5	"Число избирательных бюллетеней, выданных вне помещения"	2700	87	47	37	16	11	76	41	21	29	42	40	56	73	55	26	32	23	31	42	40	0	26	9	18	18	19	39	33	23	32	70	9	41	36	20	20	52	16	44	24	12	14	0	42	44	22	15	26	20	35	30	34	45	11	23	66	26	50	133	19	39	11	17	19	231	216	112	14	0	0	0					
6	Число погашенных избирательных бюллетеней	67375	1218	1242	1243	1328	1149	1416	1057	1260	1015	1038	1322	1165	1318	1209	1086	1028	526	990	1146	832	193	1192	1196	1171	1157	1046	1309	1052	873	1082	851	690	1321	1151	1106	1064	278	990	1170	1164	597	677	58	938	960	1102	1046	508	496	994	1097	1294	1192	632	882	1021	1182	967	652	777	1076	949	858	1050	536	1264	966	848	55	46	11					
7	Число избирательных бюллетеней в переносных ящиках	2700	87	47	37	16	11	76	41	21	29	42	40	56	73	55	26	32	23	31	42	40	0	26	9	18	18	19	39	33	23	32	70	9	41	36	20	20	52	16	44	24	12	14	0	42	44	22	15	26	20	35	30	34	45	11	23	66	26	50	133	19	39	11	17	19	231	216	112	14	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	77010	1295	1411	1520	1456	1340	1307	902	1419	1055	1219	1238	1379	1209	836	1288	1140	750	979	1412	1128	107	1082	993	1110	1324	1335	1452	1215	1103	1285	979	992	1237	1513	1474	1614	270	1291	1286	1412	991	1306	42	1119	1396	1276	1437	765	684	1271	1443	1372	1163	657	1195	1213	1292	1180	815	1204	985	940	725	1231	533	1420	1122	738	45	24	69					
9	Число недействительных избирательных бюллетеней	416	8	8	15	11	6	8	8	9	5	9	9	7	0	4	12	4	4	8	6	2	0	4	6	2	3	14	6	7	5	5	5	6	5	6	10	5	0	7	4	0	3	5	0	10	5	13	5	3	4	6	7	4	16	5	3	5	9	5	5	6	0	7	3	15	3	4	20	2	0	0	0					
10	Число действительных избирательных бюллетеней	79294	1374	1450	1542	1461	1345	1375	935	1431	1079	1252	1269	1428	1282	887	1302	1168	769	1002	1448	1166	107	1104	996	1126	1339	1340	1485	1241	1121	1312	1044	995	1273	1543	1484	1629	322	1300	1326	1436	1000	1315	42	1151	1435	1285	1447	788	700	1300	1466	1402	1192	663	1215	1274	1309	1225	943	1217	1024	944	739	1235	761	1632	1214	750	45	24	69					
