Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																													
Дата голосования: 04.12.2011																																																																													
																																																																													
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																													
																																																																													
Сводная таблица результатов выборов																																																																													
																																																																													
		Сумма	УИК №244	УИК №245	УИК №620	УИК №679	УИК №694	УИК №695	УИК №696	УИК №960	УИК №961	УИК №964	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384					
1	"Число избирателей, внесенных в список избирателей"	117224	1949	1965	416	1347	1897	1596	1732	56	547	51	2055	1890	1433	1057	1062	1842	1648	1774	1481	2389	2160	1555	1993	1984	2173	220	1611	1575	1946	2675	2368	1956	1919	2262	2107	2239	2541	1005	2102	2251	1723	2043	2333	2151	2062	1675	1851	1723	2167	1685	1942	1389	2043	2154	2024	2316	2235	2333	2249	2116	2242	224	659	884	1700	73	2146	175	303	1775					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	108100	1700	1800	600	1200	1700	1400	1600	400	700	100	1900	1700	1300	950	950	1700	1600	1550	1300	1850	1950	1500	1750	1800	2150	200	1450	1450	1700	2400	2100	1800	1750	2050	1900	2050	2350	1850	1900	2050	1750	1900	2150	1950	1850	1500	1700	1550	1950	1450	1700	1250	1850	1950	1850	2100	2050	2050	2050	1950	2000	150	550	750	1550	250	1950	250	300	1650					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	59886	920	968	416	701	915	725	789	55	535	51	1064	950	836	565	610	1036	899	992	912	1281	1379	1116	1225	1004	1106	87	674	681	804	1305	1171	933	933	1049	1030	1041	1261	994	1073	1076	1132	842	1133	976	960	811	951	794	1133	842	1001	773	928	960	875	1059	1116	1139	1046	1066	1046	118	319	376	807	70	1030	174	236	1011					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1011	12	9	0	5	7	13	7	0	0	0	29	25	15	18	16	21	17	23	10	23	20	12	18	4	8	2	10	8	19	25	14	11	12	15	18	16	15	11	10	7	1	15	14	70	6	15	9	21	11	26	8	5	18	16	9	17	10	17	11	5	24	15	10	24	39	0	14	0	64	12					
6	Число погашенных избирательных бюллетеней	47203	768	823	184	494	778	662	804	345	165	49	807	725	449	367	324	643	684	535	378	546	551	372	507	792	1036	111	766	761	877	1070	915	856	805	986	852	993	1074	845	817	967	617	1043	1003	904	884	674	740	735	806	582	691	472	904	974	966	1024	924	894	993	879	930	17	221	350	704	180	906	76	0	627					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1011	12	9	0	5	7	13	7	0	0	0	29	25	15	18	16	21	17	23	10	23	20	12	18	4	8	2	10	8	19	25	14	11	12	15	18	16	15	11	10	7	1	15	14	70	6	15	9	21	11	26	8	5	18	16	9	17	10	17	11	5	24	15	10	24	39	0	14	0	64	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	59794	918	968	416	701	915	725	788	55	535	51	1064	950	836	564	608	1034	899	987	912	1281	1376	1116	1225	1004	1105	87	673	681	804	1305	1166	932	933	1049	1025	1041	1261	994	1073	1062	1130	842	1133	975	960	811	950	793	1092	841	1000	773	928	960	875	1059	1116	1139	1046	1066	1046	118	319	376	807	70	1029	174	236	1011					
9	Число недействительных избирательных бюллетеней	1656	17	38	4	19	17	18	15	1	7	1	24	33	14	19	12	28	20	21	32	39	39	13	31	18	13	5	24	30	22	42	32	39	62	28	30	45	32	24	25	25	20	31	24	26	21	24	39	36	31	40	31	16	26	32	12	33	14	23	20	23	50	4	10	17	24	4	46	3	3	15					
10	Число действительных избирательных бюллетеней	59149	913	939	412	687	905	720	780	54	528	50	1069	942	837	563	612	1027	896	989	890	1265	1357	1115	1212	990	1100	84	659	659	801	1288	1148	904	883	1036	1013	1012	1244	981	1058	1044	1111	826	1123	1019	945	802	920	778	1072	827	977	762	920	944	872	1043	1112	1133	1037	1048	1020	129	319	383	822	66	997	171	297	1008					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2663	40	40	0	30	50	40	40	0	0	0	50	40	30	25	25	50	40	40	30	45	45	25	40	45	60	5	48	35	40	55	50	45	50	50	45	50	55	45	45	50	45	45	50	50	45	35	50	40	45	35	40	30	45	45	45	55	55	55	55	55	55	15	10	20	30	0	50	0	5	60					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	2282	40	35	0	30	40	24	28	0	0	0	48	34	25	19	23	44	38	32	18	45	37	18	40	33	53	3	37	31	33	43	46	44	48	48	39	43	49	41	43	39	35	39	50	39	43	26	49	28	44	32	38	30	45	43	45	36	48	55	40	42	26	7	8	11	26	0	41	0	5	60					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3213	28	15	416	8	23	27	16	55	17	51	16	32	29	15	24	26	47	37	62	365	236	443	70	13	34	9	12	13	61	23	32	8	6	24	17	14	13	42	16	14	9	8	23	22	15	57	22	18	76	56	62	26	38	9	27	36	23	19	29	9	34	29	20	11	11	17	12	53	0	33					
14	Число погашенных неиспользованных открепительных удостоверений	380	0	5	0	0	10	16	12	0	0	0	2	6	5	6	2	6	2	8	12	0	8	7	0	11	7	2	11	4	7	12	4	1	2	2	6	7	6	4	2	11	10	6	0	11	2	9	1	12	1	3	2	0	0	2	0	19	7	0	15	13	29	8	2	9	4	0	9	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	2	2	1	2	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	1	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	2	0	0	0	0	1	0	1	0	0	3					
16	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	15977	245	277	75	178	233	210	203	8	115	14	343	291	315	158	203	327	254	329	271	351	381	285	357	278	255	17	137	173	173	340	335	277	264	291	309	278	315	259	309	250	156	262	339	301	215	256	266	210	219	224	238	208	235	258	240	291	288	274	303	268	228	33	56	67	164	21	282	56	22	314					
		26.28%	26.34%	28.35%	18.03%	25.21%	25.27%	28.46%	25.53%	14.55%	21.50%	27.45%	31.38%	29.85%	37.02%	27.15%	32.53%	30.99%	27.73%	32.57%	29.39%	26.92%	27.29%	25.27%	28.72%	27.58%	22.91%	19.10%	20.06%	25.11%	21.02%	25.56%	28.39%	29.37%	27.94%	27.35%	29.63%	26.30%	24.69%	25.77%	28.53%	23.39%	13.79%	30.57%	29.56%	28.80%	22.26%	30.99%	27.74%	25.80%	19.85%	25.84%	23.61%	26.74%	24.84%	26.43%	27.15%	27.04%	25.58%	23.70%	28.67%	25.02%	21.31%	24.81%	17.02%	16.75%	19.39%	30.00%	27.04%	32.18%	7.33%	30.69%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9428	164	129	90	121	138	126	142	11	59	10	148	112	82	70	77	114	124	105	87	192	162	128	161	180	253	22	141	117	166	195	155	154	141	161	138	178	221	157	149	158	279	127	190	144	185	133	158	119	215	146	174	135	160	156	153	187	156	224	177	155	169	22	69	82	156	11	130	33	19	126					
		15.51%	17.63%	13.20%	21.63%	17.14%	14.97%	17.07%	17.86%	20.00%	11.03%	19.61%	13.54%	11.49%	9.64%	12.03%	12.34%	10.81%	13.54%	10.40%	9.44%	14.72%	11.60%	11.35%	12.95%	17.86%	22.73%	24.72%	20.64%	16.98%	20.17%	14.66%	13.14%	16.33%	14.92%	15.13%	13.23%	16.84%	17.32%	15.62%	13.76%	14.78%	24.67%	14.82%	16.56%	13.78%	19.15%	16.10%	16.48%	14.62%	19.49%	16.84%	17.26%	17.35%	16.91%	15.98%	17.31%	17.38%	13.85%	19.38%	16.75%	14.47%	15.79%	16.54%	20.97%	20.50%	18.44%	15.71%	12.46%	18.97%	6.33%	12.32%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	580	8	9	3	8	15	8	6	0	5	1	12	8	7	7	2	10	14	12	9	7	14	8	7	8	11	0	4	6	10	7	14	4	6	6	9	12	17	7	14	18	8	5	4	11	9	7	8	6	15	9	17	6	13	6	8	7	12	12	14	13	15	0	1	3	8	0	11	4	1	14					
		0.95%	0.86%	0.92%	0.72%	1.13%	1.63%	1.08%	0.75%	0.00%	0.93%	1.96%	1.10%	0.82%	0.82%	1.20%	0.32%	0.95%	1.53%	1.19%	0.98%	0.54%	1.00%	0.71%	0.56%	0.79%	0.99%	0.00%	0.59%	0.87%	1.22%	0.53%	1.19%	0.42%	0.63%	0.56%	0.86%	1.14%	1.33%	0.70%	1.29%	1.68%	0.71%	0.58%	0.35%	1.05%	0.93%	0.85%	0.83%	0.74%	1.36%	1.04%	1.69%	0.77%	1.37%	0.61%	0.90%	0.65%	1.07%	1.04%	1.32%	1.21%	1.40%	0.00%	0.30%	0.75%	0.95%	0.00%	1.05%	2.30%	0.33%	1.37%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	11658	219	158	89	161	199	164	186	8	49	6	211	152	137	109	101	202	147	159	173	221	264	172	196	194	215	17	161	131	150	247	219	180	160	241	192	180	227	167	204	253	136	169	234	221	179	147	180	173	215	164	209	132	232	198	193	229	303	216	211	244	268	20	66	65	166	6	231	27	38	165					
		19.17%	23.55%	16.17%	21.39%	22.80%	21.58%	22.22%	23.40%	14.55%	9.16%	11.76%	19.30%	15.59%	16.10%	18.73%	16.19%	19.15%	16.05%	15.74%	18.76%	16.95%	18.91%	15.25%	15.77%	19.25%	19.32%	19.10%	23.57%	19.01%	18.23%	18.57%	18.56%	19.09%	16.93%	22.65%	18.41%	17.03%	17.79%	16.62%	18.84%	23.67%	12.02%	19.72%	20.40%	21.15%	18.53%	17.80%	18.77%	21.25%	19.49%	18.92%	20.73%	16.97%	24.52%	20.29%	21.83%	21.28%	26.91%	18.69%	19.96%	22.78%	25.05%	15.04%	20.06%	16.25%	19.62%	8.57%	22.15%	15.52%	12.67%	16.13%					
