Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
"Наименование Избирательной комиссии:    Екатеринбург, Железнодорожная"																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №694	УИК №695	УИК №696	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384					
1	"Число избирателей, внесенных в списки избирателей"	117926	1940	669	414	2154	1989	1544	1062	1289	1948	1606	1858	1630	2527	2285	1270	1671	1872	2445	233	1890	1636	1970	2079	2777	2050	2017	2334	2236	2772	2148	2852	2518	2327	2146	2214	2480	2890	2408	1727	2340	1787	2163	1823	2844	2609	3036	2475	2784	2484	2553	2178	2223	2500	2163	157	690	864	1631	177	159	288	310	1811					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	114025	2250	700	500	2050	1900	1550	1000	1100	1950	1500	1750	1500	2500	2300	1100	1650	1400	2400	200	1600	1550	1900	2000	2600	2050	2000	2300	2150	2700	2100	2750	2450	2250	2100	2200	2450	2850	2600	1650	2300	1800	2050	1650	2900	2450	2800	2400	2600	2450	2850	2100	2100	2450	1800	125	500	800	1550	200	250	300	300	1750					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	66982	1398	669	414	1270	1163	985	662	714	1201	869	1199	1090	1201	1545	868	1101	1034	1265	103	942	762	979	1185	1569	1208	1083	1304	1226	1590	1177	1523	1450	1283	1162	1149	1405	1558	1387	968	1377	958	1248	940	1696	1487	1516	1330	1458	1352	1353	1131	1145	1381	1224	86	428	419	889	166	159	288	219	1071					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1806	6	0	0	39	46	16	24	124	38	11	38	21	68	139	22	4	4	10	4	9	23	19	18	10	12	17	25	14	25	24	24	12	12	9	22	17	73	27	21	20	14	11	107	11	48	125	16	17	17	34	21	22	16	44	23	18	40	52	11	0	0	81	31					
6	Число погашенных избирательных бюллетеней	45236	846	31	86	741	691	549	314	262	711	619	513	389	1231	616	210	545	362	1125	93	649	765	902	797	1021	830	900	971	910	1085	899	1203	988	955	929	1029	1028	1219	1186	661	903	828	791	603	1193	915	1159	1054	1125	1081	1463	948	933	1053	532	16	54	341	609	23	91	12	0	648					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1805	6	0	0	39	46	16	24	124	38	11	38	21	68	139	22	4	4	10	4	9	23	19	18	10	12	17	25	14	25	24	24	12	12	9	22	17	73	27	21	20	14	11	107	11	48	125	16	17	17	34	21	22	15	44	23	18	40	52	11	0	0	81	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66936	1398	669	414	1269	1161	985	661	714	1201	869	1197	1090	1201	1545	866	1099	1034	1264	103	942	761	979	1182	1567	1207	1083	1304	1226	1590	1176	1523	1450	1283	1162	1147	1405	1558	1385	968	1376	957	1239	936	1694	1483	1516	1328	1458	1352	1353	1131	1145	1381	1224	86	428	419	889	166	159	288	219	1071					
9	Число недействительных избирательных бюллетеней	780	12	8	2	26	16	15	2	7	14	14	17	11	12	22	9	14	15	11	0	9	9	12	10	8	12	18	15	19	13	14	11	25	10	10	17	11	21	19	11	18	8	14	22	13	16	17	17	21	20	18	15	17	11	10	0	9	10	9	1	1	5	1	6					
10	Число действительных избирательных бюллетеней	67961	1392	661	412	1282	1191	986	683	831	1225	866	1218	1100	1257	1662	879	1089	1023	1263	107	942	775	986	1190	1569	1207	1082	1314	1221	1602	1186	1536	1437	1285	1161	1152	1411	1610	1393	978	1378	963	1236	1021	1692	1515	1624	1327	1454	1349	1369	1137	1150	1385	1258	109	437	449	932	176	158	283	299	1096					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2705	35	0	0	50	45	50	35	18	55	40	35	25	65	50	15	45	95	200	5	40	20	30	45	50	50	50	40	40	55	30	60	65	35	50	25	60	65	70	30	60	30	65	50	65	45	65	50	55	55	75	50	50	40	45	5	10	10	57	0	0	0	5	45					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2198	35	0	0	32	32	40	15	15	37	27	32	18	55	37	8	32	83	200	3	33	19	30	31	40	34	37	38	37	48	28	49	54	35	36	25	44	50	68	20	51	30	47	36	58	45	60	38	38	38	67	34	36	40	27	2	8	9	41	0	0	0	5	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3637	16	669	414	38	35	12	55	113	27	37	47	108	111	239	107	25	25	57	11	0	38	58	36	30	17	10	21	17	38	34	58	29	22	11	13	31	18	16	59	35	20	52	75	47	32	71	29	110	31	21	31	30	14	32	12	57	6	19	76	42	55	4	34					
14	Число погашенных неиспользованных открепительных удостоверений	507	0	0	0	18	13	10	20	3	18	13	3	7	10	13	7	13	12	0	2	7	1	0	14	10	16	13	2	3	7	2	11	11	0	14	0	16	15	2	10	9	0	18	14	7	0	5	12	17	17	8	16	14	0	18	3	2	1	16	0	0	0	0	14					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	98	2	0	0	2	1	0	0	0	2	4	1	3	4	2	0	0	1	1	0	1	1	2	2	0	2	6	3	1	2	1	1	2	5	3	1	4	11	0	0	1	0	4	0	1	2	5	2	2	1	1	2	0	0	2	1	0	0	0	0	0	0	0	3					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	1.Политическая партия «Аграрная партия России»	1403	17	14	5	31	28	30	14	16	36	25	30	21	41	36	8	33	31	25	5	19	12	17	26	44	19	25	30	23	26	23	25	27	27	19	18	23	41	32	23	37	19	22	16	22	25	34	33	24	36	26	19	15	20	27	2	6	7	20	0	6	5	1	36					
		2.04%	1.21%	2.09%	1.21%	2.37%	2.32%	2.99%	2.04%	1.91%	2.91%	2.84%	2.43%	1.89%	3.23%	2.14%	0.90%	2.99%	2.99%	1.96%	4.67%	1.99%	1.53%	1.70%	2.17%	2.79%	1.56%	2.27%	2.26%	1.85%	1.61%	1.92%	1.62%	1.85%	2.08%	1.62%	1.54%	1.62%	2.51%	2.27%	2.33%	2.65%	1.96%	1.76%	1.53%	1.29%	1.63%	2.07%	2.46%	1.63%	2.63%	1.87%	1.65%	1.29%	1.43%	2.13%	1.83%	1.35%	1.53%	2.13%	0.00%	3.77%	1.74%	0.33%	3.27%					
19	2.Всероссийская политическая партия «Гражданская Сила»	3560	25	24	7	86	72	70	45	57	68	57	106	78	48	102	75	66	101	107	3	43	26	40	73	100	52	54	57	67	67	41	87	86	91	90	41	70	87	78	60	43	41	96	41	97	64	89	57	59	33	60	50	52	64	52	3	14	13	39	7	4	10	0	65					
		5.18%	1.78%	3.59%	1.69%	6.57%	5.97%	6.99%	6.57%	6.80%	5.49%	6.48%	8.58%	7.02%	3.78%	6.06%	8.45%	5.98%	9.73%	8.40%	2.80%	4.52%	3.32%	4.01%	6.08%	6.34%	4.27%	4.91%	4.29%	5.40%	4.15%	3.42%	5.62%	5.88%	7.03%	7.69%	3.51%	4.92%	5.33%	5.52%	6.07%	3.08%	4.22%	7.68%	3.93%	5.69%	4.18%	5.42%	4.24%	4.00%	2.41%	4.33%	4.34%	4.46%	4.58%	4.10%	2.75%	3.14%	2.83%	4.14%	3.95%	2.52%	3.47%	0.00%	5.90%					
