Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																								
Дата голосования: 18.09.2016																																																								
																																																								
Наименование Избирательной комиссии:    Тулунская 																																																								
																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																								
																																																								
		Сумма	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20276	503	260	868	485	367	1012	151	217	464	172	151	455	39	127	779	76	891	323	776	516	595	246	1122	270	347	365	957	218	1022	362	257	505	878	343	154	406	376	145	372	527	373	974	110	156	564									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19402	481	252	822	463	360	966	147	206	441	166	141	437	39	116	754	72	856	306	747	492	583	234	1072	260	332	350	922	206	975	349	246	494	836	323	142	381	356	140	354	510	351	927	110	146	539									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7920	269	124	414	277	140	441	73	78	208	28	101	186	24	54	287	41	379	166	345	164	264	86	345	116	101	121	372	85	215	69	72	167	331	159	66	126	150	72	215	204	112	328	47	104	194									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1055	33	17	11	3	26	21	12	22	0	7	0	31	7	6	18	5	28	0	42	28	101	24	54	11	93	41	17	18	73	31	34	4	27	18	8	24	5	2	11	16	63	35	16	0	12									
6	Число погашенных избирательных бюллетеней	10427	179	111	397	183	194	504	62	106	233	131	40	220	8	56	449	26	449	140	360	300	218	124	673	133	138	188	533	103	687	249	140	323	478	146	68	231	201	66	128	290	176	564	47	42	333									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1055	33	17	11	3	26	21	12	22	0	7	0	31	7	6	18	5	28	0	42	28	101	24	54	11	93	41	17	18	73	31	34	4	27	18	8	24	5	2	11	16	63	35	16	0	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7920	269	124	414	277	140	441	73	78	208	28	101	186	24	54	287	41	379	166	345	164	264	86	345	116	101	121	372	85	215	69	72	167	331	159	66	126	150	72	215	204	112	328	47	104	194									
9	Число недействительных избирательных бюллетеней	119	0	1	7	0	0	12	0	0	3	0	0	4	0	0	3	0	0	4	1	0	3	0	11	2	3	2	13	5	1	2	0	2	4	2	5	2	4	0	0	8	2	11	1	1	0									
10	Число действительных избирательных бюллетеней	8856	302	140	418	280	166	450	85	100	205	35	101	213	31	60	302	46	407	162	386	192	362	110	388	125	191	160	376	98	287	98	106	169	354	175	69	148	151	74	226	212	173	352	62	103	206									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	523	13	10	25	10	10	17	5	5	20	5	10	15	5	5	20	5	20	10	15	15	15	7	25	7	10	10	15	5	25	7	10	10	20	7	7	15	10	7	7	10	15	15	7	7	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	144	0	5	7	2	6	2	0	0	1	0	0	2	5	1	20	5	8	1	10	1	15	0	0	4	1	1	6	0	1	1	1	7	11	1	0	1	1	1	0	4	0	3	7	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	0	1	8	0	0	2	0	1	2	0	1	0	4	4	4	4	2	1	1	1	0	0	1	1	4	1	2	3	0	1	2	1	9	2	5	2	2	0	0	1	1	6	2	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	379	13	5	18	8	4	15	5	5	19	5	10	13	0	4	0	0	12	9	5	14	0	7	25	3	9	9	9	5	24	6	9	3	9	6	7	14	9	6	7	6	15	12	0	7	8									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	1	0	4	3	0	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	3	0	2	1	1	1	1	0	0	3	3	0	0	1	0	0	0	1	0	1	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	108	2	1	5	0	4	8	0	1	4	1	1	3	0	2	0	2	2	1	12	2	1	0	2	2	3	1	2	1	3	0	0	2	7	4	0	12	3	1	2	0	1	5	2	2	1									
		1.20%	0.66%	0.71%	1.18%	0.00%	2.41%	1.73%	0.00%	1.00%	1.92%	2.86%	0.99%	1.38%	0.00%	3.33%	0.00%	4.35%	0.49%	0.60%	3.10%	1.04%	0.27%	0.00%	0.50%	1.57%	1.55%	0.62%	0.51%	0.97%	1.04%	0.00%	0.00%	1.17%	1.96%	2.26%	0.00%	8.00%	1.94%	1.35%	0.88%	0.00%	0.57%	1.38%	3.17%	1.92%	0.49%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	310	6	2	26	19	2	10	0	3	6	1	2	7	2	3	2	0	11	10	11	10	7	1	19	6	8	6	19	10	10	2	4	5	8	3	0	7	5	1	10	14	7	14	4	2	5									
		3.45%	1.99%	1.42%	6.12%	6.79%	1.20%	2.16%	0.00%	3.00%	2.88%	2.86%	1.98%	3.23%	6.45%	5.00%	0.66%	0.00%	2.70%	6.02%	2.84%	5.21%	1.92%	0.91%	4.76%	4.72%	4.12%	3.70%	4.88%	9.71%	3.47%	2.00%	3.77%	2.92%	2.23%	1.69%	0.00%	4.67%	3.23%	1.35%	4.42%	6.36%	4.00%	3.86%	6.35%	1.92%	2.43%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	168	5	2	12	1	3	10	0	5	10	2	0	2	0	0	5	0	4	7	7	5	3	2	3	4	8	4	5	2	15	10	0	1	8	2	0	1	1	3	5	2	1	5	0	0	3									
		1.87%	1.66%	1.42%	2.82%	0.36%	1.81%	2.16%	0.00%	5.00%	4.81%	5.71%	0.00%	0.92%	0.00%	0.00%	1.64%	0.00%	0.98%	4.22%	1.81%	2.60%	0.82%	1.82%	0.75%	3.15%	4.12%	2.47%	1.29%	1.94%	5.21%	10.00%	0.00%	0.58%	2.23%	1.13%	0.00%	0.67%	0.65%	4.05%	2.21%	0.91%	0.57%	1.38%	0.00%	0.00%	1.46%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4955	205	79	148	203	85	229	72	63	92	12	94	159	24	42	209	32	224	62	228	99	237	76	253	49	90	86	196	46	121	41	53	88	153	120	51	59	87	41	163	117	94	162	38	72	101									
		55.21%	67.88%	56.03%	34.82%	72.50%	51.20%	49.57%	84.71%	63.00%	44.23%	34.29%	93.07%	73.27%	77.42%	70.00%	68.52%	69.57%	55.04%	37.35%	58.91%	51.56%	64.93%	69.09%	63.41%	38.58%	46.39%	53.09%	50.39%	44.66%	42.01%	41.00%	50.00%	51.46%	42.74%	67.80%	68.92%	39.33%	56.13%	55.41%	72.12%	53.18%	53.71%	44.63%	60.32%	69.23%	49.03%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	34	0	1	5	1	3	3	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	1	0	1	2	0	0	2	0	0	0	5	2	0	0	0	2									
		0.38%	0.00%	0.71%	1.18%	0.36%	1.81%	0.65%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.27%	0.00%	0.25%	1.57%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.58%	0.56%	0.00%	0.00%	1.33%	0.00%	0.00%	0.00%	2.27%	1.14%	0.00%	0.00%	0.00%	0.97%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2									
