Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Улетовская 																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15351	145	560	123	117	688	277	946	259	243	315	616	468	125	620	400	1866	2117	1009	720	391	533	1640	209	112	852									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15600	144	560	123	118	700	275	960	262	246	313	624	468	125	636	400	1925	2150	1040	734	406	536	1673	213	112	857									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4813	45	198	44	48	184	63	278	103	92	140	195	187	42	121	170	565	628	267	201	137	187	582	50	34	252									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	370	6	4	6	13	14	20	41	4	12	11	40	24	9	18	20	10	25	5	28	7	8	23	8	5	9									
6	Число погашенных избирательных бюллетеней	10417	93	358	73	57	502	192	641	155	142	162	389	257	74	497	210	1350	1497	768	505	262	341	1068	155	73	596									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	370	6	4	6	13	14	20	41	4	12	11	40	24	9	18	20	10	25	5	28	7	8	23	8	5	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4813	45	198	44	48	184	63	278	103	92	140	195	187	42	121	170	565	628	267	201	137	187	582	50	34	252									
9	Число недействительных избирательных бюллетеней	174	1	11	1	0	6	0	6	0	0	4	5	8	2	3	12	31	23	9	8	6	10	20	0	1	7									
10	Число действительных избирательных бюллетеней	5009	50	191	49	61	192	83	313	107	104	147	230	203	49	136	178	544	630	263	221	138	185	585	58	38	254									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	266	8	8	8	8	18	8	18	8	8	8	8	8	8	8	8	20	20	20	8	8	8	16	8	8	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	51	0	0	0	0	5	0	0	1	0	0	2	1	0	4	1	10	5	5	2	1	2	9	0	0	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	52	2	3	2	3	1	2	2	1	1	3	2	4	0	4	2	5	3	1	1	0	2	4	1	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	215	8	8	8	8	13	8	18	7	8	8	6	7	8	4	7	10	15	15	6	7	6	7	8	8	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	4	10	4	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	59	0	2	0	0	3	1	0	1	1	1	3	0	0	1	0	9	12	5	0	1	3	10	0	1	5									
		1.14%	0.00%	0.99%	0.00%	0.00%	1.52%	1.20%	0.00%	0.93%	0.96%	0.66%	1.28%	0.00%	0.00%	0.72%	0.00%	1.57%	1.84%	1.84%	0.00%	0.69%	1.54%	1.65%	0.00%	2.56%	1.92%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	230	3	10	0	14	11	4	11	7	3	5	11	11	3	8	8	22	17	14	8	11	11	28	0	1	9									
		4.44%	5.88%	4.95%	0.00%	22.95%	5.56%	4.82%	3.45%	6.54%	2.88%	3.31%	4.68%	5.21%	5.88%	5.76%	4.21%	3.83%	2.60%	5.15%	3.49%	7.64%	5.64%	4.63%	0.00%	2.56%	3.45%									
