Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																															
Дата голосования: 04.12.2011																																																															
																																																															
Наименование Избирательной комиссии:    Беловская городская																																																															
																																																															
Сводная таблица результатов выборов																																																															
																																																															
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116					
1	"Число избирателей, внесенных в список избирателей"	97899	1424	1644	1594	2399	1196	2339	1745	1872	1937	1598	1559	2476	1818	2448	2754	2444	1938	971	2538	2547	1445	2698	797	1978	746	1554	1161	1044	381	1641	1948	1724	1006	2295	2198	2149	1924	1125	385	1747	2068	2400	2776	1953	767	2199	2059	2441	1969	1010	1945	1478	1194	1760	1111	1582					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	105750	1300	2200	2000	2700	1300	2300	2000	2000	1850	1650	1600	2600	1900	2500	3000	2650	1800	1050	2650	2800	1500	3000	900	2100	750	1500	1150	1050	450	1850	1900	1700	1550	2500	2550	2100	2200	1450	400	1850	2050	2300	2850	2000	850	2200	2600	2700	2100	1300	2100	1800	1200	2600	1400	1400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	65247	531	1223	1198	1337	732	1893	1356	1453	1018	1129	1051	1609	1184	1173	1466	1513	1319	484	1480	1759	557	1987	537	1202	338	968	582	558	315	884	1021	879	756	2142	1701	1115	1295	873	278	1003	1297	1590	1789	1364	610	1764	1100	2168	1804	785	1853	1228	926	1562	460	1048					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	6913	204	114	217	400	126	92	292	61	69	72	64	273	27	108	102	197	129	55	53	113	149	88	78	61	96	143	78	147	14	69	205	173	250	153	110	130	126	89	53	66	200	324	22	57	33	114	256	175	102	75	92	129	32	198	23	35					
6	Число погашенных избирательных бюллетеней	33590	565	863	585	963	442	315	352	486	763	449	485	718	689	1219	1432	940	352	511	1117	928	794	925	285	837	316	389	490	345	121	897	674	648	544	205	739	855	779	488	69	781	553	386	1039	579	207	322	1244	357	194	440	155	443	242	840	917	317					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6913	204	114	217	400	126	92	292	61	69	72	64	273	27	108	102	197	129	55	53	113	149	88	78	61	96	143	78	147	14	69	205	173	250	153	110	130	126	89	53	66	200	324	22	57	33	114	256	175	102	75	92	129	32	198	23	35					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	64943	531	1215	1198	1337	732	1893	1356	1453	1018	1129	1051	1609	1184	1173	1466	1513	1319	484	1480	1759	555	1987	537	1141	338	968	582	558	315	884	1021	879	756	2142	1701	1115	1295	784	278	1003	1297	1590	1789	1364	610	1683	1098	2130	1804	785	1853	1228	903	1562	460	1048					
9	Число недействительных избирательных бюллетеней	554	8	2	9	17	4	13	8	2	7	13	21	0	17	17	16	18	0	7	19	18	8	28	6	12	12	23	9	0	7	15	6	12	15	0	0	17	0	0	4	16	0	0	19	19	0	13	38	30	0	17	0	0	0	2	3	7					
10	Число действительных избирательных бюллетеней	71302	727	1327	1406	1720	854	1972	1640	1512	1080	1188	1094	1882	1194	1264	1552	1692	1448	532	1514	1854	696	2047	609	1190	422	1088	651	705	322	938	1220	1040	991	2295	1811	1228	1421	873	327	1053	1497	1914	1792	1402	643	1784	1316	2275	1906	843	1945	1357	935	1758	480	1076					
