Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Беловская городская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117					
1	"Число избирателей, внесенных в списки избирателей"	104323	1501	2056	1741	2814	1235	2565	1631	1952	1402	1920	1598	2281	2304	2610	2263	2594	1278	1223	1147	1500	2058	940	2799	906	2719	892	1632	1207	1167	495	1936	1495	1421	965	1685	2518	2524	2103	2164	1368	386	2596	2584	3108	2670	2464	2782	2982	2048	1292	2236	1913	1375	2014	1218	1325	721					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	106000	1400	1900	1800	2800	1100	2500	1600	1900	2100	1800	1600	2200	2200	2600	2200	2600	1200	1100	1100	2200	2900	1200	3000	1100	2900	1100	1600	1100	1100	500	1900	1700	1600	1400	1500	2400	2200	2100	2200	1400	400	2500	2400	3000	2600	2500	2700	2900	1900	1400	2200	1900	1300	2200	1200	1400	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	71460	1021	1487	1314	1749	618	1480	1019	1357	1366	1328	1070	1515	1500	1334	1597	1959	824	771	729	1460	2013	460	1610	642	1706	485	1060	785	606	406	1088	628	813	851	1099	1509	1926	1281	1562	1139	252	1736	1751	2313	1914	1623	1409	1962	1503	794	2041	1308	1063	1914	910	1241	559					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	8211	179	66	228	81	128	161	239	102	36	85	47	107	40	163	115	34	222	57	86	40	45	82	112	77	90	68	144	152	217	29	84	317	41	114	201	304	176	398	153	102	32	176	327	103	141	183	741	259	93	282	78	101	160	100	224	52	37					
6	Число погашенных избирательных бюллетеней	26329	200	347	258	970	354	859	342	441	698	387	483	578	660	1103	488	607	154	272	285	700	842	658	1278	381	1104	547	396	163	277	65	728	755	746	435	200	587	98	421	485	159	116	588	322	584	545	694	550	679	304	324	81	491	77	186	66	107	104					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8210	179	66	228	81	128	161	239	102	36	85	47	107	40	163	115	34	222	57	86	40	45	82	112	77	90	68	144	152	217	29	84	317	41	114	201	304	176	398	153	102	32	176	327	103	141	183	740	259	93	282	78	101	160	100	224	52	37					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	71209	1021	1487	1086	1749	618	1475	1019	1357	1366	1328	1070	1515	1500	1334	1597	1959	824	771	729	1460	2013	460	1610	642	1706	485	1060	785	606	405	1088	628	813	851	1099	1509	1926	1281	1562	1139	252	1736	1738	2313	1914	1623	1409	1959	1503	794	2041	1307	1063	1914	910	1241	559					
9	Число недействительных избирательных бюллетеней	742	14	13	6	38	10	8	7	11	3	97	3	10	12	8	5	7	0	2	6	9	19	2	5	7	6	1	8	8	7	4	11	2	3	6	0	88	16	9	12	14	0	24	14	12	23	15	0	51	15	6	16	4	31	5	13	12	4					
10	Число действительных избирательных бюллетеней	78677	1186	1540	1308	1792	736	1628	1251	1448	1399	1316	1114	1612	1528	1489	1707	1986	1046	826	809	1491	2039	540	1717	712	1790	552	1196	929	816	430	1161	943	851	959	1300	1725	2086	1670	1703	1227	284	1888	2051	2404	2032	1791	2149	2167	1581	1070	2103	1404	1192	2009	1121	1281	592					
