Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Печорская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №651	УИК №655									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17444	870	1085	802	734	902	1571	1306	1105	932	871	1678	1621	433	359	479	517	873	533	202	571									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16200	800	1000	800	700	800	1500	1200	1000	900	700	1500	1500	400	400	500	500	800	500	200	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6174	237	284	104	192	252	525	434	376	451	432	820	787	108	125	155	178	283	149	39	243									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1229	148	72	168	100	83	36	36	27	3	6	2	17	54	34	39	80	160	84	72	8									
6	Число погашенных избирательных бюллетеней	8797	415	644	528	408	465	939	730	597	446	262	678	696	238	241	306	242	357	267	89	249									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1227	148	72	168	100	83	36	36	27	3	6	2	17	54	34	39	80	160	82	72	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6170	237	283	104	191	251	525	434	376	451	432	819	787	108	125	155	178	283	149	39	243									
9	Число недействительных избирательных бюллетеней	179	7	8	1	4	19	9	15	16	6	13	21	15	2	1	11	4	12	2	5	8									
10	Число действительных избирательных бюллетеней	7218	378	347	271	287	315	552	455	387	448	425	800	789	160	158	183	254	431	229	106	243									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	20	10	10	10	10	10	10	10	20	20	20	20	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	74	3	2	2	4	3	6	6	3	2	1	11	4	1	3	1	5	10	1	1	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	140	16	5	2	15	14	2	23	10	2	2	11	8	6	1	4	5	2	3	0	9									
14	Число погашенных неиспользованных открепительных удостоверений	176	17	8	8	6	7	4	4	7	18	19	9	16	9	7	9	5	0	9	9	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	48	1	0	0	0	1	5	3	2	1	5	9	9	0	1	0	4	5	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	116	6	6	6	8	7	11	7	1	4	7	15	8	5	4	5	2	10	2	0	2									
		1.57%	1.56%	1.69%	2.21%	2.75%	2.10%	1.96%	1.49%	0.25%	0.88%	1.60%	1.83%	0.99%	3.09%	2.52%	2.58%	0.78%	2.26%	0.87%	0.00%	0.80%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	193	5	3	3	6	9	16	8	11	8	52	15	18	5	6	6	6	8	4	2	2									
		2.61%	1.30%	0.85%	1.10%	2.06%	2.69%	2.85%	1.70%	2.73%	1.76%	11.87%	1.83%	2.24%	3.09%	3.77%	3.09%	2.33%	1.81%	1.73%	1.80%	0.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	140	5	8	3	3	8	10	11	8	9	6	16	9	3	7	0	7	21	0	1	5									
		1.89%	1.30%	2.25%	1.10%	1.03%	2.40%	1.78%	2.34%	1.99%	1.98%	1.37%	1.95%	1.12%	1.85%	4.40%	0.00%	2.71%	4.74%	0.00%	0.90%	1.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3208	227	159	146	170	126	229	200	176	198	158	305	309	80	65	94	96	207	96	58	109									
		43.37%	58.96%	44.79%	53.68%	58.42%	37.72%	40.82%	42.55%	43.67%	43.61%	36.07%	37.15%	38.43%	49.38%	40.88%	48.45%	37.21%	46.73%	41.56%	52.25%	43.43%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	0	2	1	2	2	3	2	4	5	1	4	9	0	4	0	2	1	0	0	2									
		0.59%	0.00%	0.56%	0.37%	0.69%	0.60%	0.53%	0.43%	0.99%	1.10%	0.23%	0.49%	1.12%	0.00%	2.52%	0.00%	0.78%	0.23%	0.00%	0.00%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	17	2	1	0	1	0	1	1	2	1	1	1	1	0	0	0	0	2	1	1	1									
		0.23%	0.52%	0.28%	0.00%	0.34%	0.00%	0.18%	0.21%	0.50%	0.22%	0.23%	0.12%	0.12%	0.00%	0.00%	0.00%	0.00%	0.45%	0.43%	0.90%	0.40%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	941	31	63	42	38	53	59	51	54	61	59	97	100	13	21	29	24	66	31	18	31									
		12.72%	8.05%	17.75%	15.44%	13.06%	15.87%	10.52%	10.85%	13.40%	13.44%	13.47%	11.81%	12.44%	8.02%	13.21%	14.95%	9.30%	14.90%	13.42%	16.22%	12.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	33	0	1	0	0	1	2	7	4	2	1	5	1	0	0	1	1	2	2	0	3									
		0.45%	0.00%	0.28%	0.00%	0.00%	0.30%	0.36%	1.49%	0.99%	0.44%	0.23%	0.61%	0.12%	0.00%	0.00%	0.52%	0.39%	0.45%	0.87%	0.00%	1.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	77	7	8	3	1	5	3	10	1	6	8	8	5	2	3	1	1	3	2	0	0									
		1.04%	1.82%	2.25%	1.10%	0.34%	1.50%	0.53%	2.13%	0.25%	1.32%	1.83%	0.97%	0.62%	1.23%	1.89%	0.52%	0.39%	0.68%	0.87%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	0	0	1	1	0	1	0	0	2	2	1	1	0	0	1	0	0	0	0									
		0.15%	0.26%	0.00%	0.00%	0.34%	0.30%	0.00%	0.21%	0.00%	0.00%	0.46%	0.24%	0.12%	0.62%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	253	8	11	9	9	18	19	17	13	19	9	42	22	2	9	11	7	13	3	2	10									
		3.42%	2.08%	3.10%	3.31%	3.09%	5.39%	3.39%	3.62%	3.23%	4.19%	2.05%	5.12%	2.74%	1.23%	5.66%	5.67%	2.71%	2.93%	1.30%	1.80%	3.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	996	52	48	40	30	62	95	62	49	63	52	110	111	14	17	13	33	52	51	16	26									
		13.46%	13.51%	13.52%	14.71%	10.31%	18.56%	16.93%	13.19%	12.16%	13.88%	11.87%	13.40%	13.81%	8.64%	10.69%	6.70%	12.79%	11.74%	22.08%	14.41%	10.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	37	1	3	2	3	0	4	4	1	2	2	4	1	1	1	0	1	3	4	0	0									
		0.50%	0.26%	0.85%	0.74%	1.03%	0.00%	0.71%	0.85%	0.25%	0.44%	0.46%	0.49%	0.12%	0.62%	0.63%	0.00%	0.39%	0.68%	1.73%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1152	33	34	16	15	23	100	74	63	70	67	176	194	34	21	23	73	43	33	8	52									
		15.57%	8.57%	9.58%	5.88%	5.15%	6.89%	17.83%	15.74%	15.63%	15.42%	15.30%	21.44%	24.13%	20.99%	13.21%	11.86%	28.29%	9.71%	14.29%	7.21%	20.72%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
