Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																			
Дата голосования: 18.09.2016																																																																																			
																																																																																			
"Наименование Избирательной комиссии:    Симферополь, Киевская"																																																																																			
																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																			
																																																																																			
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	118750	1002	902	1657	2350	1612	2154	2009	2314	1098	1107	2305	2147	2257	2060	1551	1355	1836	1886	2263	1620	399	2429	1292	1413	2181	1496	1636	2785	2112	1736	1872	1997	1887	2839	2148	1878	2275	2086	2171	2101	1405	1622	1876	2488	3011	2135	2187	1076	2009	1647	1870	1759	1133	1854	1499	2191	1486	1555	1618	1658	2440	2203	2498	121	9	70	636	29	26	67	332	22									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	91750	800	750	1250	1750	1250	1600	1550	1700	850	900	1700	1600	1700	1600	1200	1050	1400	1450	1700	1250	400	1800	1000	1100	1650	1150	1250	2050	1600	1300	1400	1500	1450	2300	1600	1450	1750	1600	1600	1600	1100	1250	1400	1850	2200	1600	1650	850	1500	1250	1450	1400	1600	1450	1150	1650	1150	1200	1250	1300	1800	1650	1850	230	20	85	725	40	50	70	345	35									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	54388	488	480	723	1020	726	1101	1020	977	524	429	1132	891	1061	885	710	636	1005	977	895	620	262	1044	585	630	822	741	747	1282	632	547	161	1268	772	1182	1058	756	1582	845	1137	984	553	981	1044	983	1019	877	865	435	927	817	821	691	1099	892	679	1003	773	591	710	958	803	923	1491	121	6	51	519	13	26	67	291	22									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1806	12	14	37	34	35	14	43	39	30	24	21	31	17	25	16	18	8	13	18	21	93	19	32	16	31	21	21	35	15	24	3	9	8	26	30	46	29	36	12	55	11	20	22	41	30	44	27	25	26	18	34	20	34	13	32	32	41	24	22	18	14	15	17	0	3	19	117	15	0	0	41	0									
6	Число погашенных избирательных бюллетеней	35556	300	256	490	696	489	485	487	684	296	447	547	678	622	690	474	396	387	460	787	609	45	737	383	454	797	388	482	733	953	729	1236	223	670	1092	512	648	139	719	451	561	536	249	334	826	1151	679	758	390	547	415	595	689	467	545	439	615	336	585	518	324	983	712	342	109	11	15	89	12	24	3	13	13									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1806	12	14	37	34	35	14	43	39	30	24	21	31	17	25	16	18	8	13	18	21	93	19	32	16	31	21	21	35	15	24	3	9	8	26	30	46	29	36	12	55	11	20	22	41	30	44	27	25	26	18	34	20	34	13	32	32	41	24	22	18	14	15	17	0	3	19	117	15	0	0	41	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	54349	488	480	723	1020	726	1101	1020	977	524	429	1132	891	1061	885	710	636	1005	977	895	620	262	1044	585	630	822	734	747	1282	632	547	161	1268	772	1182	1028	756	1582	844	1137	984	553	981	1044	983	1019	877	864	435	927	817	821	691	1099	892	679	1003	773	591	710	958	803	923	1491	121	6	51	519	13	26	67	291	22									
9	Число недействительных избирательных бюллетеней	653	13	10	9	14	3	14	18	18	9	6	11	6	6	5	9	4	12	4	11	12	10	17	14	11	6	14	7	25	11	7	5	0	16	17	5	5	13	10	8	6	10	0	5	6	16	15	18	6	11	14	10	11	12	6	10	13	11	3	5	6	8	5	7	0	0	1	27	0	0	2	10	4									
10	Число действительных избирательных бюллетеней	55502	487	484	751	1040	758	1101	1045	998	545	447	1142	916	1072	905	717	650	1001	986	902	629	345	1046	603	635	847	741	761	1292	636	564	159	1277	764	1191	1053	797	1598	870	1141	1033	554	1001	1061	1018	1033	906	873	454	942	821	845	700	1121	899	701	1022	803	612	727	970	809	933	1501	121	9	69	609	28	26	65	322	18									
