Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																	
Дата голосования: 18.09.2016																																																	
																																																	
Наименование Избирательной комиссии:    район Щукино																																																	
																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																	
																																																	
		Сумма	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3780	УИК №3781	УИК №3782	УИК №3783	УИК №3784	УИК №3785	УИК №3786	УИК №3787	УИК №3788									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64372	2474	2072	2146	2629	2675	2186	2504	2708	1389	811	2198	2256	2102	2350	2563	2095	2493	2156	1993	1731	1819	2101	1957	1617	2279	1781	2385	2740	2504	526	234	269	76	156	271	76	25	25									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52806	1980	1650	1700	2100	2150	1700	2000	2386	1100	600	1700	1800	1700	1900	2100	1700	2000	1700	1600	1400	1450	1700	1500	1250	1800	1400	1900	2200	2000	650	250	370	500	200	370	150	100	50									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24476	872	764	661	948	922	773	937	1500	539	314	743	821	707	844	1062	736	931	840	759	710	663	803	794	589	833	698	797	955	732	335	148	249	58	138	191	60	25	25									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	734	19	23	22	13	35	19	23	25	12	1	10	22	23	19	23	21	20	14	11	17	16	17	31	16	22	6	25	35	21	14	86	0	18	18	29	8	0	0									
6	Число погашенных избирательных бюллетеней	27596	1089	863	1017	1139	1193	908	1040	861	549	285	947	957	970	1037	1015	943	1049	846	830	673	771	880	675	645	945	696	1078	1210	1247	301	16	121	424	44	150	82	75	25									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	733	19	23	22	13	35	19	23	25	12	1	10	22	23	19	22	21	20	14	11	17	16	17	31	16	22	6	25	35	21	14	86	0	18	18	29	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24374	872	740	660	948	917	772	935	1498	538	314	738	816	704	839	1055	734	931	836	759	710	644	801	788	588	830	698	797	953	731	334	148	249	58	138	191	60	25	25									
9	Число недействительных избирательных бюллетеней	610	21	28	11	24	23	21	14	42	10	4	17	19	16	18	23	16	36	18	27	23	20	20	10	24	14	13	22	34	12	7	7	5	0	8	0	3	0	0									
10	Число действительных избирательных бюллетеней	24497	870	735	671	937	929	770	944	1481	540	311	731	819	711	840	1054	739	915	832	743	704	640	798	809	580	838	691	800	954	740	341	227	244	76	148	220	65	25	25									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	20	20	20	60	20	20	20	20	20	10	10	20	20	20	30	10	20	20	20	20	20	20	20	10	10	20	20	20	20	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	395	19	9	16	49	12	13	15	9	15	8	10	17	12	9	23	9	11	12	17	13	13	8	11	4	10	17	10	10	14	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	619	11	7	11	16	9	36	23	60	20	11	10	15	15	23	7	11	4	6	15	24	15	25	42	58	19	13	10	10	13	9	12	25	0	4	13	9	2	6									
14	Число погашенных неиспользованных открепительных удостоверений	185	1	11	4	11	8	7	5	11	5	2	0	3	8	11	7	1	9	8	3	7	7	12	9	6	0	3	10	10	6	0	0	0	0	0	0	0	0	0									
