Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																
Дата голосования: 02.12.2007																																																																
																																																																
Наименование Избирательной комиссии:    Острогожская																																																																
																																																																
Сводная таблица результатов выборов																																																																
																																																																
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657					
1	"Число избирателей, внесенных в списки избирателей"	48488	204	308	1680	1892	68	1924	2224	2112	1487	1337	2013	2205	2106	1859	1877	1767	1620	501	291	233	478	508	342	488	818	240	257	74	556	136	780	709	794	765	373	110	432	278	371	348	378	379	796	549	1754	1731	415	130	628	165	834	743	583	619	253	1416	550					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	47240	210	300	1600	1800	60	1800	2200	2000	1700	1500	1900	2100	2000	1800	1800	1700	1500	500	290	250	500	500	330	500	800	230	260	70	550	130	700	600	700	700	380	110	440	300	390	350	380	370	800	580	1700	1700	400	120	630	160	800	700	550	600	250	1400	550					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	27998	93	213	809	1099	29	1141	1188	1224	1095	976	1172	1187	1123	980	1033	990	992	301	189	166	272	254	181	338	528	167	128	50	372	79	485	378	425	380	182	91	233	176	281	227	202	187	357	361	835	868	248	56	409	103	474	472	315	330	187	998	369					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5276	110	24	198	135	25	138	164	108	39	71	23	159	146	109	113	108	63	64	30	56	104	137	86	61	110	39	76	15	80	30	78	94	92	68	86	7	91	30	61	49	53	102	127	105	267	279	56	50	90	33	73	111	140	126	40	216	131					
6	Число погашенных избирательных бюллетеней	13966	7	63	593	566	6	521	848	668	566	453	705	754	731	711	654	602	445	135	71	28	124	109	63	101	162	24	56	5	98	21	137	128	183	252	112	12	116	94	48	74	125	81	316	114	598	553	96	14	131	24	253	117	95	144	23	186	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5274	110	24	198	135	25	138	164	108	39	71	23	159	146	109	113	108	63	64	30	56	104	137	86	61	110	39	76	15	80	30	78	94	92	68	86	7	91	30	61	49	53	102	127	105	265	279	56	50	90	33	73	111	140	126	40	216	131					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	27980	93	213	809	1099	29	1141	1176	1224	1095	976	1172	1187	1120	980	1033	990	992	301	189	166	272	254	181	338	528	167	128	50	372	79	485	378	424	380	182	91	233	176	281	227	202	187	357	361	835	868	248	56	408	103	474	471	315	330	187	998	369					
9	Число недействительных избирательных бюллетеней	291	4	0	5	11	2	17	8	15	13	5	8	9	9	13	19	11	8	3	3	0	2	8	1	1	4	6	2	0	3	2	9	3	0	5	3	0	4	3	2	0	0	2	3	8	2	8	1	0	8	4	5	5	1	7	1	11	4					
10	Число действительных избирательных бюллетеней	32963	199	237	1002	1223	52	1262	1332	1317	1121	1042	1187	1337	1257	1076	1127	1087	1047	362	216	222	374	383	266	398	634	200	202	65	449	107	554	469	516	443	265	98	320	203	340	276	255	287	481	458	1098	1139	303	106	490	132	542	577	454	449	226	1203	496					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	867	0	5	11	20	10	15	35	30	20	15	27	12	27	11	13	9	25	6	5	30	30	10	5	25	30	0	8	2	25	8	15	5	12	5	15	5	10	23	25	10	10	8	10	70	34	25	5	1	5	8	5	15	10	10	5	10	42					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	841	0	5	11	19	8	15	35	30	19	15	27	12	27	11	13	9	24	6	5	30	28	10	5	25	30	0	8	0	25	5	15	5	12	5	12	2	10	23	25	10	10	6	10	70	34	25	1	1	4	8	4	15	10	10	5	10	42					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	406	30	3	6	10	5	19	24	25	9	20	15	6	23	10	8	3	8	4	1	3	5	0	1	3	3	3	0	4	7	4	4	7	5	4	1	3	6	3	1	3	3	1	6	7	13	3	3	3	5	3	4	8	26	4	3	5	10					
14	Число погашенных неиспользованных открепительных удостоверений	25	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	3	3	0	0	0	0	0	2	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	0	0	0	1	1	0	1	3	0	0	0	2	1	1	1	0	1	0	0	0	1	0	0	0	2	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1	3	0	1	1	1	0	2	0	0	0	1	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																
18	1.Политическая партия «Аграрная партия России»	687	3	0	19	21	2	32	27	32	11	16	23	32	35	19	28	20	20	7	3	5	3	11	6	7	9	2	2	1	11	1	10	14	10	13	10	2	3	17	8	16	2	4	10	7	26	24	6	1	10	3	16	10	14	12	7	13	11					
		2.07%	1.48%	0.00%	1.89%	1.70%	3.70%	2.50%	2.01%	2.40%	0.97%	1.53%	1.92%	2.38%	2.76%	1.74%	2.44%	1.82%	1.90%	1.92%	1.37%	2.25%	0.80%	2.81%	2.25%	1.75%	1.41%	0.97%	0.98%	1.54%	2.43%	0.92%	1.78%	2.97%	1.94%	2.90%	3.73%	2.04%	0.93%	8.25%	2.34%	5.80%	0.78%	1.38%	2.07%	1.50%	2.36%	2.09%	1.97%	0.94%	2.01%	2.21%	2.93%	1.72%	3.08%	2.63%	3.08%	1.07%	2.20%					
19	2.Всероссийская политическая партия «Гражданская Сила»	143	1	1	6	5	0	8	9	11	11	4	7	13	6	7	9	4	7	1	0	0	0	0	0	1	2	0	0	0	0	1	1	0	2	6	0	0	2	1	0	0	0	0	2	0	3	2	1	0	0	0	1	2	3	1	1	1	0					
		0.43%	0.49%	0.42%	0.60%	0.41%	0.00%	0.63%	0.67%	0.83%	0.97%	0.38%	0.59%	0.97%	0.47%	0.64%	0.79%	0.36%	0.66%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.31%	0.00%	0.00%	0.00%	0.00%	0.92%	0.18%	0.00%	0.39%	1.34%	0.00%	0.00%	0.62%	0.49%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.27%	0.17%	0.33%	0.00%	0.00%	0.00%	0.18%	0.34%	0.66%	0.22%	0.44%	0.08%	0.00%					
20	3.Политическая партия «Демократическая партия России»	30	1	1	0	1	0	0	2	1	1	1	4	1	0	1	0	1	2	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	1	0					
		0.09%	0.49%	0.42%	0.00%	0.08%	0.00%	0.00%	0.15%	0.08%	0.09%	0.10%	0.33%	0.07%	0.00%	0.09%	0.00%	0.09%	0.19%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.25%	0.00%	0.00%	0.49%	0.00%	0.22%	0.00%	0.18%	0.00%	0.19%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.22%	0.00%	0.08%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	4341	23	32	140	161	10	226	213	207	93	135	150	205	220	138	170	142	119	12	29	18	42	46	33	29	79	15	15	20	73	16	107	68	77	60	21	18	30	17	40	34	29	31	63	70	199	162	27	18	30	14	44	64	62	55	20	123	47					
		13.05%	11.33%	13.50%	13.90%	13.05%	18.52%	17.67%	15.90%	15.54%	8.20%	12.89%	12.55%	15.23%	17.38%	12.67%	14.83%	12.93%	11.28%	3.29%	13.24%	8.11%	11.17%	11.76%	12.36%	7.27%	12.38%	7.28%	7.35%	30.77%	16.15%	14.68%	19.01%	14.41%	14.92%	13.39%	7.84%	18.37%	9.26%	8.25%	11.70%	12.32%	11.37%	10.73%	13.02%	15.02%	18.09%	14.12%	8.88%	16.98%	6.02%	10.29%	8.04%	10.99%	13.63%	12.06%	8.81%	10.13%	9.40%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	87	0	2	3	4	0	6	3	4	5	1	3	3	6	5	5	5	5	0	0	0	0	0	0	2	0	1	0	2	1	1	0	0	1	0	2	0	0	1	0	1	0	0	1	2	4	2	0	0	0	0	0	1	4	0	0	1	0					
		0.26%	0.00%	0.84%	0.30%	0.32%	0.00%	0.47%	0.22%	0.30%	0.44%	0.10%	0.25%	0.22%	0.47%	0.46%	0.44%	0.46%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.49%	0.00%	3.08%	0.22%	0.92%	0.00%	0.00%	0.19%	0.00%	0.75%	0.00%	0.00%	0.49%	0.00%	0.36%	0.00%	0.00%	0.21%	0.43%	0.36%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.88%	0.00%	0.00%	0.08%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	43	0	0	2	2	0	3	4	5	0	1	1	3	1	3	1	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	1	0	0	1	0	1	1					
		0.13%	0.00%	0.00%	0.20%	0.16%	0.00%	0.23%	0.30%	0.38%	0.00%	0.10%	0.08%	0.22%	0.08%	0.28%	0.09%	0.00%	0.09%	0.55%	0.46%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.17%	0.00%	0.00%	0.20%	0.00%	0.18%	0.00%	0.00%	0.22%	0.00%	0.08%	0.20%					
24	7.Политическая партия «Либерально-демократическая партия России»	3487	22	37	97	149	2	125	163	151	161	125	145	149	130	121	125	134	137	52	17	30	39	27	20	44	44	13	16	10	49	7	68	67	81	52	21	11	39	18	36	18	32	23	57	30	76	95	37	7	48	17	54	48	50	46	11	61	43					
		10.49%	10.84%	15.61%	9.63%	12.07%	3.70%	9.77%	12.16%	11.34%	14.20%	11.94%	12.13%	11.07%	10.27%	11.11%	10.91%	12.20%	12.99%	14.25%	7.76%	13.51%	10.37%	6.91%	7.49%	11.03%	6.90%	6.31%	7.84%	15.38%	10.84%	6.42%	12.08%	14.19%	15.70%	11.61%	7.84%	11.22%	12.04%	8.74%	10.53%	6.52%	12.55%	7.96%	11.78%	6.44%	6.91%	8.28%	12.17%	6.60%	9.64%	12.50%	9.87%	8.25%	10.99%	10.09%	4.85%	5.02%	8.60%					
