Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
Наименование Избирательной комиссии:    Угличская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883					
1	"Число избирателей, внесенных в списки избирателей"	40737	2315	2116	2064	2112	2252	2320	2243	2179	2020	1995	1761	2254	1660	531	1039	620	149	419	267	1017	346	153	291	557	317	285	453	255	196	454	561	275	365	114	417	107	344	103	196	196	132	224	108	260	191	241	109	154	496	522	982					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	38100	2100	2000	1800	2000	2000	2100	2000	1900	1950	1800	1500	2000	1500	400	900	630	150	380	260	970	350	160	270	550	300	280	460	270	200	630	550	280	380	140	470	110	350	100	200	200	130	220	120	240	250	250	110	170	500	550	970					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	21435	1248	1121	1188	1110	1218	1349	1138	984	1023	1161	1000	1152	925	219	475	369	74	288	145	298	166	77	140	287	79	188	230	112	103	382	329	184	156	56	215	48	193	47	119	94	72	119	67	194	151	128	66	73	247	143	485					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3670	62	64	59	65	52	34	59	98	64	30	38	49	41	35	63	21	39	40	54	372	83	42	102	53	128	37	177	80	42	72	88	18	128	58	143	33	126	34	55	65	49	65	28	32	40	74	16	32	180	195	56					
6	Число погашенных избирательных бюллетеней	12995	790	815	553	825	730	717	803	818	863	609	462	799	534	146	362	240	37	52	61	300	101	41	28	210	93	55	53	78	55	176	133	78	96	26	112	29	31	19	26	41	9	36	25	14	59	48	28	65	73	212	429					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3670	62	64	59	65	52	34	59	98	64	30	38	49	41	35	63	21	39	40	54	372	83	42	102	53	128	37	177	80	42	72	88	18	128	58	143	33	126	34	55	65	49	65	28	32	40	74	16	32	180	195	56					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21429	1248	1121	1188	1110	1218	1349	1134	982	1023	1161	1000	1152	925	219	475	369	74	288	145	298	166	77	140	287	79	188	230	112	103	382	329	184	156	56	215	48	193	47	119	94	72	119	67	194	151	128	66	73	247	143	485					
9	Число недействительных избирательных бюллетеней	168	8	8	18	0	16	7	7	4	15	13	7	12	6	4	0	6	0	5	0	5	3	0	0	2	2	1	0	2	1	6	1	0	1	0	0	0	1	2	1	0	0	0	0	0	0	1	1	0	0	0	2					
10	Число действительных избирательных бюллетеней	24931	1302	1177	1229	1175	1254	1376	1186	1076	1072	1178	1031	1189	960	250	538	384	113	323	199	665	246	119	242	338	205	224	407	190	144	448	416	202	283	114	358	81	318	79	173	159	121	184	95	226	191	201	81	105	427	338	539					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	558	34	29	29	31	32	33	29	25	45	10	15	13	8	5	4	14	5	3	5	8	4	4	7	8	4	4	7	7	4	9	13	9	6	3	17	3	5	3	5	3	3	3	3	3	3	4	3	3	7	8	16					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	367	21	18	9	14	25	16	20	17	34	10	9	13	8	4	3	3	5	0	4	1	4	1	0	5	1	4	4	7	4	1	13	9	6	3	11	0	5	2	5	3	0	2	2	3	2	4	1	0	7	8	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	338	16	25	12	6	15	5	12	29	7	9	11	11	32	4	14	5	3	26	5	2	1	2	5	2	2	3	11	2	1	3	8	2	0	1	4	2	7	1	3	3	1	5	1	2	2	3	4	0	4	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	191	13	11	20	17	7	17	9	8	11	0	6	0	0	1	1	11	0	3	1	7	0	3	7	3	3	0	3	0	0	8	0	0	0	0	6	3	0	1	0	0	3	1	1	0	1	0	2	3	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	0	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
