Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																										
Дата голосования: 04.12.2011																																																										
																																																										
Наименование Избирательной комиссии:    Угличская																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871					
1	"Число избирателей, внесенных в список избирателей"	39928	2027	1871	1961	1940	2068	2224	2353	2064	1918	1972	2053	2440	1546	566	983	604	168	407	257	226	109	534	880	779	161	296	357	126	501	310	87	133	186	596	576	622	271	581	451	224	262	185	181	129	227	380	226	105	158	456	191					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	39565	2030	1940	1970	2000	2050	2200	2340	2070	1830	1950	1800	2400	1550	550	980	580	120	365	260	210	115	555	880	780	145	310	320	125	480	300	90	150	185	580	570	590	270	570	450	230	285	190	185	130	230	400	230	100	155	470	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	18357	1042	923	1017	899	1009	1248	1085	841	904	1016	954	1113	822	195	397	199	66	230	100	88	42	165	402	247	78	148	136	44	175	119	52	54	85	324	248	280	126	182	175	86	140	89	70	55	133	108	95	45	46	171	89					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2826	63	29	51	72	49	15	23	69	43	41	40	49	37	30	61	172	28	47	36	38	24	81	37	170	18	38	84	42	144	107	15	24	30	59	70	69	78	116	118	42	16	31	28	47	25	42	44	20	43	124	47					
6	Число погашенных избирательных бюллетеней	18382	925	988	902	1029	992	937	1232	1160	883	893	806	1238	691	325	522	209	26	88	124	84	49	309	441	363	49	124	100	39	161	74	23	72	70	197	252	241	66	272	157	102	129	70	87	28	72	250	91	35	66	175	164					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2826	63	29	51	72	49	15	23	69	43	41	40	49	37	30	61	172	28	47	36	38	24	81	37	170	18	38	84	42	144	107	15	24	30	59	70	69	78	116	118	42	16	31	28	47	25	42	44	20	43	124	47					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18357	1042	923	1017	899	1009	1248	1085	841	904	1016	954	1113	822	195	397	199	66	230	100	88	42	165	402	247	78	148	136	44	175	119	52	54	85	324	248	280	126	182	175	86	140	89	70	55	133	108	95	45	46	171	89					
9	Число недействительных избирательных бюллетеней	272	15	14	27	10	9	13	5	13	22	17	10	15	15	5	2	3	0	1	0	0	0	0	8	7	5	5	2	0	5	2	1	0	1	2	1	5	3	2	7	5	0	1	2	0	0	2	3	0	0	3	4					
10	Число действительных избирательных бюллетеней	20911	1090	938	1041	961	1049	1250	1103	897	925	1040	984	1147	844	220	456	368	94	276	136	126	66	246	431	410	91	181	218	86	314	224	66	78	114	381	317	344	201	296	286	123	156	119	96	102	158	148	136	65	89	292	132					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	681	38	40	35	35	35	35	35	35	40	30	33	40	25	8	16	8	3	5	4	4	3	8	15	14	3	5	6	3	7	5	4	3	5	9	9	9	4	9	10	4	6	3	3	3	5	6	4	2	3	7	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	316	28	20	11	18	18	16	25	8	13	15	16	15	10	2	2	1	0	3	2	0	0	8	4	2	0	5	6	1	7	5	4	0	3	2	6	2	3	7	8	0	5	3	0	1	5	3	2	1	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	274	10	9	11	11	9	8	11	18	13	4	12	5	3	3	5	14	0	37	0	3	1	1	4	4	2	3	4	2	10	3	3	0	4	1	2	3	3	6	3	1	3	0	1	1	3	2	4	6	2	3	3					
14	Число погашенных неиспользованных открепительных удостоверений	365	10	20	24	17	17	19	10	27	27	15	17	25	15	6	14	7	3	2	2	4	3	0	11	12	3	0	0	2	0	0	0	3	2	7	3	7	1	2	2	4	1	0	3	2	0	3	2	1	3	7	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5407	277	254	282	285	272	386	267	223	273	314	308	365	250	40	121	75	22	104	29	31	13	62	126	128	13	42	47	11	59	35	11	13	15	74	87	79	30	55	56	21	15	17	20	23	35	19	30	5	13	48	27					
		25.53%	25.07%	26.68%	26.40%	29.35%	25.71%	30.56%	24.10%	24.51%	28.83%	29.71%	30.99%	31.41%	29.10%	17.78%	26.42%	20.22%	23.40%	37.55%	21.32%	24.60%	19.70%	25.20%	28.70%	30.70%	13.54%	22.58%	21.36%	12.79%	18.50%	15.49%	16.42%	16.67%	13.04%	19.32%	27.36%	22.64%	14.71%	18.46%	19.11%	16.41%	9.62%	14.17%	20.41%	22.55%	22.15%	12.67%	21.58%	7.69%	14.61%	16.27%	19.85%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3063	148	130	135	130	174	183	162	143	144	135	111	171	124	41	61	60	11	29	23	12	14	30	41	56	19	32	35	15	57	38	14	9	21	51	32	58	49	53	48	13	23	34	15	18	21	20	26	10	18	43	23					
		14.46%	13.39%	13.66%	12.64%	13.39%	16.45%	14.49%	14.62%	15.71%	15.21%	12.77%	11.17%	14.72%	14.44%	18.22%	13.32%	16.17%	11.70%	10.47%	16.91%	9.52%	21.21%	12.20%	9.34%	13.43%	19.79%	17.20%	15.91%	17.44%	17.87%	16.81%	20.90%	11.54%	18.26%	13.32%	10.06%	16.62%	24.02%	17.79%	16.38%	10.16%	14.74%	28.33%	15.31%	17.65%	13.29%	13.33%	18.71%	15.38%	20.22%	14.58%	16.91%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	248	16	5	15	9	10	20	8	10	10	8	14	12	11	8	6	10	1	7	2	3	0	1	5	2	0	2	2	0	2	1	0	1	2	4	5	7	2	1	2	0	0	1	6	2	3	3	2	1	0	4	2					
		1.17%	1.45%	0.53%	1.40%	0.93%	0.95%	1.58%	0.72%	1.10%	1.06%	0.76%	1.41%	1.03%	1.28%	3.56%	1.31%	2.70%	1.06%	2.53%	1.47%	2.38%	0.00%	0.41%	1.14%	0.48%	0.00%	1.08%	0.91%	0.00%	0.63%	0.44%	0.00%	1.28%	1.74%	1.04%	1.57%	2.01%	0.98%	0.34%	0.68%	0.00%	0.00%	0.83%	6.12%	1.96%	1.90%	2.00%	1.44%	1.54%	0.00%	1.36%	1.47%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4914	294	250	279	259	258	336	328	215	237	261	239	257	242	47	121	60	18	80	21	24	8	59	76	87	11	32	44	19	65	28	6	13	21	84	42	63	30	73	45	23	31	21	12	17	22	15	21	10	22	65	23					
		23.20%	26.61%	26.26%	26.12%	26.67%	24.39%	26.60%	29.60%	23.63%	25.03%	24.69%	24.04%	22.12%	28.17%	20.89%	26.42%	16.17%	19.15%	28.88%	15.44%	19.05%	12.12%	23.98%	17.31%	20.86%	11.46%	17.20%	20.00%	22.09%	20.38%	12.39%	8.96%	16.67%	18.26%	21.93%	13.21%	18.05%	14.71%	24.50%	15.36%	17.97%	19.87%	17.50%	12.24%	16.67%	13.92%	10.00%	15.11%	15.38%	24.72%	22.03%	16.91%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	651	60	32	34	29	40	56	53	46	43	33	28	34	15	8	16	13	0	1	2	2	0	4	6	4	2	5	4	1	1	7	2	0	4	7	3	19	6	9	4	0	4	2	0	0	3	2	0	2	1	2	2					
		3.07%	5.43%	3.36%	3.18%	2.99%	3.78%	4.43%	4.78%	5.05%	4.54%	3.12%	2.82%	2.93%	1.75%	3.56%	3.49%	3.50%	0.00%	0.36%	1.47%	1.59%	0.00%	1.63%	1.37%	0.96%	2.08%	2.69%	1.82%	1.16%	0.31%	3.10%	2.99%	0.00%	3.48%	1.83%	0.94%	5.44%	2.94%	3.02%	1.37%	0.00%	2.56%	1.67%	0.00%	0.00%	1.90%	1.33%	0.00%	3.08%	1.12%	0.68%	1.47%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6507	287	261	290	246	286	268	280	256	207	280	276	306	201	75	126	147	39	52	59	49	29	90	174	130	46	68	85	40	130	115	33	42	50	158	146	114	84	103	131	66	81	44	42	42	74	86	57	37	35	130	54					
		30.72%	25.97%	27.42%	27.15%	25.33%	27.03%	21.22%	25.27%	28.13%	21.86%	26.49%	27.77%	26.33%	23.40%	33.33%	27.51%	39.62%	41.49%	18.77%	43.38%	38.89%	43.94%	36.59%	39.64%	31.18%	47.92%	36.56%	38.64%	46.51%	40.75%	50.88%	49.25%	53.85%	43.48%	41.25%	45.91%	32.66%	41.18%	34.56%	44.71%	51.56%	51.92%	36.67%	42.86%	41.18%	46.84%	57.33%	41.01%	56.92%	39.33%	44.07%	39.71%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	121	8	6	6	3	9	1	5	4	11	9	8	2	1	1	5	3	3	3	0	5	2	0	3	3	0	0	1	0	0	0	0	0	1	3	2	4	0	2	0	0	2	0	1	0	0	3	0	0	0	0	1					
