Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Шумихинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23464	860	1227	1396	1235	917	1250	928	1569	1177	801	1358	2094	135	556	705	310	721	627	201	184	542	312	375	288	494	278	332	263	382	555	282	373	115	391	231									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21000	800	1000	1000	1000	900	1000	800	1500	1000	800	1000	2000	150	500	700	300	700	600	200	200	500	300	350	250	500	250	300	250	350	500	250	350	100	400	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8327	319	398	409	372	387	412	278	416	420	246	433	602	94	192	275	133	220	291	87	43	227	152	146	133	189	115	176	137	210	218	122	151	67	149	108									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1939	36	79	79	56	41	34	102	109	72	36	48	114	9	100	79	67	105	34	26	50	59	27	96	47	67	24	24	18	21	37	46	59	18	87	33									
6	Число погашенных избирательных бюллетеней	10734	445	523	512	572	472	554	420	975	508	518	519	1284	47	208	346	100	375	275	87	107	214	121	108	70	244	111	100	95	119	245	82	140	15	164	59									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1939	36	79	79	56	41	34	102	109	72	36	48	114	9	100	79	67	105	34	26	50	59	27	96	47	67	24	24	18	21	37	46	59	18	87	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8326	319	398	408	372	387	412	278	416	420	246	433	602	94	192	275	133	220	291	87	43	227	152	146	133	189	115	176	137	210	218	122	151	67	149	108									
9	Число недействительных избирательных бюллетеней	123	5	6	8	4	6	3	1	9	2	3	4	7	3	2	11	4	3	4	2	1	4	0	0	1	5	0	4	1	4	1	1	5	1	6	2									
10	Число действительных избирательных бюллетеней	10142	350	471	479	424	422	443	379	516	490	279	477	709	100	290	343	196	322	321	111	92	282	179	242	179	251	139	196	154	227	254	167	205	84	230	139									
