Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																															
Дата голосования: 07.12.2003 0:00:00																																																															
																																																															
Наименование Избирательной комиссии:    Октябрьская																																																															
																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																															
																																																															
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870					
1	"Число избирателей, внесенных в списки"	98537	1975	1692	1734	1279	2044	1438	2561	1494	1619	1156	2169	2422	2818	2621	2891	3039	2606	2550	2691	2507	2680	2210	2923	1860	2560	2521	2831	2044	2198	2258	2642	2072	2463	1481	2211	944	2010	1821	518	2232	1427	770	726	340	1603	1813	1627	1907	292	453	436	700	350	42	83	183					
2	"Число бюллетеней, полученных участковыми комиссиями"	98780	1910	1700	1820	1200	2920	1700	2530	1520	1600	1130	1800	2430	2810	2550	2880	2940	2510	2500	2500	2500	2660	2150	2660	1720	2560	2600	2870	2010	2170	2560	2640	2120	2500	1530	2150	1060	1990	1790	500	2240	1450	760	720	340	1600	1800	1580	1900	280	450	400	870	370	50	90	190					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	61600	1076	970	1357	716	1786	703	1733	722	756	661	1496	1327	1656	1611	2318	1585	1348	1628	1695	1683	1404	1521	1740	1010	1381	1570	1604	1001	1199	1455	1601	1207	1531	872	1200	867	1524	1302	260	1781	1135	554	453	288	1068	1050	984	1471	219	213	222	595	224	42	83	142					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	5226	42	55	41	104	258	56	25	112	7	29	48	116	107	196	157	187	140	157	119	67	93	129	76	95	104	98	82	73	143	119	169	74	416	62	51	56	54	59	34	15	8	50	62	46	191	57	193	95	58	126	90	105	79	0	0	41					
6	Число погашенных бюллетеней	31954	792	675	422	380	876	941	772	686	837	440	256	987	1047	743	405	1168	1022	715	686	750	1163	500	844	615	1075	932	1184	936	828	986	870	839	553	596	899	137	412	429	206	444	307	156	205	6	341	693	403	334	3	111	88	170	67	8	7	7					
7	Число бюллетеней в переносных ящиках для голосования	5226	42	55	41	104	258	56	25	112	7	29	48	116	107	196	157	187	140	157	119	67	93	129	76	95	104	98	82	73	143	119	169	74	416	62	51	56	54	59	34	15	8	50	62	46	191	57	193	95	58	126	90	105	79	0	0	41					
8	Число бюллетеней в стационарных ящиках для голосования	61579	1076	970	1357	716	1786	703	1729	721	756	660	1495	1327	1656	1611	2318	1583	1348	1628	1694	1683	1404	1521	1724	1010	1381	1570	1604	1001	1199	1455	1601	1207	1531	872	1200	888	1521	1299	260	1781	1126	554	453	288	1067	1050	984	1471	219	213	222	595	224	42	83	142					
9	Число недействительных бюллетеней	1123	23	38	19	28	11	15	20	25	17	13	45	19	0	11	20	26	16	21	32	0	18	7	10	3	9	19	27	28	6	47	11	49	75	16	40	21	106	36	9	13	19	5	22	11	8	9	5	48	3	16	13	15	0	0	0	0					
10	Число действительных бюллетеней	65682	1095	987	1379	792	2033	744	1734	808	746	676	1498	1424	1763	1796	2455	1744	1472	1764	1781	1750	1479	1643	1790	1102	1476	1649	1659	1046	1336	1527	1759	1232	1872	918	1211	923	1469	1322	285	1783	1115	599	493	323	1250	1098	1172	1518	274	323	299	685	303	42	83	183					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	2200	34	35	45	30	55	38	30	30	30	30	36	60	80	30	60	90	65	55	70	50	55	62	70	50	50	38	66	45	40	55	60	40	40	35	57	30	30	30	30	30	30	30	11	30	30	37	30	30	30	30	30	13	3	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	1744	29	30	37	17	48	35	11	27	21	25	34	41	70	28	56	73	59	51	68	39	49	46	60	38	47	38	65	37	34	52	50	30	30	28	56	15	23	15	6	27	22	17	6	15	30	37	24	19	1	5	11	9	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1105	6	21	8	16	10	14	15	20	8	13	321	13	24	10	6	13	16	21	34	7	7	12	22	11	14	21	22	14	10	12	16	7	28	7	12	3	8	3	3	9	18	10	7	4	6	8	7	7	6	4	8	11	3	14	59	96					
14	Число погашенных открепительных удостоверений	456	5	5	8	13	7	3	19	3	9	5	2	19	10	2	4	17	6	4	2	11	6	16	10	12	3	0	1	8	6	3	10	10	10	7	1	15	7	15	24	3	8	13	5	15	0	0	6	11	29	25	19	4	0	0	0	0					
15	Число открепительных удостоверений выданных ТИК	4	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																															
18	"1. ""ЕДИНЕНИЕ"""	491	27	28	18	19	0	2	22	9	10	10	0	0	0	6	8	11	0	0	0	8	15	10	10	1	15	17	9	18	4	3	9	17	11	11	19	24	0	8	0	0	7	4	0	17	9	7	16	24	7	5	12	2	2	0	0	0					
		0.73%	2.41%	2.73%	1.28%	2.31%	0.0%	0.26%	1.25%	1.08%	1.31%	1.45%	0.0%	0.0%	0.0%	0.33%	0.32%	0.62%	0.0%	0.0%	0.0%	0.45%	1.00%	0.60%	0.55%	0.09%	1.01%	1.01%	0.53%	1.67%	0.29%	0.19%	0.50%	1.32%	0.56%	1.17%	1.51%	2.54%	0.0%	0.58%	0.0%	0.0%	0.61%	0.66%	0.0%	5.08%	0.71%	0.63%	1.35%	1.53%	2.52%	1.47%	3.84%	0.28%	0.66%	0.0%	0.0%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	2288	33	31	46	28	69	38	51	32	24	34	36	92	152	46	74	80	67	45	61	52	59	37	54	38	75	48	56	33	24	122	75	139	42	27	41	13	34	10	36	47	29	4	5	5	25	15	29	35	2	12	6	17	3	0	0	0					
		3.42%	2.95%	3.02%	3.29%	3.41%	3.37%	5.00%	2.90%	3.84%	3.14%	4.93%	2.33%	6.37%	8.62%	2.54%	2.98%	4.51%	4.50%	2.52%	3.36%	2.97%	3.94%	2.24%	3.0%	3.43%	5.05%	2.87%	3.32%	3.07%	1.78%	7.75%	4.23%	10.85%	2.15%	2.89%	3.27%	1.37%	2.15%	0.73%	12.24%	2.61%	2.55%	0.66%	0.97%	1.49%	1.98%	1.35%	2.46%	2.23%	0.72%	3.53%	1.92%	2.42%	0.99%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	464	19	15	16	8	26	7	11	18	4	4	0	0	0	1	7	20	0	4	0	17	15	16	13	2	8	25	9	14	3	8	3	19	11	31	18	4	0	9	0	12	5	6	0	3	14	3	7	14	2	9	1	2	0	0	0	1					
