Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																														
Дата голосования: 07.12.2003 0:00:00																																																														
																																																														
Наименование Избирательной комиссии:    Емельяновская																																																														
																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																														
																																																														
		Сумма	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151					
1	"Число избирателей, внесенных в списки"	29281	1945	1095	2138	858	1270	577	134	336	330	326	826	784	492	1098	317	56	1063	1352	127	337	399	212	1064	546	394	525	1858	584	461	787	263	121	179	139	96	241	336	189	1034	130	152	163	120	657	180	107	127	62	617	424	330	158	40	1008	117					
2	"Число бюллетеней, полученных участковыми комиссиями"	28946	1828	1061	2098	860	1242	578	130	338	323	324	832	772	479	1065	309	62	1019	1330	128	325	399	224	1035	556	352	537	1839	586	462	789	271	132	182	120	104	220	352	189	1030	130	158	169	128	651	176	97	118	64	636	431	335	189	47	1016	119					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12223	738	503	847	389	465	281	76	112	128	119	419	232	181	364	122	47	614	538	51	178	146	118	399	279	146	182	709	243	179	323	140	74	75	56	51	90	146	79	374	54	59	84	55	235	90	54	66	37	233	184	143	92	33	535	56					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	390	21	6	13	8	9	3	0	0	2	1	0	7	3	9	3	0	13	7	0	0	4	0	9	0	9	6	20	2	8	8	12	0	4	0	0	0	9	0	37	0	2	0	2	7	7	4	11	3	43	8	3	0	0	59	8					
6	Число погашенных бюллетеней	16334	1069	552	1238	463	768	294	54	226	193	204	413	533	295	692	184	15	392	785	77	147	249	106	627	277	197	349	1110	341	275	458	119	58	103	64	53	130	197	110	619	76	97	85	71	409	79	39	41	24	360	240	189	97	14	422	55					
7	Число бюллетеней в переносных ящиках для голосования	390	21	6	13	8	9	3	0	0	2	1	0	7	3	9	3	0	13	7	0	0	4	0	9	0	9	6	20	2	8	8	12	0	4	0	0	0	9	0	37	0	2	0	2	7	7	4	11	3	43	8	3	0	0	59	8					
8	Число бюллетеней в стационарных ящиках для голосования	12222	738	503	847	389	465	281	76	112	128	119	419	232	181	364	122	47	614	538	51	178	146	118	399	279	146	182	709	243	179	323	140	74	75	56	51	90	146	79	374	54	59	84	55	235	90	54	66	37	233	183	143	92	33	535	56					
9	Число недействительных бюллетеней	299	10	12	10	4	7	7	1	4	5	6	5	6	1	0	6	6	12	10	2	4	3	0	12	2	8	13	10	6	15	11	4	1	2	2	2	4	3	6	16	0	3	0	0	9	0	0	5	6	5	5	6	0	1	18	3					
10	Число действительных бюллетеней	12313	749	497	850	393	467	277	75	108	125	114	414	233	183	373	119	41	615	535	49	174	147	118	396	277	147	175	719	239	172	320	148	73	77	54	49	86	152	73	395	54	58	84	57	233	97	58	72	34	271	186	140	92	32	576	61					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	20	15	20	15	15	10	1	3	3	3	7	7	5	10	6	1	10	15	1	4	6	2	10	4	4	5	10	5	7	10	2	1	2	2	2	2	3	2	9	2	2	2	1	7	1	1	1	1	8	4	3	1	1	5	1					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	43	3	2	6	3	0	0	0	0	0	0	0	1	0	3	0	0	0	3	0	0	2	0	1	0	0	0	2	1	0	2	0	1	0	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	1	1	0	0	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	89	2	0	3	3	2	1	0	2	0	0	8	2	3	1	7	0	4	4	3	1	2	2	5	1	2	1	0	0	0	0	1	1	2	0	0	3	2	1	1	0	4	1	1	3	2	3	0	0	4	1	0	0	0	0	0					
14	Число погашенных открепительных удостоверений	257	17	13	14	12	15	10	1	3	3	3	7	6	5	7	6	1	10	12	1	4	4	2	9	4	4	5	8	4	7	8	2	0	2	2	2	2	2	2	6	2	2	1	1	7	0	1	1	1	8	3	2	1	1	0	1					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
																																																														
18	"1. ""ЕДИНЕНИЕ"""	176	3	7	9	6	6	0	2	2	2	1	3	4	2	5	1	0	6	6	0	3	6	7	9	8	3	3	9	1	3	7	1	1	1	0	1	1	2	2	2	4	0	1	2	4	1	0	3	0	2	3	5	2	1	10	3					
		1.39%	0.39%	1.37%	1.04%	1.51%	1.26%	0.0%	2.63%	1.78%	1.53%	0.83%	0.71%	1.67%	1.08%	1.34%	0.8%	0.0%	0.95%	1.10%	0.0%	1.68%	4.0%	5.93%	2.20%	2.86%	1.93%	1.59%	1.23%	0.40%	1.60%	2.11%	0.65%	1.35%	1.26%	0.0%	1.96%	1.11%	1.29%	2.53%	0.48%	7.40%	0.0%	1.19%	3.50%	1.65%	1.03%	0.0%	3.89%	0.0%	0.72%	1.57%	3.42%	2.17%	3.03%	1.68%	4.68%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	210	24	3	18	10	8	3	0	0	0	0	12	2	1	3	3	1	3	9	0	3	0	0	4	9	0	1	21	7	7	6	4	2	0	1	2	0	4	2	8	2	1	3	2	2	2	0	0	0	1	4	3	0	1	7	1					
		1.66%	3.16%	0.58%	2.09%	2.51%	1.68%	1.05%	0.0%	0.0%	0.0%	0.0%	2.86%	0.83%	0.54%	0.80%	2.4%	2.12%	0.47%	1.65%	0.0%	1.68%	0.0%	0.0%	0.98%	3.22%	0.0%	0.53%	2.88%	2.85%	3.74%	1.81%	2.63%	2.70%	0.0%	1.78%	3.92%	0.0%	2.58%	2.53%	1.94%	3.70%	1.63%	3.57%	3.50%	0.82%	2.06%	0.0%	0.0%	0.0%	0.36%	2.09%	2.05%	0.0%	3.03%	1.17%	1.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	404	8	15	24	12	14	5	2	3	8	6	16	5	7	19	2	3	20	24	6	6	11	5	9	10	10	5	26	6	7	11	4	1	5	0	3	8	7	4	17	2	1	0	0	2	2	2	3	1	4	4	2	7	1	16	3					
		3.20%	1.05%	2.94%	2.79%	3.02%	2.95%	1.76%	2.63%	2.67%	6.15%	5.0%	3.81%	2.09%	3.80%	5.09%	1.6%	6.38%	3.18%	4.40%	11.76%	3.37%	7.33%	4.23%	2.20%	3.58%	6.45%	2.65%	3.56%	2.44%	3.74%	3.32%	2.63%	1.35%	6.32%	0.0%	5.88%	8.88%	4.51%	5.06%	4.13%	3.70%	1.63%	0.0%	0.0%	0.82%	2.06%	3.44%	3.89%	2.5%	1.44%	2.09%	1.36%	7.60%	3.03%	2.69%	4.68%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	296	27	14	24	3	18	1	0	1	1	5	18	4	5	5	2	0	8	17	0	4	5	0	7	5	1	13	19	5	4	5	3	4	2	2	0	5	2	0	8	0	1	2	2	6	2	1	2	1	5	9	0	0	2	16	0					
		2.34%	3.55%	2.75%	2.79%	0.75%	3.79%	0.35%	0.0%	0.89%	0.76%	4.16%	4.29%	1.67%	2.71%	1.34%	1.6%	0.0%	1.27%	3.11%	0.0%	2.24%	3.33%	0.0%	1.71%	1.79%	0.64%	6.91%	2.60%	2.04%	2.13%	1.51%	1.97%	5.40%	2.53%	3.57%	0.0%	5.55%	1.29%	0.0%	1.94%	0.0%	1.63%	2.38%	3.50%	2.47%	2.06%	1.72%	2.59%	2.5%	1.81%	4.71%	0.0%	0.0%	6.06%	2.69%	0.0%					
22	"5. ""За Русь Святую"""	59	2	0	2	0	1	1	1	0	1	1	5	1	0	2	0	0	6	5	0	4	1	0	1	2	2	0	1	0	3	0	3	0	0	1	0	0	0	1	1	0	0	0	3	0	1	0	1	0	1	1	0	0	3	1	0					
		0.46%	0.26%	0.0%	0.23%	0.0%	0.21%	0.35%	1.31%	0.0%	0.76%	0.83%	1.19%	0.41%	0.0%	0.53%	0.0%	0.0%	0.95%	0.91%	0.0%	2.24%	0.66%	0.0%	0.24%	0.71%	1.29%	0.0%	0.13%	0.0%	1.60%	0.0%	1.97%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	1.26%	0.24%	0.0%	0.0%	0.0%	5.26%	0.0%	1.03%	0.0%	1.29%	0.0%	0.36%	0.52%	0.0%	0.0%	9.09%	0.16%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	1	0	1	0	1	0	0	1	0	0	0	1	2	0	0	0	1	1	0	2	0	0	0	0	1	1	2	1	1	0	0	0	1	0	0	1	0	0	3	0	0	0	1	1	0	0	0	0	1	0	1	2	0	1	0					
