Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Барнаул, Центральная"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251					
1	"Число избирателей, внесенных в список"	98236	2553	3010	2505	1997	2559	1950	2170	2469	2186	1132	2981	2480	2912	2530	2850	1559	2148	2299	2402	2775	2007	2572	2822	1884	2629	1947	3126	1996	1099	2263	2497	3164	1573	1059	2287	1872	2317	1711	2377	1605	2056	2855	614	1362	1075					
2	Число полученных избирательных бюллетеней	85550	2200	2600	2200	1700	2300	1700	1900	2200	1900	900	2300	2200	2600	2300	2500	1300	1800	2000	2100	2400	1700	2300	2500	1600	2300	1700	2700	1700	900	2000	2200	2700	1300	900	2000	1600	2000	1500	2100	1400	1700	2400	550	1600	1100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	56792	1432	1850	1731	1339	1817	1312	1532	1713	1543	617	1780	1457	1523	1200	1556	818	1073	886	1335	1573	894	1317	1291	826	1280	861	1408	873	484	1620	1732	2057	987	636	1429	1134	1496	943	1302	875	1216	1439	345	1240	1020					
5	"Число избирательных бюллетеней, выданных вне помещения"	2472	31	54	60	99	37	24	29	16	16	118	103	21	41	97	59	31	42	235	105	43	42	29	48	33	45	39	47	164	39	50	39	29	14	23	34	38	47	47	103	51	54	146	42	0	8					
6	Число погашенных избирательных бюллетеней	26286	737	696	409	262	446	364	339	471	341	165	417	722	1036	1003	885	451	685	879	660	784	764	954	1161	741	975	800	1245	663	377	330	429	614	299	241	537	428	457	510	695	474	430	815	163	360	72					
7	Число избирательных бюллетеней в переносных ящиках	2472	31	54	60	99	37	24	29	16	16	118	103	21	41	97	59	31	42	235	105	43	42	29	48	33	45	39	47	164	39	50	39	29	14	23	34	38	47	47	103	51	54	146	42	0	8					
8	Число бюллетеней в стационарных ящиках для голосования	56733	1432	1845	1725	1339	1817	1312	1531	1713	1538	617	1768	1457	1519	1198	1551	816	1073	886	1335	1573	892	1317	1291	826	1280	861	1408	873	484	1620	1729	2057	976	635	1429	1134	1496	943	1302	875	1216	1439	345	1240	1020					
9	Число недействительных избирательных бюллетеней	697	12	13	9	9	11	8	4	9	10	4	10	7	11	7	17	13	10	15	8	17	14	57	12	9	28	13	16	26	19	11	11	14	17	6	17	16	19	23	18	12	21	19	6	10	79					
10	Число действительных избирательных бюллетеней	58508	1451	1886	1776	1429	1843	1328	1556	1720	1544	731	1861	1471	1549	1288	1593	834	1105	1106	1432	1599	920	1289	1327	850	1297	887	1439	1011	504	1659	1757	2072	973	652	1446	1156	1524	967	1387	914	1249	1566	381	1230	949					
11	Число полученных открепительных  удостоверений	1290	50	30	70	30	50	20	30	50	50	30	30	50	30	30	30	20	20	20	30	30	30	20	20	20	20	20	30	20	20	30	30	30	20	20	30	30	30	30	20	30	20	50	20	0	0					
12	Число выданных открепительных удостоверений	713	25	24	61	15	23	19	21	35	27	14	17	24	19	29	22	12	8	7	20	17	13	14	9	12	15	9	30	13	5	4	9	18	12	5	16	11	20	12	13	9	12	13	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	830	29	27	26	26	26	17	13	21	24	22	29	12	17	16	22	15	13	12	24	28	18	21	14	7	14	5	24	58	25	10	13	12	6	8	10	11	7	6	9	10	11	10	11	79	12					
14	Число неиспользованных открепительных удостоверений	577	25	6	9	15	27	1	9	15	23	16	13	26	11	1	8	8	12	13	10	13	17	6	11	8	5	11	0	7	15	26	21	12	8	15	14	19	10	18	7	21	8	37	20	0	0					
