Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
"Наименование Избирательной комиссии:    Волгоград, Ворошиловская"																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	56026	2317	2065	2151	2376	2650	2261	2489	2713	2383	2579	2489	1998	2495	1997	2318	1019	2287	2050	1229	2503	1969	1746	1783	2156	1507	2496									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	57500	2500	2000	2100	2200	2400	2100	2600	2700	2500	2600	2400	2000	2400	1900	2200	2500	2300	2000	1300	2600	1800	2000	1800	2400	1600	2600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21122	1131	1023	929	1024	992	712	1031	986	983	1158	909	824	809	800	688	999	868	702	380	646	401	559	467	710	484	907									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1057	30	20	22	9	95	152	72	29	24	34	27	19	16	11	46	20	15	19	21	54	197	27	25	26	34	13									
6	Число погашенных избирательных бюллетеней	35321	1339	957	1149	1167	1313	1236	1497	1685	1493	1408	1464	1157	1575	1089	1466	1481	1417	1279	899	1900	1202	1414	1308	1664	1082	1680									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1057	30	20	22	9	95	152	72	29	24	34	27	19	16	11	46	20	15	19	21	54	197	27	25	26	34	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21122	1131	1023	929	1024	992	712	1031	986	983	1158	909	824	809	800	688	999	868	702	380	646	401	559	467	710	484	907									
9	Число недействительных избирательных бюллетеней	394	10	21	16	19	35	18	15	25	33	15	16	11	12	19	16	17	16	7	4	9	9	6	8	14	5	18									
10	Число действительных избирательных бюллетеней	21785	1151	1022	935	1014	1052	846	1088	990	974	1177	920	832	813	792	718	1002	867	714	397	691	589	580	484	722	513	902									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	475	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	30	20	20	20	10	10	10	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	422	12	20	13	20	20	13	18	15	20	20	16	17	20	20	18	20	25	20	14	18	10	10	10	15	8	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	493	53	37	18	29	22	39	41	25	2	26	55	8	14	10	12	13	5	10	7	4	9	17	5	16	3	13									
14	Число погашенных неиспользованных открепительных удостоверений	53	8	0	7	0	0	7	2	5	0	0	4	3	0	0	2	0	5	0	6	2	0	0	0	0	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	175	6	10	5	4	4	6	5	7	4	3	3	5	4	4	7	10	12	6	2	12	13	7	8	17	5	6									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	478	26	27	25	15	26	17	33	30	15	22	12	23	30	20	12	24	15	25	5	14	6	8	13	13	5	17									
		2.16%	2.24%	2.59%	2.63%	1.45%	2.39%	1.97%	2.99%	2.96%	1.49%	1.85%	1.28%	2.73%	3.64%	2.47%	1.63%	2.36%	1.70%	3.47%	1.25%	2.00%	1.00%	1.37%	2.64%	1.77%	0.97%	1.85%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	448	28	13	14	17	14	16	19	28	21	21	15	19	18	13	19	21	21	14	10	20	16	17	7	19	11	17									
		2.02%	2.41%	1.25%	1.47%	1.65%	1.29%	1.85%	1.72%	2.76%	2.09%	1.76%	1.60%	2.25%	2.18%	1.60%	2.59%	2.06%	2.38%	1.94%	2.49%	2.86%	2.68%	2.90%	1.42%	2.58%	2.12%	1.85%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	509	28	18	32	18	19	14	25	34	25	31	24	23	23	26	15	32	20	12	8	7	15	11	9	12	8	20									
		2.29%	2.41%	1.73%	3.36%	1.74%	1.75%	1.62%	2.27%	3.35%	2.48%	2.60%	2.56%	2.73%	2.79%	3.21%	2.04%	3.14%	2.27%	1.66%	1.99%	1.00%	2.51%	1.88%	1.83%	1.63%	1.54%	2.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9258	539	430	371	495	469	371	433	382	405	492	397	320	313	285	301	376	359	282	195	307	263	264	211	391	219	388									
		41.74%	46.43%	41.23%	39.01%	47.92%	43.15%	42.94%	39.26%	37.64%	40.22%	41.28%	42.41%	37.96%	37.94%	35.14%	41.01%	36.90%	40.66%	39.11%	48.63%	43.86%	43.98%	45.05%	42.89%	53.13%	42.28%	42.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	314	8	20	26	18	19	17	13	18	8	20	15	13	16	11	8	26	6	8	4	10	5	5	3	6	6	5									
		1.42%	0.69%	1.92%	2.73%	1.74%	1.75%	1.97%	1.18%	1.77%	0.79%	1.68%	1.60%	1.54%	1.94%	1.36%	1.09%	2.55%	0.68%	1.11%	0.99%	1.43%	0.84%	0.85%	0.61%	0.82%	1.16%	0.54%									
