15	"Число открепительных удостоверений, выданных избирателям ТИК"	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	0	0	0	1	1	0	1	0	1	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																	
18	Богданов Андрей Владимирович	117	2	5	0	0	1	0	0	0	3	0	0	1	0	0	3	0	0	0	0	0	3	0	4	2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	1	0	0	1	13	5	5	0	0	13	3	7	2	8	9	2	4	8	6	1					
		0.25%	0.36%	1.33%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.29%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.33%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.18%	0.00%	0.00%	0.13%	0.00%	0.00%	0.16%	0.55%	0.45%	0.46%	0.00%	0.00%	0.79%	0.35%	0.58%	0.08%	0.32%	0.33%	0.09%	0.23%	0.40%	0.31%	0.05%					
19	Жириновский Владимир Вольфович	1105	25	11	6	6	48	2	7	6	21	2	3	3	13	7	11	10	1	4	3	2	13	1	44	2	12	6	3	3	12	0	5	6	1	15	2	9	7	1	7	1	20	11	91	14	5	2	27	48	36	50	123	89	24	15	19	57	59	74					
		2.35%	4.56%	2.92%	1.81%	1.93%	5.41%	1.54%	1.81%	2.43%	2.80%	0.51%	1.82%	0.86%	1.56%	2.54%	2.54%	2.42%	0.35%	0.69%	1.33%	1.60%	0.94%	1.04%	3.65%	0.16%	2.52%	3.55%	2.56%	0.71%	5.26%	0.00%	1.71%	1.84%	1.11%	2.23%	1.18%	1.66%	1.87%	0.76%	0.89%	0.83%	2.06%	1.81%	3.85%	1.25%	0.46%	0.18%	2.68%	2.93%	4.18%	4.12%	4.76%	3.56%	0.88%	0.65%	1.08%	2.87%	3.08%	3.34%					
20	Зюганов Геннадий Андреевич	4478	85	15	11	9	8	1	19	8	40	4	5	6	15	20	10	13	27	10	15	13	41	6	45	98	21	9	7	2	11	2	6	7	2	17	8	16	8	5	8	0	56	19	222	132	133	144	94	110	92	260	396	384	237	213	227	355	234	517					
		9.53%	15.51%	3.98%	3.32%	2.89%	0.90%	0.77%	4.92%	3.24%	5.33%	1.01%	3.03%	1.71%	1.80%	7.25%	2.31%	3.14%	9.57%	1.73%	6.64%	10.40%	2.97%	6.25%	3.73%	7.60%	4.40%	5.33%	5.98%	0.47%	4.82%	2.04%	2.05%	2.15%	2.22%	2.52%	4.71%	2.95%	2.13%	3.79%	1.02%	0.00%	5.78%	3.12%	9.38%	11.80%	12.12%	13.27%	9.32%	6.72%	10.67%	21.40%	15.33%	15.35%	8.65%	9.26%	12.96%	17.85%	12.21%	23.31%					
21	Медведев Дмитрий Анатольевич	39575	430	344	268	249	830	127	360	222	687	390	157	340	807	238	409	377	254	492	208	110	1320	89	1098	1118	425	154	105	419	205	96	245	246	87	600	160	488	310	116	762	119	735	534	2015	966	754	938	791	1274	728	891	2062	1960	2466	2071	1172	1555	1601	1601					
		84.19%	78.47%	91.25%	80.97%	80.06%	93.57%	97.69%	93.26%	89.88%	91.48%	98.48%	95.15%	97.14%	96.65%	86.23%	94.46%	91.06%	90.07%	85.12%	92.04%	88.00%	95.72%	92.71%	91.12%	86.67%	89.10%	91.12%	89.74%	98.82%	89.91%	97.96%	83.90%	75.46%	96.67%	89.02%	94.12%	89.87%	82.67%	87.88%	97.19%	99.17%	75.85%	87.68%	85.16%	86.33%	68.73%	86.45%	78.39%	77.78%	84.45%	73.33%	79.83%	78.37%	90.00%	90.00%	66.89%	78.18%	83.56%	72.18%					
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
