Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Зареченская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52664	2071	1024	1369	2315	2334	2760	2348	2202	2366	2145	2335	1942	2254	1962	2050	2149	2047	1975	2085	1985	1953	2019	2020	1124	1011	2819									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	37300	1500	750	950	1650	1650	1950	1650	1600	1650	1550	1650	1400	1600	1400	1450	1550	1450	1400	1500	1450	1400	1450	1450	800	700	1750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23987	979	465	717	1115	1127	1237	1097	992	1055	893	1116	858	1128	955	843	1005	906	911	981	904	833	878	855	469	479	1189									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	463	27	8	10	7	16	15	19	19	21	16	20	26	7	28	16	11	1	18	17	17	16	12	17	5	16	78									
6	Число погашенных избирательных бюллетеней	12850	494	277	223	528	507	698	534	589	574	641	514	516	465	417	591	534	543	471	502	529	551	560	578	326	205	483									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	463	27	8	10	7	16	15	19	19	21	16	20	26	7	28	16	11	1	18	17	17	16	12	17	5	16	78									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23977	979	465	717	1115	1127	1237	1097	992	1055	893	1116	852	1126	955	843	1005	905	911	981	903	833	878	855	469	479	1189									
9	Число недействительных избирательных бюллетеней	405	23	13	8	13	17	19	14	20	24	12	20	13	15	13	12	19	10	21	19	10	17	17	21	6	10	19									
10	Число действительных избирательных бюллетеней	24035	983	460	719	1109	1126	1233	1102	991	1052	897	1116	865	1118	970	847	997	896	908	979	910	832	873	851	468	485	1248									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	407	18	7	11	17	13	17	22	15	11	21	13	13	22	15	13	13	21	11	25	23	17	15	15	11	7	21									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	300	13	3	6	13	11	13	14	12	10	18	10	9	19	11	7	8	15	9	16	19	12	11	12	8	4	17									
