Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																				
Дата голосования: 04.12.2011																																				
																																				
"Наименование Избирательной комиссии:    Пермь, Ленинская"																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129					
1	"Число избирателей, внесенных в список избирателей"	42548	1872	1727	1497	1956	1563	1260	1479	2118	1250	1914	1541	1336	1529	1555	1819	1706	1695	2292	1785	1663	1409	1647	1524	879	2014	463	406	92	557					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	33600	1300	1200	1100	1300	1100	900	1100	2500	900	1400	1100	1000	1000	1100	1300	1200	1200	1600	1200	1200	1100	1200	1100	900	1400	1000	1000	200	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	21661	680	707	802	1063	852	611	662	1629	567	1085	872	502	588	680	867	864	823	939	966	790	688	976	447	350	1133	463	406	92	557					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	719	86	9	36	25	35	24	25	0	23	40	23	19	22	32	18	41	58	14	31	42	38	27	40	3	8	0	0	0	0					
6	Число погашенных избирательных бюллетеней	11220	534	484	262	212	213	265	413	871	310	275	205	479	390	388	415	295	319	647	203	368	374	197	613	547	259	537	594	108	443					
7	Число избирательных бюллетеней в переносных ящиках для голосования	719	86	9	36	25	35	24	25	0	23	40	23	19	22	32	18	41	58	14	31	42	38	27	40	3	8	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	21629	676	707	802	1061	852	610	661	1629	567	1082	872	501	587	668	867	864	823	935	966	789	688	975	447	350	1132	463	406	92	557					
9	Число недействительных избирательных бюллетеней	539	14	13	18	15	16	13	9	42	8	27	18	17	21	21	16	34	18	20	25	29	11	26	18	9	29	22	15	6	9					
10	Число действительных избирательных бюллетеней	21809	748	703	820	1071	871	621	677	1587	582	1095	877	503	588	679	869	871	863	929	972	802	715	976	469	344	1111	441	391	86	548					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	697	15	35	24	39	34	20	35	0	29	30	40	30	20	25	25	39	40	35	35	29	34	29	15	10	30	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	609	15	32	24	36	28	15	35	0	20	29	36	20	20	21	25	36	39	34	22	28	26	22	14	9	23	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	874	51	35	11	27	27	27	23	50	21	57	63	35	25	6	32	54	12	20	87	3	12	44	14	9	14	0	57	2	56					
14	Число погашенных неиспользованных открепительных удостоверений	88	0	3	0	3	6	5	0	0	9	1	4	10	0	4	0	3	1	1	13	1	8	7	1	1	7	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4111	145	138	167	191	143	122	148	174	115	266	168	99	106	151	197	167	175	182	199	163	164	222	85	46	218	15	12	21	112					
		18.40%	19.03%	19.27%	19.93%	17.59%	16.12%	19.24%	21.57%	10.68%	19.49%	23.71%	18.77%	19.04%	17.41%	21.57%	22.26%	18.45%	19.86%	19.18%	19.96%	19.61%	22.59%	22.16%	17.45%	13.03%	19.12%	3.24%	2.96%	22.83%	20.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3039	105	96	105	118	99	86	66	313	87	113	85	74	114	85	130	132	120	158	118	120	96	115	70	94	127	55	48	5	105					
		13.60%	13.78%	13.41%	12.53%	10.87%	11.16%	13.56%	9.62%	19.21%	14.75%	10.07%	9.50%	14.23%	18.72%	12.14%	14.69%	14.59%	13.62%	16.65%	11.84%	14.44%	13.22%	11.48%	14.37%	26.63%	11.14%	11.88%	11.82%	5.43%	18.85%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	258	15	7	6	13	14	11	12	20	10	9	4	2	6	9	12	15	8	11	12	8	8	7	8	3	22	5	0	0	1					
		1.15%	1.97%	0.98%	0.72%	1.20%	1.58%	1.74%	1.75%	1.23%	1.69%	0.80%	0.45%	0.38%	0.99%	1.29%	1.36%	1.66%	0.91%	1.16%	1.20%	0.96%	1.10%	0.70%	1.64%	0.85%	1.93%	1.08%	0.00%	0.00%	0.18%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5701	178	194	233	341	260	163	208	258	155	300	309	154	159	189	248	219	253	237	263	215	200	287	102	91	320	6	8	33	118					
		25.51%	23.36%	27.09%	27.80%	31.40%	29.31%	25.71%	30.32%	15.84%	26.27%	26.74%	34.53%	29.62%	26.11%	27.00%	28.02%	24.20%	28.72%	24.97%	26.38%	25.87%	27.55%	28.64%	20.94%	25.78%	28.07%	1.30%	1.97%	35.87%	21.18%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2376	95	99	98	167	138	73	83	81	87	150	114	54	36	74	70	95	105	93	113	66	85	118	24	25	201	5	0	4	23					
		10.63%	12.47%	13.83%	11.69%	15.38%	15.56%	11.51%	12.10%	4.97%	14.75%	13.37%	12.74%	10.38%	5.91%	10.57%	7.91%	10.50%	11.92%	9.80%	11.33%	7.94%	11.71%	11.78%	4.93%	7.08%	17.63%	1.08%	0.00%	4.35%	4.13%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5965	190	153	200	219	197	158	143	725	111	238	175	111	161	162	202	224	179	240	255	225	150	213	177	76	206	351	322	21	181					
		26.69%	24.93%	21.37%	23.87%	20.17%	22.21%	24.92%	20.85%	44.51%	18.81%	21.21%	19.55%	21.35%	26.44%	23.14%	22.82%	24.75%	20.32%	25.29%	25.58%	27.08%	20.66%	21.26%	36.34%	21.53%	18.07%	75.81%	79.31%	22.83%	32.50%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	359	20	16	11	22	20	8	17	16	17	19	22	9	6	9	10	19	23	8	12	5	12	14	3	9	17	4	1	2	8					
		1.61%	2.62%	2.23%	1.31%	2.03%	2.25%	1.26%	2.48%	0.98%	2.88%	1.69%	2.46%	1.73%	0.99%	1.29%	1.13%	2.10%	2.61%	0.84%	1.20%	0.60%	1.65%	1.40%	0.62%	2.55%	1.49%	0.86%	0.25%	2.17%	1.44%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
