Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																							
Дата голосования: 02.12.2007																																							
																																							
Наименование Избирательной комиссии:    Тугулымская																																							
																																							
Сводная таблица результатов выборов																																							
																																							
		Сумма	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020					
1	"Число избирателей, внесенных в списки избирателей"	18715	2367	2331	545	123	76	376	197	770	68	61	274	167	1069	111	151	209	2315	106	505	126	88	1114	784	1814	678	692	180	193	696	330	86	113					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18200	2200	2400	500	100	70	370	170	780	60	60	250	150	1050	120	150	200	2300	100	500	120	80	1050	750	1800	650	650	150	200	700	320	100	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	8768	1124	1056	252	43	27	140	105	388	42	41	159	101	509	71	73	106	1047	38	243	74	49	565	317	869	256	321	77	63	325	175	46	66					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1579	154	173	35	28	11	57	34	79	8	9	38	25	47	40	23	26	125	45	57	22	6	48	49	71	53	60	28	54	85	69	8	12					
6	Число погашенных избирательных бюллетеней	7842	922	1171	213	29	32	173	31	313	10	10	53	24	494	9	54	68	1128	17	200	24	25	437	384	860	330	269	45	83	290	76	46	22					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1590	154	173	35	28	11	57	34	79	8	9	38	25	47	40	23	26	125	45	57	22	6	48	49	71	64	60	28	54	85	69	8	12					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8768	1124	1056	252	43	27	140	105	388	42	41	159	101	509	71	73	106	1047	38	243	74	49	565	317	869	256	321	77	63	325	175	46	66					
9	Число недействительных избирательных бюллетеней	78	14	7	2	1	0	1	1	4	0	0	1	2	3	0	2	0	14	0	1	0	0	4	1	8	2	2	1	1	5	1	0	0					
10	Число действительных избирательных бюллетеней	10280	1264	1222	285	70	38	196	138	463	50	50	196	124	553	111	94	132	1158	83	299	96	55	609	365	932	318	379	104	116	405	243	54	78					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	265	15	20	5	3	1	4	2	23	1	1	1	2	5	1	4	9	13	1	11	11	1	16	13	34	14	12	0	8	17	5	11	1					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	261	15	20	5	3	1	4	2	22	1	0	1	2	5	1	4	9	13	1	11	11	1	16	11	34	14	12	0	8	17	5	11	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	110	16	9	4	3	1	4	3	6	1	0	0	0	8	4	1	3	3	1	4	1	1	3	5	6	5	6	1	0	6	3	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	4	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	4	11	3	1	0	0	0	0	1	0	0	0	2	0	0	0	7	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																							
