Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Рыбинская																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №2290									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25888	1771	1532	1353	840	305	1304	1071	720	1011	1428	623	565	50	158	331	98	646	369	227	194	143	1464	607	123	39	92	67	396	694	86	122	145	43	47	1038	118	122	330	168	615	87	162	955	369	293	1470	1497									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25715	1758	1535	1320	824	295	1293	1051	718	994	1417	613	567	47	156	341	98	649	368	227	197	141	1448	604	125	38	88	69	396	701	86	120	141	42	46	1027	111	120	323	164	612	88	167	960	369	293	1476	1492									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8587	560	474	503	229	94	290	306	182	343	531	245	202	27	57	147	38	190	71	68	71	51	508	122	63	20	38	25	159	259	37	62	64	27	26	298	84	57	116	63	227	36	44	320	148	107	532	466									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	961	12	30	33	15	28	33	12	29	74	27	38	58	9	13	13	2	30	67	29	20	9	39	60	0	7	5	0	31	6	3	0	4	1	2	51	8	9	21	18	28	8	6	7	18	28	7	13									
6	Число погашенных избирательных бюллетеней	16167	1186	1031	784	580	173	970	733	507	577	859	330	307	11	86	181	58	429	230	130	106	81	901	422	62	11	45	44	206	436	46	58	73	14	18	678	19	54	186	83	357	44	117	633	203	158	937	1013									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	961	12	30	33	15	28	33	12	29	74	27	38	58	9	13	13	2	30	67	29	20	9	39	60	0	7	5	0	31	6	3	0	4	1	2	51	8	9	21	18	28	8	6	7	18	28	7	13									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8583	560	473	503	229	94	290	306	182	342	530	245	202	27	57	147	38	190	71	68	71	51	508	122	63	20	38	25	159	259	37	62	64	27	26	297	84	57	116	63	227	36	44	320	148	107	532	466									
9	Число недействительных избирательных бюллетеней	243	25	13	9	8	0	17	18	5	7	15	9	9	0	1	9	1	5	1	2	0	1	20	8	4	1	0	2	4	4	1	0	1	0	0	7	1	1	2	0	0	2	0	5	2	2	9	12									
10	Число действительных избирательных бюллетеней	9301	547	490	527	236	122	306	300	206	409	542	274	251	36	69	151	39	215	137	95	91	59	527	174	59	26	43	23	186	261	39	62	67	28	28	341	91	65	135	81	255	42	50	322	164	133	530	467									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	552	47	43	27	17	6	27	22	15	20	30	13	12	2	3	7	3	13	7	4	4	2	30	12	2	2	2	2	8	15	4	3	3	2	2	20	2	2	5	3	15	2	3	20	5	4	30	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	83	8	7	4	5	1	3	2	7	3	4	1	3	0	0	2	1	2	1	1	0	0	5	2	0	0	0	1	0	5	1	1	0	0	0	3	0	0	1	0	1	0	0	2	1	0	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	147	8	5	11	11	7	8	3	1	3	0	12	2	3	2	4	3	1	1	2	0	1	10	6	1	1	1	0	0	1	0	1	2	1	1	12	9	1	2	1	1	0	1	2	2	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	469	39	36	23	12	5	24	20	8	17	26	12	9	2	3	5	2	11	6	3	4	2	25	10	2	2	2	1	8	10	3	2	3	2	2	17	2	2	4	3	14	2	3	18	4	4	27	28									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	167	19	12	10	8	4	10	7	3	5	5	6	2	1	1	5	0	2	4	1	2	1	5	4	0	0	0	0	1	4	0	0	0	0	0	8	2	1	6	3	4	0	1	2	2	6	5	5									
		1.75%	3.32%	2.39%	1.87%	3.28%	3.28%	3.10%	2.20%	1.42%	1.20%	0.90%	2.12%	0.77%	2.78%	1.43%	3.13%	0.00%	0.91%	2.90%	1.03%	2.20%	1.67%	0.91%	2.20%	0.00%	0.00%	0.00%	0.00%	0.53%	1.51%	0.00%	0.00%	0.00%	0.00%	0.00%	2.30%	2.17%	1.52%	4.38%	3.70%	1.57%	0.00%	2.00%	0.61%	1.20%	4.44%	0.93%	1.04%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	294	16	16	18	3	3	6	8	8	15	21	11	6	2	3	4	0	6	7	3	1	2	27	4	2	1	0	0	5	5	0	2	0	1	0	8	1	0	5	4	13	0	2	6	1	1	28	19									
		3.08%	2.80%	3.18%	3.36%	1.23%	2.46%	1.86%	2.52%	3.79%	3.61%	3.77%	3.89%	2.31%	5.56%	4.29%	2.50%	0.00%	2.73%	5.07%	3.09%	1.10%	3.33%	4.94%	2.20%	3.17%	3.70%	0.00%	0.00%	2.63%	1.89%	0.00%	3.23%	0.00%	3.57%	0.00%	2.30%	1.09%	0.00%	3.65%	4.94%	5.10%	0.00%	4.00%	1.83%	0.60%	0.74%	5.19%	3.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	242	11	14	15	4	1	13	5	4	6	14	4	3	0	2	2	2	2	1	3	1	1	24	9	2	0	1	0	5	5	0	2	0	0	0	12	1	1	2	4	16	2	4	14	2	1	13	14									
