Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Тюмень, Ленинская"																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902					
1	"Число избирателей, внесенных в списки"	181023	2833	2817	2059	2770	1502	2455	2829	2019	2609	2739	2630	2619	2206	2074	1743	2865	2660	2805	2672	2411	1952	2067	1126	2823	2468	2575	2624	2821	2724	2827	2696	2510	2195	1712	2638	2096	2299	2036	2357	2005	2784	2317	2279	1830	2005	2688	1795	45	2085	2309	2484	2078	2287	2042	273	110	1387	1751	1500	2051	1949	2574	1518	2820	2782	1679	1606	2302	2182	1815	77	2191	2248	1809	2492	1823	2256	336	231	1822	1466	2758	1647	985	548	2554	1764	821					
2	"Число бюллетеней, полученных участковыми комиссиями"	178045	2800	2800	2000	2700	1400	2400	2800	2000	2500	2700	2605	2600	2200	2000	1700	2800	2600	2800	2600	2400	1900	2000	1100	2800	2400	2500	2600	2800	2700	2800	2650	2500	2150	1700	2600	2060	2270	2000	2300	1970	2750	2300	2280	1800	1990	2700	1800	100	2070	2200	2450	2090	2300	2050	300	300	1100	1700	1490	2040	1950	2500	1500	2770	2770	1670	1590	2260	2160	1800	100	2190	2250	1800	2480	1800	2240	335	230	1800	1400	2700	1630	760	530	2500	1750	565					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	82628	1221	1209	856	1350	683	1208	1341	982	1202	1387	1128	1303	563	1078	774	1282	973	1349	765	1104	846	988	492	1300	1127	1297	1361	1342	1354	1414	1296	1192	963	701	1311	1072	1073	1159	1180	960	1297	1060	1135	982	1122	1300	827	38	1079	1041	1329	1057	1071	980	115	36	596	951	804	1038	882	1119	393	1257	1172	744	608	971	954	849	69	761	923	698	1075	947	916	150	79	918	851	650	607	528	200	1108	760	395					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1300	6	21	10	7	7	6	9	21	8	19	19	18	4	3	10	17	3	12	5	10	10	15	7	10	0	10	7	10	7	9	8	6	18	9	20	25	19	25	24	24	13	22	23	14	25	26	7	7	19	94	30	12	16	9	158	68	6	27	11	8	6	12	13	11	8	4	0	11	8	4	5	13	22	14	16	3	32	0	8	5	11	2	2	6	3	8	0	0					
6	Число погашенных бюллетеней	94117	1573	1570	1134	1343	710	1186	1450	997	1290	1294	1458	1279	1633	919	916	1501	1624	1439	1830	1286	1044	997	601	1490	1273	1193	1232	1448	1339	1377	1346	1302	1169	990	1269	963	1178	816	1096	986	1440	1218	1122	804	843	1374	966	55	972	1065	1091	1021	1213	1061	27	196	498	722	675	994	1062	1369	1094	1502	1590	922	982	1278	1198	947	26	1416	1305	1088	1389	850	1292	185	143	877	538	2048	1021	226	327	1384	990	170					
7	Число бюллетеней в переносных ящиках для голосования	1300	6	21	10	7	7	6	9	21	8	19	19	18	4	3	10	17	3	12	5	10	10	15	7	10	0	10	7	10	7	9	8	6	18	9	20	25	19	25	24	24	13	22	23	14	25	26	7	7	19	94	30	12	16	9	158	68	6	27	11	8	6	12	13	11	8	4	0	11	8	4	5	13	22	14	16	3	32	0	8	5	11	2	2	6	3	8	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	82468	1221	1209	856	1347	680	1203	1334	982	1201	1382	1126	1303	563	1055	774	1278	973	1349	765	1090	845	988	492	1300	1127	1296	1361	1332	1354	1405	1291	1192	963	701	1310	1072	1071	1159	1180	960	1292	1060	1131	982	1122	1300	827	38	1079	1041	1329	1049	1060	980	115	36	595	951	804	1037	882	1107	393	1246	1172	744	608	967	954	849	69	761	923	698	1075	947	916	150	79	918	845	650	606	528	200	1108	760	395					
9	Число недействительных бюллетеней	1155	22	10	13	11	13	0	14	12	7	11	18	18	4	10	7	12	23	24	9	13	14	6	7	19	13	14	16	0	8	11	8	12	17	25	23	11	24	13	18	12	10	11	19	4	13	28	9	1	15	15	14	11	18	14	5	2	4	18	20	16	6	19	14	11	20	23	38	17	25	13	4	17	25	12	15	13	15	2	1	5	6	15	12	10	7	21	12	8					
10	Число действительных бюллетеней	82613	1205	1220	853	1343	674	1209	1329	991	1202	1390	1127	1303	563	1048	777	1283	953	1337	761	1087	841	997	492	1291	1114	1292	1352	1342	1353	1403	1291	1186	964	685	1307	1086	1066	1171	1186	972	1295	1071	1135	992	1134	1298	825	44	1083	1120	1345	1050	1058	975	268	102	597	960	795	1029	882	1100	392	1246	1160	725	570	961	937	840	70	757	920	700	1076	937	933	148	86	918	850	637	596	524	196	1095	748	387					
