Выборы Президента Российской Федерации																											
																											
Наименование Избирательной комиссии:    Пителинская																											
																											
Итоги голосования 																											
																											
		Сумма	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356					
1	"Число избирателей, внесенных в список"	5747	212	326	296	139	379	439	199	164	92	334	358	193	329	107	129	484	462	444	460	201					
2	Число полученных избирательных бюллетеней	5757	213	324	298	144	386	443	202	164	92	338	366	198	320	106	127	472	456	442	462	204					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3614	118	158	202	88	189	294	136	80	64	163	237	108	200	61	92	337	309	327	337	114					
5	"Число избирательных бюллетеней, выданных вне помещения"	658	36	97	26	22	72	28	22	56	9	67	38	22	39	16	14	6	12	12	16	48					
6	Число погашенных избирательных бюллетеней	1485	59	69	70	34	125	121	44	28	19	108	91	68	81	29	21	129	135	103	109	42					
7	Число избирательных бюллетеней в переносных ящиках	658	36	97	26	22	72	28	22	56	9	67	38	22	39	16	14	6	12	12	16	48					
8	Число бюллетеней в стационарных ящиках для голосования	3614	118	158	202	88	189	294	136	80	64	163	237	108	200	61	92	337	309	327	337	114					
9	Число недействительных избирательных бюллетеней	67	2	10	3	4	4	2	3	1	1	5	4	2	8	0	1	6	3	5	2	1					
10	Число действительных избирательных бюллетеней	4205	152	245	225	106	257	320	155	135	72	225	271	128	231	77	105	337	318	334	351	161					
11	Число полученных открепительных  удостоверений	300	10	10	10	10	10	18	10	10	10	10	10	10	10	10	10	33	33	33	33	10					
12	Число выданных открепительных удостоверений	39	0	1	4	1	1	2	1	0	0	0	4	0	1	0	0	7	2	6	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	41	2	6	1	1	3	1	4	1	2	1	1	2	1	0	2	2	7	3	1	0					
14	Число неиспользованных открепительных удостоверений	261	10	9	6	9	9	16	9	10	10	10	6	10	9	10	10	26	31	27	25	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																											
18	. Глазьев Сергей Юрьевич	95	3	0	3	1	6	5	6	3	1	0	2	5	11	1	3	16	8	10	9	2					
		2.22%	1.95%	0.00%	1.32%	0.91%	2.30%	1.55%	3.80%	2.21%	1.37%	0.00%	0.73%	3.85%	4.60%	1.30%	2.83%	4.66%	2.49%	2.95%	2.55%	1.23%					
19	. Малышкин Олег Александрович	57	3	4	1	0	9	3	3	4	2	3	0	2	6	0	0	3	0	6	2	6					
		1.33%	1.95%	1.57%	0.44%	0.00%	3.45%	0.93%	1.90%	2.94%	2.74%	1.30%	0.00%	1.54%	2.51%	0.00%	0.00%	0.87%	0.00%	1.77%	0.57%	3.70%					
20	. Миронов Сергей Михайлович	37	0	3	0	1	2	3	2	0	0	2	3	2	1	1	0	4	3	1	7	2					
		0.87%	0.00%	1.18%	0.00%	0.91%	0.77%	0.93%	1.27%	0.00%	0.00%	0.87%	1.09%	1.54%	0.42%	1.30%	0.00%	1.17%	0.93%	0.29%	1.98%	1.23%					
21	. Путин Владимир Владимирович	3298	125	201	191	91	169	273	127	103	62	185	217	100	178	63	88	249	237	225	273	141					
		77.20%	81.17%	78.82%	83.77%	82.73%	64.75%	84.78%	80.38%	75.74%	84.93%	80.43%	78.91%	76.92%	74.48%	81.82%	83.02%	72.59%	73.83%	66.37%	77.34%	87.04%					
22	. Хакамада Ирина Муцуовна	48	2	0	4	1	1	4	5	2	1	0	5	2	3	1	3	2	5	5	1	1					
		1.12%	1.30%	0.00%	1.75%	0.91%	0.38%	1.24%	3.16%	1.47%	1.37%	0.00%	1.82%	1.54%	1.26%	1.30%	2.83%	0.58%	1.56%	1.47%	0.28%	0.62%					
23	. Харитонов Николай Михайлович	621	18	35	26	12	68	28	12	23	5	30	42	15	28	10	9	62	59	78	56	5					
		14.54%	11.69%	13.73%	11.40%	10.91%	26.05%	8.70%	7.59%	16.91%	6.85%	13.04%	15.27%	11.54%	11.72%	12.99%	8.49%	18.08%	18.38%	23.01%	15.86%	3.09%					
																											
24	Против всех	49	1	2	0	0	2	4	0	0	1	5	2	2	4	1	2	1	6	9	3	4					
		1.15%	0.65%	0.78%	0.00%	0.00%	0.77%	1.24%	0.00%	0.00%	1.37%	2.17%	0.73%	1.54%	1.67%	1.30%	1.89%	0.29%	1.87%	2.65%	0.85%	2.47%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
