Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Ильинская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  1201	УИК  1202	УИК  1203	УИК  1204	УИК  1205	УИК  1206	УИК  1207	УИК  1208	УИК  1209	УИК  1210	УИК  1211	УИК  1212	УИК  1213	УИК  1215	УИК  1216	УИК  1217	УИК  1218	УИК  1219	УИК  1220	УИК  1222	УИК  1223	УИК  1224	УИК  1225	УИК  1226					
1	"Число избирателей, внесенных в список"	15069	1502	1200	1979	377	356	377	554	296	227	190	448	288	505	507	1131	311	250	317	509	164	166	1524	1552	339					
2	Число полученных избирательных бюллетеней	16000	1580	1250	1925	405	385	395	555	320	235	190	485	315	510	590	1220	335	275	340	570	170	170	1710	1665	405					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8427	854	748	1021	215	218	185	299	174	138	135	249	188	293	246	564	203	199	172	270	94	79	839	862	182					
5	"Число избирательных бюллетеней, выданных вне помещения"	2233	46	34	126	93	45	116	158	68	28	22	108	60	113	130	281	41	30	97	134	27	57	200	192	27					
6	Число погашенных избирательных бюллетеней	5340	680	468	778	97	122	94	98	78	69	33	128	67	104	214	375	91	46	71	166	49	34	671	611	196					
7	Число избирательных бюллетеней в переносных ящиках	2233	46	34	126	93	45	116	158	68	28	22	108	60	113	130	281	41	30	97	134	27	57	200	192	27					
8	Число бюллетеней в стационарных ящиках для голосования	8427	854	748	1021	215	218	185	299	174	138	135	249	188	293	246	564	203	199	172	270	94	79	839	862	182					
9	Число недействительных избирательных бюллетеней	101	5	7	15	2	5	3	7	4	1	5	3	1	3	2	13	2	2	5	4	1	3	5	3	0					
10	Число действительных избирательных бюллетеней	10559	895	775	1132	306	258	298	450	238	165	152	354	247	403	374	832	242	227	264	400	120	133	1034	1051	209					
11	Число полученных открепительных  удостоверений	199	14	20	10	5	5	5	5	15	5	5	10	15	5	10	12	2	5	8	8	5	5	10	10	5					
12	Число выданных открепительных удостоверений	169	14	10	10	5	5	2	5	15	0	5	10	15	5	9	12	2	3	6	8	3	5	10	7	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	77	8	8	8	0	2	5	4	2	2	2	3	2	2	2	6	2	0	0	4	3	2	5	4	1					
14	Число неиспользованных открепительных удостоверений	30	0	10	0	0	0	3	0	0	5	0	0	0	0	1	0	0	2	2	0	2	0	0	3	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
