Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Алексеевская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615					
1	"Число избирателей, внесенных в списки"	14580	3496	957	457	130	431	216	454	157	353	236	396	308	958	104	669	483	1739	378	591	88	118	320	479	56	707	54	120	94	31					
2	"Число бюллетеней, полученных участковыми комиссиями"	14260	3298	964	451	129	427	215	471	152	360	235	393	310	917	106	672	480	1731	375	583	87	118	317	469	58	650	56	107	96	33					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8178	1746	647	291	90	190	83	266	144	203	158	219	162	426	70	309	259	862	270	439	65	89	192	298	30	428	50	88	74	30					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1229	105	24	45	10	37	86	53	0	45	32	58	47	174	0	85	107	67	12	33	16	10	67	48	10	48	0	10	0	0					
6	Число погашенных бюллетеней	4853	1447	293	115	29	200	46	152	8	112	45	116	101	317	36	278	114	802	93	111	6	19	58	123	18	174	6	9	22	3					
7	Число бюллетеней в переносных ящиках для голосования	1229	105	24	45	10	37	86	53	0	45	32	58	47	174	0	85	107	67	12	33	16	10	67	48	10	48	0	10	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	8175	1744	647	291	90	190	83	266	144	203	158	219	162	426	70	309	259	861	270	439	65	89	192	298	30	428	50	88	74	30					
9	Число недействительных бюллетеней	254	36	11	18	9	2	1	2	6	14	3	3	4	19	4	13	1	39	16	7	1	11	1	8	1	24	0	0	0	0					
10	Число действительных бюллетеней	9150	1813	660	318	91	225	168	317	138	234	187	274	205	581	66	381	365	889	266	465	80	88	258	338	39	452	50	98	74	30					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	310	35	20	10	5	10	10	20	5	10	10	10	10	20	5	15	10	20	10	10	5	5	10	10	5	10	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	33	14	0	1	0	0	0	0	0	3	0	0	0	2	0	2	0	3	0	1	0	0	1	5	0	0	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	37	9	1	0	2	1	0	1	1	2	2	4	1	3	0	2	0	3	0	2	0	1	0	1	0	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	277	21	20	9	5	10	10	20	5	7	10	10	10	18	5	13	10	17	10	9	5	5	9	5	5	10	5	5	4	5					
