Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																													
Дата голосования: 02.12.2007																													
																													
Наименование Избирательной комиссии:    ТИК Частинского МР																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №4101	УИК №4102	УИК №4103	УИК №4104	УИК №4105	УИК №4106	УИК №4107	УИК №4108	УИК №4109	УИК №4110	УИК №4111	УИК №4112	УИК №4113	УИК №4114	УИК №4115	УИК №4116	УИК №4117	УИК №4118	УИК №4119	УИК №4120	УИК №4121	УИК №4122					
1	"Число избирателей, внесенных в списки избирателей"	10583	1668	1706	516	637	363	154	367	104	51	423	795	409	630	347	149	238	95	194	268	183	656	630					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10206	1600	1600	500	600	350	150	350	95	66	400	750	400	600	350	150	240	95	180	290	190	650	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5457	862	885	190	283	184	109	205	54	29	241	413	172	388	84	71	166	66	130	142	90	331	362					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1429	102	107	156	158	46	7	39	19	14	61	99	132	51	166	60	15	15	13	28	45	29	67					
6	Число погашенных избирательных бюллетеней	3320	636	608	154	159	120	34	106	22	23	98	238	96	161	100	19	59	14	37	120	55	290	171					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1429	102	107	156	158	46	7	39	19	14	61	99	132	51	166	60	15	15	13	28	45	29	67					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5457	862	885	190	283	184	109	205	54	29	241	413	172	388	84	71	166	66	130	142	90	331	362					
9	Число недействительных избирательных бюллетеней	42	9	3	1	2	1	1	0	0	1	2	6	2	0	3	0	3	3	1	0	1	1	2					
10	Число действительных избирательных бюллетеней	6844	955	989	345	439	229	115	244	73	42	300	506	302	439	247	131	178	78	142	170	134	359	427					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	384	21	35	30	22	17	6	24	2	13	22	20	20	22	17	5	17	6	9	27	17	10	22					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	370	19	34	30	20	17	6	24	2	13	20	20	20	22	17	5	15	6	6	27	17	8	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	163	32	14	2	4	1	2	3	4	1	4	31	1	5	6	3	8	4	4	0	4	13	17					
14	Число погашенных неиспользованных открепительных удостоверений	14	2	1	0	2	0	0	0	0	0	2	0	0	0	0	0	2	0	3	0	0	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	14	5	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
18	1.Политическая партия «Аграрная партия России»	295	35	40	10	26	14	3	23	2	4	15	11	12	32	19	3	7	4	1	9	3	11	11					
		4.28%	3.63%	4.03%	2.89%	5.90%	6.09%	2.59%	9.43%	2.74%	9.30%	4.97%	2.15%	3.95%	7.29%	7.60%	2.29%	3.87%	4.94%	0.70%	5.29%	2.22%	3.06%	2.56%					
19	2.Всероссийская политическая партия «Гражданская Сила»	46	5	8	2	3	2	0	1	0	0	0	7	2	7	0	0	0	0	0	2	0	4	3					
		0.67%	0.52%	0.81%	0.58%	0.68%	0.87%	0.00%	0.41%	0.00%	0.00%	0.00%	1.37%	0.66%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	1.18%	0.00%	1.11%	0.70%					
20	3.Политическая партия «Демократическая партия России»	15	2	2	1	0	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	2	1	1					
		0.22%	0.21%	0.20%	0.29%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.48%	0.28%	0.23%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	313	39	71	13	19	12	1	20	3	2	9	21	9	24	6	1	5	3	2	11	7	13	22					
		4.55%	4.05%	7.16%	3.76%	4.31%	5.22%	0.86%	8.20%	4.11%	4.65%	2.98%	4.10%	2.96%	5.47%	2.40%	0.76%	2.76%	3.70%	1.40%	6.47%	5.19%	3.61%	5.13%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	34	9	6	0	2	0	1	1	1	0	0	4	0	1	1	0	0	0	1	1	0	4	2					
		0.49%	0.93%	0.60%	0.00%	0.45%	0.00%	0.86%	0.41%	1.37%	0.00%	0.00%	0.78%	0.00%	0.23%	0.40%	0.00%	0.00%	0.00%	0.70%	0.59%	0.00%	1.11%	0.47%					
23	6.Политическая партия «Партия социальной справедливости»	15	1	3	0	2	1	1	0	0	0	0	2	0	2	2	0	0	0	0	0	0	1	0					
		0.22%	0.10%	0.30%	0.00%	0.45%	0.43%	0.86%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.46%	0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	738	115	114	38	35	21	7	36	11	3	24	63	22	46	28	12	36	7	12	14	11	47	36					
		10.72%	11.93%	11.49%	10.98%	7.94%	9.13%	6.03%	14.75%	15.07%	6.98%	7.95%	12.30%	7.24%	10.48%	11.20%	9.16%	19.89%	8.64%	8.39%	8.24%	8.15%	13.06%	8.39%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	266	51	40	10	12	9	8	21	3	0	15	25	9	15	7	5	5	0	4	5	2	11	9					
		3.86%	5.29%	4.03%	2.89%	2.72%	3.91%	6.90%	8.61%	4.11%	0.00%	4.97%	4.88%	2.96%	3.42%	2.80%	3.82%	2.76%	0.00%	2.80%	2.94%	1.48%	3.06%	2.10%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	60	18	10	1	3	4	0	2	1	1	4	4	3	0	3	0	0	0	1	0	0	5	0					
		0.87%	1.87%	1.01%	0.29%	0.68%	1.74%	0.00%	0.82%	1.37%	2.33%	1.32%	0.78%	0.99%	0.00%	1.20%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	1.39%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5039	676	688	270	337	163	94	136	52	31	232	369	244	308	181	110	125	64	121	127	109	261	341					
		73.18%	70.12%	69.35%	78.03%	76.42%	70.87%	81.03%	55.74%	71.23%	72.09%	76.82%	72.07%	80.26%	70.16%	72.40%	83.97%	69.06%	79.01%	84.62%	74.71%	80.74%	72.50%	79.49%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	23	4	7	0	0	0	0	4	0	1	1	0	0	2	0	0	0	0	0	1	0	1	2					
		0.33%	0.41%	0.71%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	2.33%	0.33%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.28%	0.47%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
