Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																					
Дата голосования: 18.09.2016																																																																					
																																																																					
"Наименование Избирательной комиссии:    Кемерово, Заводская"																																																																					
																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																					
																																																																					
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №1765									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	105946	2197	1969	1540	2829	2856	1764	1983	469	1559	1272	1125	2006	1808	974	2083	1555	1718	1613	1802	2287	963	2059	803	2452	1493	1374	2463	1565	1488	2076	2350	1668	2232	648	2568	268	2464	2611	2699	2414	2975	2303	1816	2716	2500	2332	1821	1777	550	391	2002	2660	2262	2224	1442	2085	1546	477									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	102700	2000	2000	1500	2500	2500	2000	2000	500	1500	1200	1000	2000	1700	1000	2000	1500	1500	1500	2000	2500	1000	2000	600	2500	1500	1300	2500	1500	1500	2000	2000	1500	2000	500	2500	500	2500	2500	2500	2300	3000	2300	2000	2500	2500	2300	1800	1800	500	400	2000	2500	2000	2000	1500	2000	1500	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	87548	1936	1545	1143	2372	2163	1746	1723	424	1185	1065	970	1943	1484	853	1622	1475	1339	1242	1319	1887	791	1553	541	1742	1350	1067	2082	1251	1324	1653	1884	1394	1904	485	2211	256	2127	2264	2216	2000	2766	1717	1619	2246	2324	1938	1511	1664	476	391	1482	1616	1751	1888	1231	1749	1171	477									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3554	21	33	25	7	8	18	123	20	21	13	8	15	35	19	24	17	157	38	180	153	29	32	50	158	111	20	91	41	43	28	38	88	88	5	141	1	74	129	84	51	6	18	4	66	86	37	34	23	14	0	128	173	180	107	139	161	141	0									
6	Число погашенных избирательных бюллетеней	11598	43	422	332	121	329	236	154	56	294	122	22	42	181	128	354	8	4	220	501	460	180	415	9	600	39	213	327	208	133	319	78	18	8	10	148	243	299	107	200	249	228	565	377	188	90	325	255	113	10	9	390	711	69	5	130	90	188	23									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3554	21	33	25	7	8	18	123	20	21	13	8	15	35	19	24	17	157	38	180	153	29	32	50	158	111	20	91	41	43	28	38	88	88	5	141	1	74	129	84	51	6	18	4	66	86	37	34	23	14	0	128	173	180	107	139	161	141	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	87466	1936	1545	1143	2372	2163	1745	1722	424	1185	1065	955	1941	1440	853	1622	1475	1339	1242	1319	1887	791	1553	541	1741	1350	1067	2081	1249	1324	1653	1884	1394	1904	485	2211	255	2126	2263	2216	2000	2766	1717	1619	2246	2324	1938	1511	1664	475	391	1478	1616	1748	1888	1229	1747	1171	477									
9	Число недействительных избирательных бюллетеней	495	5	14	15	3	6	3	3	1	8	10	3	4	14	7	3	4	3	12	12	1	10	13	3	38	0	4	3	2	2	10	2	30	2	3	22	2	2	2	2	2	72	31	0	15	1	14	1	1	1	9	9	12	8	12	14	10	0	0									
10	Число действительных избирательных бюллетеней	90525	1952	1564	1153	2376	2165	1760	1842	443	1198	1068	960	1952	1461	865	1643	1488	1493	1268	1487	2039	810	1572	588	1861	1461	1083	2169	1288	1365	1671	1920	1452	1990	487	2330	254	2198	2390	2298	2049	2700	1704	1623	2297	2409	1961	1544	1686	488	382	1597	1777	1920	1983	1354	1898	1312	477									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2600	30	50	50	60	50	50	30	20	50	50	50	50	50	20	50	50	30	100	50	50	50	50	30	50	50	20	50	50	30	50	50	50	50	20	50	10	50	50	50	50	50	70	50	50	50	50	50	50	30	0	50	50	50	50	50	50	50	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	2039	9	50	50	60	50	27	30	20	9	50	9	18	50	12	50	10	30	100	50	50	50	18	19	18	23	4	50	50	30	11	16	50	50	6	50	5	50	50	50	50	50	36	20	35	31	23	50	50	30	0	47	46	48	46	48	50	45	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	381	10	0	0	12	15	2	0	3	13	4	4	3	4	7	0	0	6	10	4	0	0	0	4	14	40	0	0	7	3	16	3	0	6	7	15	10	0	0	17	23	12	7	4	8	6	3	5	11	14	0	4	2	3	6	1	0	0	33									
14	Число погашенных неиспользованных открепительных удостоверений	561	21	0	0	0	0	23	0	0	41	0	41	32	0	8	0	40	0	0	0	0	0	32	11	32	27	16	0	0	0	39	34	0	0	14	0	5	0	0	0	0	0	34	30	15	19	27	0	0	0	0	3	4	2	4	2	0	5	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	2	1	3	6	3	3	1	0	0	8	3	2	2	1	2	2	0	2	3	1	0	1	0	3	1	0	1	0	0	0	0	0	1	0	2	1	2	0	2	2	1	1	1	0	2	1	1	3	0	0	0	1	3	0	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	314	3	11	6	3	3	5	2	1	5	9	3	8	9	2	14	2	0	1	8	1	2	5	3	9	0	11	6	2	1	4	4	15	0	3	23	3	3	2	3	2	27	14	3	24	1	24	1	2	0	0	2	7	2	2	2	2	4	0									
		0.34%	0.15%	0.70%	0.51%	0.13%	0.14%	0.28%	0.11%	0.23%	0.41%	0.83%	0.31%	0.41%	0.61%	0.23%	0.85%	0.13%	0.00%	0.08%	0.53%	0.05%	0.24%	0.32%	0.51%	0.47%	0.00%	1.01%	0.28%	0.16%	0.07%	0.24%	0.21%	1.01%	0.00%	0.61%	0.98%	1.17%	0.14%	0.08%	0.13%	0.10%	0.97%	0.81%	0.18%	1.04%	0.04%	1.22%	0.06%	0.12%	0.00%	0.00%	0.12%	0.39%	0.10%	0.10%	0.15%	0.10%	0.30%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	602	3	12	12	7	1	1	6	13	10	16	11	18	31	6	8	2	2	9	18	6	6	22	23	21	1	9	4	0	7	6	8	11	1	4	15	1	2	6	6	5	29	17	1	35	1	40	63	7	6	0	3	21	7	7	5	6	4	0									
		0.66%	0.15%	0.76%	1.03%	0.29%	0.05%	0.06%	0.33%	2.93%	0.83%	1.48%	1.14%	0.92%	2.10%	0.69%	0.49%	0.13%	0.13%	0.70%	1.20%	0.29%	0.73%	1.39%	3.89%	1.11%	0.07%	0.83%	0.18%	0.00%	0.51%	0.36%	0.42%	0.74%	0.05%	0.82%	0.64%	0.39%	0.09%	0.25%	0.26%	0.24%	1.05%	0.98%	0.06%	1.51%	0.04%	2.03%	4.08%	0.41%	1.23%	0.00%	0.19%	1.17%	0.36%	0.35%	0.37%	0.31%	0.30%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	443	2	10	19	0	0	0	0	2	24	6	6	13	23	3	12	1	2	12	15	2	2	16	7	16	0	10	2	2	2	2	2	15	2	9	39	1	1	1	3	2	32	16	3	29	1	32	0	0	0	2	2	17	3	3	1	3	13	0									
