Выборы Президента Российской Федерации																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Омск, Кировская"																																																																																													
																																																																																													
Итоги голосования 																																																																																													
																																																																																													
		Сумма	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521					
1	"Число избирателей, внесенных в список"	179296	2799	1760	1860	1941	1305	2479	1649	1478	2811	1785	1998	2065	2005	1324	1889	1862	1599	2269	1897	1483	1833	1540	1875	1809	2132	1594	2242	2076	2183	2176	2636	2739	2709	2096	2343	2664	2255	2261	2295	2178	2155	2138	1821	1714	2143	2264	2126	2178	1977	1713	1949	2083	1548	2347	2584	2482	2529	2902	2504	2772	2831	2031	1588	1211	1880	2315	2258	2401	2523	2017	2067	2252	2060	2514	2060	2436	1994	2324	2320	2459	2659	2268	2564	186	1266	989					
2	Число полученных избирательных бюллетеней	182300	2700	1800	1900	2000	1300	2500	1700	1500	2800	1800	2000	2300	2100	1400	1900	1800	1700	2300	1900	1400	1900	1600	2100	1800	2300	1600	2200	2100	2200	2200	2700	2800	2700	2200	2400	2800	2300	2300	2300	2200	2200	2200	1800	1700	2200	2300	2200	2200	1900	1700	2000	2100	1500	2400	2700	2500	2600	2900	2500	2800	2800	2100	1600	1200	1900	2400	2300	2400	2600	2200	2100	2300	2000	2600	2100	2500	2000	2400	2300	2400	2700	2300	2600	200	1400	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	105330	1419	990	1027	987	764	1294	759	841	1730	965	1210	1191	842	703	1180	999	898	1167	972	863	1132	991	1240	1172	1174	743	1368	1234	1170	1358	1537	1539	1589	1107	1293	1584	1351	1376	1442	1311	1246	1239	1063	996	1254	1407	1113	1308	1238	955	1138	1244	888	1434	1570	1486	1525	2073	1544	1479	1764	1293	954	758	1079	1423	1343	1497	1499	1280	1184	1296	1191	1460	1192	1529	1171	1416	1320	1489	1575	1428	1530	141	994	812					
5	"Число избирательных бюллетеней, выданных вне помещения"	4926	72	69	47	29	55	43	169	49	100	138	60	74	88	45	25	71	38	23	53	25	30	26	51	47	101	83	23	44	40	64	29	37	33	21	47	39	48	67	60	61	82	28	35	29	47	52	70	63	64	62	27	63	88	58	70	66	82	58	60	107	68	27	23	30	52	36	63	60	50	20	43	96	19	33	23	32	47	75	37	29	25	30	79	45	272	177					
6	Число погашенных избирательных бюллетеней	72044	1209	741	826	984	481	1163	772	610	970	697	730	1035	1170	652	695	730	764	1110	875	512	738	583	809	581	1025	774	809	822	990	778	1134	1224	1078	1072	1060	1177	901	857	798	828	872	933	702	675	899	841	1017	829	598	683	835	793	524	908	1060	948	993	769	896	1214	968	780	623	412	769	941	894	843	1051	900	873	908	790	1107	885	939	782	909	943	882	1100	842	991	14	134	11					
7	Число избирательных бюллетеней в переносных ящиках	4926	72	69	47	29	55	43	169	49	100	138	60	74	88	45	25	71	38	23	53	25	30	26	51	47	101	83	23	44	40	64	29	37	33	21	47	39	48	67	60	61	82	28	35	29	47	52	70	63	64	62	27	63	88	58	70	66	82	58	60	107	68	27	23	30	52	36	63	60	50	20	43	96	19	33	23	32	47	75	37	29	25	30	79	45	272	177					
8	Число бюллетеней в стационарных ящиках для голосования	105123	1419	921	1027	987	760	1294	759	841	1730	965	1210	1191	842	702	1180	928	898	1167	972	863	1132	991	1240	1172	1174	743	1368	1234	1170	1358	1537	1536	1589	1107	1293	1584	1350	1376	1440	1311	1246	1239	1063	996	1250	1407	1113	1308	1238	955	1138	1244	888	1434	1567	1486	1523	2073	1544	1479	1764	1293	954	757	1079	1421	1342	1497	1499	1280	1181	1296	1191	1457	1192	1504	1169	1415	1320	1485	1575	1428	1529	141	992	810					
9	Число недействительных избирательных бюллетеней	842	22	7	11	15	14	18	5	19	16	14	18	14	5	19	7	5	12	15	16	8	14	14	9	7	17	12	11	7	18	14	10	13	8	0	0	12	10	16	8	5	10	6	2	3	5	14	7	10	17	8	5	6	8	19	6	9	9	6	9	8	8	5	1	4	4	9	5	13	13	7	5	9	8	19	3	4	9	17	5	5	7	3	16	2	20	9					
10	Число действительных избирательных бюллетеней	109207	1469	983	1063	1001	801	1319	923	871	1814	1089	1252	1251	925	728	1198	994	924	1175	1009	880	1148	1003	1282	1212	1258	814	1380	1271	1192	1408	1556	1560	1614	1128	1340	1611	1388	1427	1492	1367	1318	1261	1096	1022	1292	1445	1176	1361	1285	1009	1160	1301	968	1473	1631	1543	1596	2125	1595	1578	1824	1315	976	783	1127	1448	1400	1544	1536	1293	1219	1383	1202	1471	1212	1532	1207	1473	1352	1509	1593	1455	1592	184	1244	978					
