Выборы Президента Российской Федерации																																																																																																					
Дата голосования: 04.03.2012																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Пермь, Свердловская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования																																																																																																					
																																																																																																					
	Число участковых избирательных комиссий	90																																																																																																			
	Число участковых избирательных комиссий, приступивших к передаче сведений	90																																																																																																			
																																																																																																					
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428	УИК №3429	УИК №3430	УИК №3431	УИК №3432	УИК №3433	УИК №3434	УИК №3435	УИК №3436	УИК №3437	УИК №3438	УИК №3439	УИК №3440	УИК №3441	УИК №3442	УИК №3443	УИК №3444	УИК №3445	УИК №3446	УИК №3447	УИК №3448	УИК №3449	УИК №3450	УИК №3451	УИК №3452	УИК №3453	УИК №3454	УИК №3455	УИК №3456	УИК №3457	УИК №3458	УИК №3459	УИК №3460	УИК №3461	УИК №3462	УИК №3463	УИК №3464	УИК №3465	УИК №3466	УИК №3467	УИК №3468	УИК №3469	УИК №3470	УИК №3471	УИК №3472	УИК №3473	УИК №3474	УИК №3475	УИК №3476	УИК №3477	УИК №3478	УИК №3479	УИК №3480	УИК №3481	УИК №3482	УИК №3483	УИК №3484	УИК №3485	УИК №3486	УИК №3487	УИК №3488	УИК №3489	УИК №3490									
1	Число избирателей, включенных в список избирателей	166660	2194	2639	2779	2814	2645	2218	2585	1533	1848	1890	1459	2755	1311	1348	2026	1671	1209	1556	1409	1427	1150	2099	1919	1411	1469	1172	1349	2272	1747	1720	1660	1434	2184	2477	2081	2303	2079	2158	1966	2068	2005	1928	2412	1736	2712	2177	1857	2084	2022	2498	1962	1895	2250	1700	2431	1570	2267	1542	2044	1847	1681	1464	2041	2750	907	2813	2581	2370	2369	2089	2443	1949	2644	2129	2643	2613	1594	1836	1379	900	842	2660	1441	2435	93	194	349	123	180	175									
2	Число избирательных бюллетеней, полученных участковой избирательной комиссией	138300	1700	2200	2300	2300	2200	1800	2100	1300	1400	1600	1200	2100	1100	1100	1400	1400	1000	1200	1200	1200	1000	1700	1600	1200	1200	1000	1100	1900	1400	1400	1400	1200	1800	2000	1700	1900	1700	1800	1600	1700	1700	1600	2000	1400	2200	1800	1600	1700	1700	2100	1600	1600	1800	1400	2000	1300	1900	1300	1700	1500	1400	1200	1700	2200	800	2300	2100	2000	2000	1700	2000	1600	2200	1800	2200	2100	1300	1500	1200	800	700	2100	2200	2000	100	200	400	100	200	200									
3	Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в помещении для голосования в день голосования	92441	1282	1420	1620	1711	1463	1286	1470	938	1197	1213	879	1569	843	785	1209	1046	729	829	748	710	617	1140	1077	875	919	782	800	1231	961	984	914	802	1236	1411	1198	1179	1240	1220	1039	1127	1159	962	1286	940	1470	1118	1053	1218	1158	1363	1035	892	1168	933	1158	840	1302	554	1170	925	838	699	1046	1379	511	1375	1430	1112	1216	1102	1431	1041	1496	1201	1542	1503	775	876	606	510	444	1116	1397	1316	92	190	343	100	176	175									
5	Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования	2672	35	29	19	30	24	16	37	14	27	6	34	104	38	67	39	42	27	28	35	12	13	21	32	16	19	17	28	21	31	27	31	26	26	50	35	13	31	32	39	49	23	22	40	40	58	54	28	20	10	31	21	18	55	26	28	23	17	8	38	17	34	27	35	30	22	38	42	30	29	16	29	19	33	46	50	29	52	82	50	12	21	56	44	49	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	43187	383	751	661	559	713	498	593	348	176	381	287	427	219	248	152	312	244	343	417	478	370	539	491	309	262	201	272	648	408	389	455	372	538	539	467	708	429	548	522	524	518	616	674	420	672	628	519	462	532	706	544	690	577	441	814	437	581	738	492	558	528	474	619	791	267	887	628	858	755	582	540	540	671	553	608	568	473	542	544	278	235	928	759	635	8	10	57	0	24	25									
