Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Верхнемамонская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15607	558	1109	946	944	1872	875	564	616	84	901	668	864	576	616	1542	737	464	1219	452									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16057	590	1135	984	997	1884	884	581	640	86	921	671	878	600	634	1579	773	487	1269	464									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12266	368	974	805	708	1685	668	427	519	43	644	444	650	452	466	1202	557	327	947	380									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2567	118	81	63	198	93	131	115	70	38	215	205	173	116	139	263	138	133	224	54									
6	Число погашенных избирательных бюллетеней	1224	104	80	116	91	106	85	39	51	5	62	22	55	32	29	114	78	27	98	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2567	118	81	63	198	93	131	115	70	38	215	205	173	116	139	263	138	133	224	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12266	368	974	805	708	1685	668	427	519	43	644	444	650	452	466	1202	557	327	947	380									
9	Число недействительных избирательных бюллетеней	49	5	2	4	0	18	9	0	0	0	2	0	0	0	0	2	0	4	0	3									
10	Число действительных избирательных бюллетеней	14784	481	1053	864	906	1760	790	542	589	81	857	649	823	568	605	1463	695	456	1171	431									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	341	18	20	30	50	21	15	15	23	5	15	10	12	12	10	20	30	15	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	316	18	20	20	50	21	4	15	23	1	15	10	12	12	10	20	30	15	10	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	2	4	3	0	12	1	5	1	4	3	0	9	4	0	3	2	0	0	2									
14	Число погашенных неиспользованных открепительных удостоверений	25	0	0	10	0	0	11	0	0	4	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	29	0	1	1	0	6	1	2	0	0	2	2	3	5	0	4	1	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	83	6	4	18	0	17	7	1	4	0	5	3	2	0	0	3	3	4	6	0									
