Выборы Президента Российской Федерации																																																																																							
Дата голосования: 02.03.2008																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Тарская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
	Число участковых избирательных комиссий	80																																																																																					
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	80																																																																																					
																																																																																							
		Сумма	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696					
1	"Число избирателей, включенных в списки избирателей"	33502	173	1096	587	638	1221	143	1051	1078	1425	1034	914	1135	1057	233	77	1292	1075	1470	1041	927	809	315	166	35	270	49	209	71	211	102	61	487	100	198	529	149	501	61	663	126	564	187	302	115	129	124	161	131	351	102	449	280	93	209	49	618	1047	405	319	327	85	25	681	211	261	313	670	270	434	307	152	54	17	89	277	102	421	117	55	220					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	30895	170	900	500	550	1000	150	900	900	1100	900	800	1000	900	225	80	1000	850	1100	800	850	675	320	170	40	300	70	250	80	200	120	60	490	100	200	540	170	550	80	670	125	570	190	320	120	130	130	160	130	370	110	450	290	100	210	60	610	1100	420	340	350	90	30	650	220	250	310	660	280	470	300	160	60	30	90	300	110	450	130	60	200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	24363	120	648	331	434	778	118	664	721	960	622	582	756	737	221	77	747	670	958	637	645	600	271	160	35	251	46	197	71	141	88	53	414	85	167	432	119	374	59	427	106	446	181	255	86	114	114	146	111	265	81	388	255	93	189	49	520	751	284	187	284	82	25	549	185	196	276	551	238	360	261	150	54	14	89	217	94	350	99	52	200					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	2567	24	66	62	49	70	25	58	92	77	103	66	45	100	0	0	82	51	63	42	170	65	23	0	0	0	0	9	0	36	10	6	33	12	8	61	21	50	2	77	13	55	3	25	4	5	0	0	5	56	15	21	0	0	11	0	22	118	54	132	10	0	0	33	10	15	18	63	26	40	16	0	0	3	0	44	7	65	17	3	0					
6	Число погашенных избирательных бюллетеней	3965	26	186	107	67	152	7	178	87	63	175	152	199	63	4	3	171	129	79	121	35	10	26	10	5	49	24	44	9	23	22	1	43	3	25	47	30	126	19	166	6	69	6	40	30	11	16	14	14	49	14	41	35	7	10	11	68	231	82	21	56	8	5	68	25	39	16	46	16	70	23	10	6	13	1	39	9	35	14	5	0					
