Выборы Президента Российской Федерации																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Тарская																																																																																								
																																																																																								
Итоги голосования 																																																																																								
																																																																																								
		Сумма	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211	УИК №1212	УИК №1213	УИК №1214					
1	"Число избирателей, внесенных в список"	35219	568	681	1172	173	1480	1083	669	1054	166	108	1416	959	1163	1413	698	1006	1589	1200	958	823	1057	467	307	189	65	58	103	310	106	38	19	425	130	55	707	213	267	345	697	136	1118	412	379	336	93	24	585	164	320	132	145	133	149	133	491	106	206	359	173	42	296	60	277	119	207	101	79	559	177	546	92	684	125	399	122	646	478	310	99	209	61					
2	Число полученных избирательных бюллетеней	34613	600	700	1000	170	1300	1000	600	1000	200	150	1500	1000	1000	1300	700	1000	1500	1000	800	750	1000	470	315	220	70	60	110	310	110	45	20	445	135	60	710	215	275	355	705	140	1100	430	395	365	100	26	575	165	320	140	160	140	182	135	490	115	210	360	180	45	400	62	290	120	215	110	80	552	180	580	100	675	185	400	130	680	475	316	100	220	70					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23860	289	402	715	121	749	650	369	573	166	107	877	610	673	854	351	627	891	717	607	541	659	405	259	189	60	45	98	222	98	25	18	317	92	49	587	168	207	261	490	131	688	259	264	257	91	24	471	153	249	109	135	117	146	98	378	88	151	304	160	41	268	56	251	117	162	85	75	384	123	343	90	402	101	275	111	572	403	254	89	186	61					
5	"Число избирательных бюллетеней, выданных вне помещения"	2355	54	41	93	0	80	26	85	45	0	0	67	60	59	70	41	45	46	48	125	67	28	19	30	0	0	6	0	41	0	10	0	77	34	6	33	14	27	21	54	0	96	76	103	31	2	0	66	11	33	8	7	0	3	8	40	10	13	16	0	0	4	0	0	0	32	13	1	58	17	19	0	104	14	62	2	10	21	8	8	7	0					
6	Число погашенных избирательных бюллетеней	8398	257	257	192	49	471	324	146	382	34	43	556	330	268	376	308	328	563	235	68	142	313	46	26	31	10	9	12	47	12	10	2	51	9	5	90	33	41	73	161	9	316	95	28	77	7	2	38	1	38	23	18	23	33	29	72	17	46	40	20	4	128	6	39	3	21	12	4	110	40	218	10	169	70	63	17	98	51	54	3	27	9					
7	Число избирательных бюллетеней в переносных ящиках	2355	54	41	93	0	80	26	85	45	0	0	67	60	59	70	41	45	46	48	125	67	28	19	30	0	0	6	0	41	0	10	0	77	34	6	33	14	27	21	54	0	96	76	103	31	2	0	66	11	33	8	7	0	3	8	40	10	13	16	0	0	4	0	0	0	32	13	1	58	17	19	0	104	14	62	2	10	21	8	8	7	0					
8	Число бюллетеней в стационарных ящиках для голосования	23850	289	402	714	121	749	650	369	573	166	107	877	610	673	854	351	627	884	717	607	541	659	404	259	189	60	45	98	222	98	25	18	317	92	49	587	168	207	261	489	131	688	259	264	257	91	24	471	153	249	109	135	117	146	98	378	88	151	304	160	41	268	56	251	117	162	85	75	384	123	343	90	402	101	275	111	572	403	254	89	186	61					
9	Число недействительных избирательных бюллетеней	171	4	6	8	2	4	6	5	4	1	0	4	4	0	2	3	1	7	8	4	3	2	1	0	1	1	0	0	2	1	0	0	0	0	1	2	2	2	2	1	0	0	0	17	1	1	0	2	4	2	2	0	1	0	0	3	0	0	2	4	0	6	0	3	2	1	0	0	6	2	2	0	1	0	7	0	5	3	0	0	0	0					
10	Число действительных избирательных бюллетеней	26034	339	437	799	119	825	670	449	614	165	107	940	666	732	922	389	671	923	757	728	605	685	422	289	188	59	51	98	261	97	35	18	394	126	54	618	180	232	280	542	131	784	335	350	287	92	24	535	160	280	115	142	116	149	106	415	98	164	318	156	41	266	56	248	115	193	98	76	436	138	360	90	505	115	330	113	577	421	262	97	193	61					
11	Число полученных открепительных  удостоверений	714	10	10	10	10	10	14	10	20	0	0	16	20	10	20	10	10	30	22	15	10	14	10	10	10	5	5	5	10	5	5	5	10	5	5	10	5	5	10	10	5	20	10	5	10	5	5	10	5	10	5	5	5	5	5	10	8	5	10	5	5	10	5	10	5	15	5	5	10	5	5	5	10	5	10	5	10	10	10	5	10	5					
12	Число выданных открепительных удостоверений	331	1	3	10	0	6	13	2	17	0	0	15	14	6	15	9	10	22	22	15	6	11	2	0	0	1	0	0	0	0	0	0	1	0	0	3	3	2	4	9	0	14	2	1	7	1	0	2	0	1	0	0	0	3	0	9	5	3	2	0	0	5	4	2	0	14	5	1	0	0	0	0	4	2	9	0	5	4	0	1	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	247	0	1	22	3	12	2	13	1	21	10	6	5	4	13	9	4	9	10	10	2	17	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	4	0	1	3	2	0	2	2	7	0	1	2	0	0	4	3	0	1	0	0	4	3	1	1	1	1	1	1	0	1	0	3	0	7	0	5	2	2	1	1	0					
14	Число неиспользованных открепительных удостоверений	383	9	7	0	10	4	1	8	3	0	0	1	6	4	5	1	0	8	0	0	4	3	8	10	10	4	5	5	10	5	5	5	9	5	5	7	2	3	6	1	5	6	8	4	3	4	5	8	5	9	5	5	5	2	5	1	3	2	8	5	5	5	1	8	5	1	0	4	10	5	5	5	6	3	1	5	5	6	10	4	7	5					
15	"Число открепительных удостоверений, выданных в ТИК"	20	1	1	0	0	1	1	0	0	0	0	2	2	2	0	0	0	0	1	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																								
18	. Глазьев Сергей Юрьевич	757	17	17	16	3	26	34	12	16	4	0	43	27	39	41	6	31	41	24	23	29	20	7	4	2	2	1	0	7	2	0	0	4	3	2	12	1	6	9	8	0	16	10	7	2	0	1	14	0	13	4	5	1	1	3	11	1	6	2	6	4	1	3	10	2	3	0	5	3	6	8	1	13	2	9	4	8	17	5	1	9	1					
