Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																												
Дата голосования: 02.12.2007																																																												
																																																												
"Наименование Избирательной комиссии:    Казань, Московская"																																																												
																																																												
Сводная таблица результатов выборов																																																												
																																																												
		Сумма	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191					
1	"Число избирателей, внесенных в списки избирателей"	102071	2834	2177	2296	2110	2052	2309	2100	2226	2269	2190	1773	1631	2150	1854	2532	2099	1677	1609	2035	2556	2247	1978	1867	2004	2076	2160	2477	2266	1815	2164	2200	2608	2567	2755	1684	1691	2199	2297	2100	2079	1721	2662	2834	2734	2607	2608	338	80	137	202	290	127	18					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	93377	2600	2000	2000	1900	1900	2100	1800	1800	2000	2000	1600	1500	2150	1900	2200	1900	1500	1543	1900	2490	2000	1800	1900	1700	1900	2000	2200	2100	2000	2000	2000	2400	2300	2500	1500	1500	2000	2100	1900	1900	1600	2400	2500	2400	2400	2400	340	80	137	202	290	127	18					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	78479	2354	1508	1821	1727	1419	1634	1465	1438	1489	1709	1486	1358	1847	1584	2024	1503	1132	1359	1482	2121	1873	1676	1301	1479	1548	1698	1988	1747	1749	1617	1501	2027	2003	2268	1233	1147	1553	1717	1384	1645	1268	2226	2223	1995	1936	2096	327	36	137	202	290	111	18					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3268	59	65	71	66	90	111	88	100	65	43	56	75	105	78	61	36	45	55	66	55	69	57	69	45	149	34	56	170	66	67	58	95	51	71	75	97	67	70	66	58	28	44	49	98	57	43	9	44	0	0	0	16	0					
6	Число погашенных избирательных бюллетеней	11630	187	427	108	107	391	355	247	262	446	248	58	67	198	238	115	361	323	129	352	314	58	67	530	176	203	268	156	183	185	316	441	278	246	161	192	256	380	313	450	197	304	130	228	307	407	261	4	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3268	59	65	71	66	90	111	88	100	65	43	56	75	105	78	61	36	45	55	66	55	69	57	69	45	149	34	56	170	66	67	58	95	51	71	75	97	67	70	66	58	28	44	49	98	57	43	9	44	0	0	0	16	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	78457	2353	1508	1821	1727	1419	1634	1465	1436	1488	1709	1486	1354	1847	1582	2024	1503	1132	1359	1482	2121	1871	1676	1300	1471	1548	1698	1988	1747	1749	1617	1501	2027	2003	2267	1233	1147	1553	1717	1384	1645	1268	2226	2223	1995	1936	2096	327	36	137	202	290	111	18					
9	Число недействительных избирательных бюллетеней	742	10	24	19	10	25	39	21	17	24	18	0	8	3	18	4	0	15	9	0	26	5	7	10	16	34	14	21	0	16	24	29	25	14	32	19	17	18	15	25	9	0	13	9	5	28	24	5	0	0	12	6	0	0					
10	Число действительных избирательных бюллетеней	80983	2402	1549	1873	1783	1484	1706	1532	1519	1529	1734	1542	1421	1949	1642	2081	1539	1162	1405	1548	2150	1935	1726	1359	1500	1663	1718	2023	1917	1799	1660	1530	2097	2040	2306	1289	1227	1602	1772	1425	1694	1296	2257	2263	2088	1965	2115	331	80	137	190	284	127	18					
